Token ID	Token	POS	Lemma	BN Synset
d001.s001.t001	本	X	本	
d001.s001.t002	文件	NOUN	文件	bn:00028015n
d001.s001.t003	是	VERB	是	bn:00083182v
d001.s001.t004	欧洲	ADJ	欧洲	bn:00102440a
d001.s001.t005	公共	ADJ	公共	bn:00109211a
d001.s001.t006	评估	NOUN	评估	bn:00031973n
d001.s001.t007	报告	NOUN	报告	bn:00067181n
d001.s001.t008	(	X	(	
d001.s001.t009	EPAR	NOUN	EPAR	bn:00004853n
d001.s001.t010	)	X	)	
d001.s001.t011	的	X	的	
d001.s001.t012	摘要	NOUN	摘要	bn:00000489n
d001.s001.t013	。	X	。	
d001.s002.t001	它	X	它	
d001.s002.t002	解释	VERB	解释	bn:00085084v
d001.s002.t003	了	X	了	
d001.s002.t004	人	ADJ	人	bn:00104385a
d001.s002.t005	用	NOUN	用	bn:00082711v
d001.s002.t006	药品	NOUN	药品	bn:00054128n
d001.s002.t007	委员会	NOUN	委员会	bn:00021015n
d001.s002.t008	(	X	(	
d001.s002.t009	CHMP	NOUN	CHMP	bn:00033851n
d001.s002.t010	)	X	)	
d001.s002.t011	如何	ADV	如何	bn:00115474r
d001.s002.t012	评估	VERB	评估	bn:00082720v
d001.s002.t013	所	X	所	
d001.s002.t014	进行	VERB	进行	bn:00088913v
d001.s002.t015	的	X	的	
d001.s002.t016	研究	NOUN	研究	bn:00067280n
d001.s002.t017	，	X	，	
d001.s002.t018	以	X	以	
d001.s002.t019	得出	VERB	得出	bn:00082418v
d001.s002.t020	关于	X	关于	
d001.s002.t021	如何	ADV	如何	bn:00114152r
d001.s002.t022	使用	VERB	使用	bn:00082873v
d001.s002.t023	药物	NOUN	药物	bn:00028872n
d001.s002.t024	的	X	的	
d001.s002.t025	建议	NOUN	建议	bn:00001592n
d001.s002.t026	。	X	。	
d001.s003.t001	如果	X	如果	
d001.s003.t002	您	X	您	
d001.s003.t003	需要	VERB	需要	bn:00082822v
d001.s003.t004	更	ADV	更	bn:00116284r
d001.s003.t005	多	ADJ	多	bn:00105858a
d001.s003.t006	有关	X	有关	
d001.s003.t007	您	X	您	
d001.s003.t008	的	X	的	
d001.s003.t009	医疗	ADJ	医疗	bn:00111810a
d001.s003.t010	状况	NOUN	状况	bn:00021644n
d001.s003.t011	或	X	或	
d001.s003.t012	治疗	ADJ	治疗	bn:00111810a
d001.s003.t013	的	X	的	
d001.s003.t014	信息	NOUN	信息	bn:00046698n
d001.s003.t015	，	X	，	
d001.s003.t016	请	VERB	请	bn:00083476v
d001.s003.t017	阅读	VERB	阅读	bn:00092424v
d001.s003.t018	药品	NOUN	药品	bn:00054128n
d001.s003.t019	说明书	NOUN	说明书	bn:00028015n
d001.s003.t020	（	X	（	
d001.s003.t021	也	ADV	也	bn:00114246r
d001.s003.t022	是	VERB	是	bn:00083182v
d001.s003.t023	EPAR	NOUN	EPAR	bn:00028015n
d001.s003.t024	的	X	的	
d001.s003.t025	一部分	NOUN	一部分	bn:00021395n
d001.s003.t026	）	X	）	
d001.s003.t027	或	X	或	
d001.s003.t028	联系	VERB	联系	bn:00085696v
d001.s003.t029	您	X	您	
d001.s003.t030	的	X	的	
d001.s003.t031	医生	NOUN	医生	bn:00027976n
d001.s003.t032	或	X	或	
d001.s003.t033	药剂师	NOUN	药剂师	bn:00004992n
d001.s003.t034	。	X	。	
d001.s004.t001	如果	X	如果	
d001.s004.t002	您	X	您	
d001.s004.t003	想	VERB	想	bn:00086682v
d001.s004.t004	了解	VERB	了解	bn:00095375v
d001.s004.t005	有关	ADJ	有关	bn:00109659a
d001.s004.t006	CHMP	NOUN	CHMP	bn:00033851n
d001.s004.t007	建议	NOUN	建议	bn:00001592n
d001.s004.t008	的	X	的	
d001.s004.t009	更	ADV	更	bn:00116284r
d001.s004.t010	多	X	多	
d001.s004.t011	信息	NOUN	信息	bn:00046705n
d001.s004.t012	，	X	，	
d001.s004.t013	请	VERB	请	bn:00082828v
d001.s004.t014	阅读	VERB	阅读	bn:00092424v
d001.s004.t015	科学	ADJ	科学	bn:00110176a
d001.s004.t016	讨论	NOUN	讨论	bn:00027523n
d001.s004.t017	（	X	（	
d001.s004.t018	也	ADV	也	bn:00114246r
d001.s004.t019	是	VERB	是	bn:00083181v
d001.s004.t020	EPAR	NOUN	EPAR	bn:00046516n
d001.s004.t021	的	X	的	
d001.s004.t022	一部分	NOUN	一部分	bn:00021395n
d001.s004.t023	）	X	）	
d001.s004.t024	。	X	。	
d001.s005.t001	什么	X	什么	
d001.s005.t002	是	VERB	是	bn:00083181v
d001.s005.t003	Alimta	NOUN	Alimta	bn:00046516n
d001.s005.t004	？	X	？	
d001.s006.t001	Alimta	NOUN	Alimta	bn:00006975n
d001.s006.t002	是	VERB	是	bn:00083181v
d001.s006.t003	一	X	一	
d001.s006.t004	种	NOUN	种	bn:00070254n
d001.s006.t005	粉末	NOUN	粉末	bn:00063926n
d001.s006.t006	，	X	，	
d001.s006.t007	可	VERB	可	bn:00083181v
d001.s006.t008	制成	VERB	制成	bn:00082418v
d001.s006.t009	输液	NOUN	输液	bn:00047235n
d001.s006.t010	溶液	NOUN	溶液	bn:00072760n
d001.s006.t011	（	X	（	
d001.s006.t012	滴入	VERB	滴入	bn:00087321v
d001.s006.t013	静脉	NOUN	静脉	bn:00079681n
d001.s006.t014	）	X	）	
d001.s006.t015	。	X	。	
d001.s007.t001	它	X	它	
d001.s007.t002	含有	VERB	含有	bn:00089894v
d001.s007.t003	活性	ADJ	活性	bn:00001174n
d001.s007.t004	成分	NOUN	成分	bn:00046750n
d001.s007.t005	培美	NOUN	培美	bn:00001173n
d001.s007.t006	曲塞	NOUN	曲塞	bn:00046516n
d001.s007.t007	。	X	。	
d001.s008.t001	Alimta	NOUN	Alimta	bn:00026905n
d001.s008.t002	的	X	的	
d001.s008.t003	用途	NOUN	用途	bn:00071887n
d001.s008.t004	是	VERB	是	bn:00083181v
d001.s008.t005	什么	X	什么	
d001.s008.t006	？	X	？	
d001.s009.t001	Alimta	NOUN	Alimta	bn:00006975n
d001.s009.t002	用于	VERB	用于	bn:00082822v
d001.s009.t003	治疗	VERB	治疗	bn:00084532v
d001.s009.t004	两	X	两	
d001.s009.t005	种	NOUN	种	bn:00070254n
d001.s009.t006	类型	NOUN	类型	bn:00012759n
d001.s009.t007	的	X	的	
d001.s009.t008	癌症	NOUN	癌症	bn:00015180n
d001.s009.t009	：	X	：	
d001.s009.t010	胸膜	NOUN	胸膜	bn:00063016n
d001.s009.t011	间	X	间	
d001.s009.t012	皮瘤	NOUN	皮瘤	bn:00099307a
d001.s009.t013	（	X	（	
d001.s009.t014	肺部	NOUN	肺部	bn:00058117n
d001.s009.t015	内膜	NOUN	内膜	bn:00047248n
d001.s009.t016	癌症	NOUN	癌症	bn:00015180n
d001.s009.t017	，	X	，	
d001.s009.t018	通常	ADV	通常	bn:00114778r
d001.s009.t019	由	X	由	
d001.s009.t020	接触	VERB	接触	bn:00095040v
d001.s009.t021	石棉	NOUN	石棉	bn:00006236n
d001.s009.t022	引起	VERB	引起	bn:00082442v
d001.s009.t023	）	X	）	
d001.s009.t024	。	X	。	
d001.s010.t001	当	X	当	
d001.s010.t002	癌症	NOUN	癌症	bn:00015180n
d001.s010.t003	无法切除	ADJ	无法切除	bn:00100181a
d001.s010.t004	（	X	（	
d001.s010.t005	不能	ADV	不能	bn:00087968v
d001.s010.t006	仅	ADV	仅	bn:00114626r
d001.s010.t007	通过	X	通过	
d001.s010.t008	手术	NOUN	手术	bn:00059129n
d001.s010.t009	切除	VERB	切除	bn:00082163v
d001.s010.t010	）	X	）	
d001.s010.t011	且	X	且	
d001.s010.t012	为	X	为	
d001.s010.t013	恶性	ADJ	恶性	bn:00106363a
d001.s010.t014	（	X	（	
d001.s010.t015	已经	ADV	已经	bn:00114245r
d001.s010.t016	扩散	VERB	扩散	bn:00092062v
d001.s010.t017	或	X	或	
d001.s010.t018	可能	ADV	可能	bn:00114523r
d001.s010.t019	轻易	ADV	轻易	bn:00114079r
d001.s010.t020	扩散	VERB	扩散	bn:00092062v
d001.s010.t021	到	X	到	
d001.s010.t022	身体	NOUN	身体	bn:00011744n
d001.s010.t023	其他	ADJ	其他	bn:00108011a
d001.s010.t024	部位	NOUN	部位	bn:00021395n
d001.s010.t025	）	X	）	
d001.s010.t026	，	X	，	
d001.s010.t027	且	X	且	
d001.s010.t028	之前	ADV	之前	bn:00114512r
d001.s010.t029	未	ADV	未	bn:00116326r
d001.s010.t030	接受	VERB	接受	bn:00082201v
d001.s010.t031	过	X	过	
d001.s010.t032	化疗	NOUN	化疗	bn:00076647n
d001.s010.t033	（	X	（	
d001.s010.t034	抗癌	ADJ	抗癌	bn:00097220a
d001.s010.t035	药物	NOUN	药物	bn:00028872n
d001.s010.t036	）	X	）	
d001.s010.t037	的	X	的	
d001.s010.t038	晚期	ADJ	晚期	bn:00096528a
d001.s010.t039	或	X	或	
d001.s010.t040	转移性	ADJ	转移性	bn:00054585n
d001.s010.t041	非	ADJ	非	bn:00098251a
d001.s010.t042	小	ADJ	小	bn:00106058a
d001.s010.t043	细胞	NOUN	细胞	bn:00017027n
d001.s010.t044	肺癌	NOUN	肺癌	bn:00052343n
d001.s010.t045	患者	NOUN	患者	bn:00061017n
d001.s010.t046	（	X	（	
d001.s010.t047	未	ADV	未	bn:00116326r
d001.s010.t048	影响	VERB	影响	bn:00082426v
d001.s010.t049	鳞状	ADJ	鳞状	bn:00104578a
d001.s010.t050	细胞	NOUN	细胞	bn:00017027n
d001.s010.t051	）	X	）	
d001.s010.t052	时	X	时	
d001.s010.t053	，	X	，	
d001.s010.t054	Alimta	NOUN	Alimta	bn:00051901n
d001.s010.t055	与	X	与	
d001.s010.t056	顺	ADJ	顺	bn:00097218a
d001.s010.t057	铂	NOUN	铂	bn:00006910n
d001.s010.t058	（	X	（	
d001.s010.t059	另	X	另	
d001.s010.t060	一	X	一	
d001.s010.t061	种	NOUN	种	bn:00073210n
d001.s010.t062	抗癌	ADJ	抗癌	bn:00097220a
d001.s010.t063	药物	NOUN	药物	bn:00028872n
d001.s010.t064	）	X	）	
d001.s010.t065	一起	ADV	一起	bn:00114206r
d001.s010.t066	使用	VERB	使用	bn:00082873v
d001.s010.t067	。	X	。	
d001.s011.t001	对于	X	对于	
d001.s011.t002	以前	ADV	以前	bn:00114512r
d001.s011.t003	未	ADV	未	bn:00116326r
d001.s011.t004	接受	VERB	接受	bn:00082199v
d001.s011.t005	过	X	过	
d001.s011.t006	治疗	NOUN	治疗	bn:00047235n
d001.s011.t007	的	X	的	
d001.s011.t008	患者	NOUN	患者	bn:00061017n
d001.s011.t009	，	X	，	
d001.s011.t010	Alimta	NOUN	Alimta	bn:00006975n
d001.s011.t011	与	X	与	
d001.s011.t012	顺铂	NOUN	顺铂	bn:00046516n
d001.s011.t013	联合	ADV	联合	bn:00083597v
d001.s011.t014	使用	VERB	使用	bn:00082873v
d001.s011.t015	；	X	；	
d001.s011.t016	对于	X	对于	
d001.s011.t017	以前	ADV	以前	bn:00114512r
d001.s011.t018	接受	VERB	接受	bn:00082203v
d001.s011.t019	过	X	过	
d001.s011.t020	其他	ADJ	其他	bn:00108011a
d001.s011.t021	类型	NOUN	类型	bn:00012759n
d001.s011.t022	化疗	NOUN	化疗	bn:00001124n
d001.s011.t023	的	X	的	
d001.s011.t024	患者	NOUN	患者	bn:00061017n
d001.s011.t025	，	X	，	
d001.s011.t026	Alimta	NOUN	Alimta	bn:00051760n
d001.s011.t027	可	VERB	可	bn:00083181v
d001.s011.t028	单独	ADV	单独	bn:00110423a
d001.s011.t029	使用	VERB	使用	bn:00082873v
d001.s011.t030	。	X	。	
d001.s012.t001	这	X	这	
d001.s012.t002	种	NOUN	种	bn:00073210n
d001.s012.t003	药	NOUN	药	bn:00054128n
d001.s012.t004	必须	ADV	必须	bn:00091028v
d001.s012.t005	凭	X	凭	
d001.s012.t006	处方	NOUN	处方	bn:00064195n
d001.s012.t007	才	ADV	才	bn:00114634r
d001.s012.t008	能	VERB	能	bn:00096153a
d001.s012.t009	买到	VERB	买到	bn:00091192v
d001.s012.t010	。	X	。	
d001.s013.t001	Alimta	NOUN	Alimta	bn:00052120n
d001.s013.t002	如何	ADV	如何	bn:00114422r
d001.s013.t003	使用	VERB	使用	bn:00082711v
d001.s013.t004	？	X	？	
d001.s014.t001	Alimta	NOUN	Alimta	bn:00006975n
d001.s014.t002	只	ADV	只	bn:00054438n
d001.s014.t003	能	VERB	能	bn:00096153a
d001.s014.t004	在	X	在	
d001.s014.t005	具有	VERB	具有	bn:00089241v
d001.s014.t006	抗癌	ADJ	抗癌	bn:00097220a
d001.s014.t007	化疗	NOUN	化疗	bn:00047235n
d001.s014.t008	使用	NOUN	使用	bn:00030627n
d001.s014.t009	资质	NOUN	资质	bn:00007294n
d001.s014.t010	的	X	的	
d001.s014.t011	医生	NOUN	医生	bn:00027976n
d001.s014.t012	的	X	的	
d001.s014.t013	监督	NOUN	监督	bn:00059908n
d001.s014.t014	下	X	下	
d001.s014.t015	使用	VERB	使用	bn:00082873v
d001.s014.t016	。	X	。	
d001.s015.t001	Alimta	NOUN	Alimta	bn:00006975n
d001.s015.t002	的	X	的	
d001.s015.t003	推荐	NOUN	推荐	bn:00041086n
d001.s015.t004	剂量	NOUN	剂量	bn:00028320n
d001.s015.t005	为	VERB	为	bn:00089309v
d001.s015.t006	每	X	每	
d001.s015.t007	平方米	NOUN	平方米	bn:00017102n
d001.s015.t008	体表	NOUN	体表	bn:00042601n
d001.s015.t009	面积	NOUN	面积	bn:00005518n
d001.s015.t010	500	X	500	
d001.s015.t011	毫克	NOUN	毫克	bn:00054701n
d001.s015.t012	（	X	（	
d001.s015.t013	根据	VERB	根据	bn:00032045n
d001.s015.t014	患者	NOUN	患者	bn:00061017n
d001.s015.t015	的	X	的	
d001.s015.t016	身高	NOUN	身高	bn:00043545n
d001.s015.t017	和	X	和	
d001.s015.t018	体重	NOUN	体重	bn:00011779n
d001.s015.t019	计算	VERB	计算	bn:00084373v
d001.s015.t020	）	X	）	
d001.s015.t021	。	X	。	
d001.s016.t001	每	X	每	
d001.s016.t002	三	X	三	
d001.s016.t003	周	NOUN	周	bn:00043484n
d001.s016.t004	进行	VERB	进行	bn:00085715v
d001.s016.t005	一	X	一	
d001.s016.t006	次	NOUN	次	bn:00019047n
d001.s016.t007	静脉	ADJ	静脉	bn:00113540a
d001.s016.t008	输	NOUN	输	bn:00090486v
d001.s016.t009	注	NOUN	注	bn:00091897v
d001.s016.t010	，	X	，	
d001.s016.t011	每次	ADV	每次	bn:00115252r
d001.s016.t012	持续	VERB	持续	bn:00090070v
d001.s016.t013	10	X	10	
d001.s016.t014	分钟	NOUN	分钟	bn:00055094n
d001.s016.t015	。	X	。	
d001.s017.t001	为了	X	为了	
d001.s017.t002	减少	VERB	减少	bn:00084079v
d001.s017.t003	副作用	NOUN	副作用	bn:00071445n
d001.s017.t004	，	X	，	
d001.s017.t005	患者	NOUN	患者	bn:00061017n
d001.s017.t006	在	X	在	
d001.s017.t007	使用	VERB	使用	bn:00082873v
d001.s017.t008	Alimta	NOUN	Alimta	bn:00006975n
d001.s017.t009	治疗	VERB	治疗	bn:00084532v
d001.s017.t010	期间	NOUN	期间	bn:00061605n
d001.s017.t011	应该	VERB	应该	bn:00083357v
d001.s017.t012	服用	VERB	服用	bn:00087321v
d001.s017.t013	皮质类固醇	NOUN	皮质类固醇	bn:00001507n
d001.s017.t014	和	X	和	
d001.s017.t015	叶酸	NOUN	叶酸	bn:00035585n
d001.s017.t016	（	X	（	
d001.s017.t017	一	X	一	
d001.s017.t018	种	NOUN	种	bn:00073210n
d001.s017.t019	维生素	NOUN	维生素	bn:00080147n
d001.s017.t020	）	X	）	
d001.s017.t021	，	X	，	
d001.s017.t022	并	ADV	并	bn:00114281r
d001.s017.t023	注射	VERB	注射	bn:00089749v
d001.s017.t024	维生素	NOUN	维生素	bn:00080147n
d001.s017.t025	B12	NOUN	B12	bn:00004712n
d001.s017.t026	。	X	。	
d001.s018.t001	当	X	当	
d001.s018.t002	Alimta	NOUN	Alimta	bn:00006975n
d001.s018.t003	与	X	与	
d001.s018.t004	顺铂	NOUN	顺铂	bn:00051454n
d001.s018.t005	一起	ADV	一起	bn:00114206r
d001.s018.t006	服用	VERB	服用	bn:00088826v
d001.s018.t007	时	X	时	
d001.s018.t008	，	X	，	
d001.s018.t009	还	ADV	还	bn:00115147r
d001.s018.t010	应	VERB	应	bn:00083181v
d001.s018.t011	在	X	在	
d001.s018.t012	顺铂	NOUN	顺铂	bn:00046516n
d001.s018.t013	给	VERB	给	bn:00082710v
d001.s018.t014	药	NOUN	药	bn:00054128n
d001.s018.t015	之前	ADV	之前	bn:00114512r
d001.s018.t016	或	X	或	
d001.s018.t017	之后	ADV	之后	bn:00115742r
d001.s018.t018	给予	VERB	给予	bn:00082364v
d001.s018.t019	止吐	ADJ	止吐	bn:00097030a
d001.s018.t020	药	NOUN	药	bn:00054128n
d001.s018.t021	（	X	（	
d001.s018.t022	以	X	以	
d001.s018.t023	防止	VERB	防止	bn:00082954v
d001.s018.t024	呕吐	NOUN	呕吐	bn:00027565n
d001.s018.t025	）	X	）	
d001.s018.t026	和	X	和	
d001.s018.t027	液体	NOUN	液体	bn:00035426n
d001.s018.t028	（	X	（	
d001.s018.t029	以	X	以	
d001.s018.t030	防止	VERB	防止	bn:00082954v
d001.s018.t031	脱水	NOUN	脱水	bn:00025983n
d001.s018.t032	）	X	）	
d001.s018.t033	。	X	。	
d001.s019.t001	对于	X	对于	
d001.s019.t002	血细胞	NOUN	血细胞	bn:00011360n
d001.s019.t003	计数	NOUN	计数	bn:00023140n
d001.s019.t004	异常	ADJ	异常	bn:00096158a
d001.s019.t005	或	X	或	
d001.s019.t006	出现	VERB	出现	bn:00082788v
d001.s019.t007	其他	ADJ	其他	bn:00108011a
d001.s019.t008	副作用	NOUN	副作用	bn:00071445n
d001.s019.t009	的	X	的	
d001.s019.t010	患者	NOUN	患者	bn:00061017n
d001.s019.t011	，	X	，	
d001.s019.t012	应	VERB	应	bn:00083181v
d001.s019.t013	推迟	VERB	推迟	bn:00086459v
d001.s019.t014	或	X	或	
d001.s019.t015	停止	VERB	停止	bn:00084710v
d001.s019.t016	治疗	NOUN	治疗	bn:00047235n
d001.s019.t017	，	X	，	
d001.s019.t018	或	X	或	
d001.s019.t019	减少	VERB	减少	bn:00084079v
d001.s019.t020	剂量	NOUN	剂量	bn:00028320n
d001.s019.t021	。	X	。	
d001.s020.t001	不	ADV	不	bn:00057809n
d001.s020.t002	建议	VERB	建议	bn:00082417v
d001.s020.t003	患有	VERB	患有	bn:00086708v
d001.s020.t004	中度	ADJ	中度	bn:00017216n
d001.s020.t005	或	X	或	
d001.s020.t006	重度	ADJ	重度	bn:00104589a
d001.s020.t007	肾脏	NOUN	肾脏	bn:00049083n
d001.s020.t008	疾病	NOUN	疾病	bn:00027546n
d001.s020.t009	的	X	的	
d001.s020.t010	患者	NOUN	患者	bn:00061017n
d001.s020.t011	使用	VERB	使用	bn:00082873v
d001.s020.t012	Alimta	NOUN	Alimta	bn:00052120n
d001.s020.t013	。	X	。	
d001.s021.t001	欲	VERB	欲	bn:00083181v
d001.s021.t002	了解	VERB	了解	bn:00095375v
d001.s021.t003	更	ADV	更	bn:00116284r
d001.s021.t004	多	X	多	
d001.s021.t005	信息	NOUN	信息	bn:00046698n
d001.s021.t006	，	X	，	
d001.s021.t007	请	VERB	请	bn:00082828v
d001.s021.t008	参阅	VERB	参阅	bn:00088489v
d001.s021.t009	产品	NOUN	产品	bn:00054416n
d001.s021.t010	特性	NOUN	特性	bn:00017762n
d001.s021.t011	摘要	NOUN	摘要	bn:00000489n
d001.s021.t012	（	X	（	
d001.s021.t013	也	ADV	也	bn:00114246r
d001.s021.t014	是	VERB	是	bn:00083182v
d001.s021.t015	EPAR	NOUN	EPAR	bn:00059436n
d001.s021.t016	的	X	的	
d001.s021.t017	一部分	NOUN	一部分	bn:00021395n
d001.s021.t018	）	X	）	
d001.s021.t019	。	X	。	
d001.s022.t001	Alimta	NOUN	Alimta	bn:00014919n
d001.s022.t002	如何	ADV	如何	bn:00114422r
d001.s022.t003	发挥	VERB	发挥	bn:00087833v
d001.s022.t004	作用	NOUN	作用	bn:00036822n
d001.s022.t005	？	X	？	
d001.s023.t001	Alimta	NOUN	Alimta	bn:00006975n
d001.s023.t002	中	X	中	
d001.s023.t003	的	X	的	
d001.s023.t004	活性	ADJ	活性	bn:00001174n
d001.s023.t005	成分	NOUN	成分	bn:00046750n
d001.s023.t006	培美曲塞	NOUN	培美曲塞	bn:00026482n
d001.s023.t007	是	VERB	是	bn:00083181v
d001.s023.t008	一	X	一	
d001.s023.t009	种	NOUN	种	bn:00070254n
d001.s023.t010	细胞	NOUN	细胞	bn:00017027n
d001.s023.t011	毒	ADJ	毒	bn:00063256n
d001.s023.t012	药物	NOUN	药物	bn:00028872n
d001.s023.t013	（	X	（	
d001.s023.t014	杀死	VERB	杀死	bn:00090098v
d001.s023.t015	正在	ADV	正在	bn:00117138r
d001.s023.t016	分裂	VERB	分裂	bn:00084611v
d001.s023.t017	的	X	的	
d001.s023.t018	细胞	NOUN	细胞	bn:00017027n
d001.s023.t019	，	X	，	
d001.s023.t020	如	ADV	如	bn:00115147r
d001.s023.t021	癌细胞	NOUN	癌细胞	bn:00015187n
d001.s023.t022	的	X	的	
d001.s023.t023	药物	NOUN	药物	bn:00028872n
d001.s023.t024	）	X	）	
d001.s023.t025	，	X	，	
d001.s023.t026	属于	VERB	属于	bn:00083389v
d001.s023.t027	抗代谢药	NOUN	抗代谢药	bn:00004691n
d001.s023.t028	类	NOUN	类	bn:00016733n
d001.s023.t029	。	X	。	
d001.s024.t001	在	X	在	
d001.s024.t002	体内	NOUN	体内	bn:00105292a
d001.s024.t003	，	X	，	
d001.s024.t004	培美曲塞	NOUN	培美曲塞	bn:00046516n
d001.s024.t005	被	X	被	
d001.s024.t006	转化	VERB	转化	bn:00095092v
d001.s024.t007	成	X	成	
d001.s024.t008	活性	ADJ	活性	bn:00001174n
d001.s024.t009	形式	NOUN	形式	bn:00035908n
d001.s024.t010	，	X	，	
d001.s024.t011	从而	ADV	从而	bn:00117263r
d001.s024.t012	抑制	VERB	抑制	bn:00085638v
d001.s024.t013	参与	VERB	参与	bn:00091450v
d001.s024.t014	生成	VERB	生成	bn:00086708v
d001.s024.t015	核苷酸	NOUN	核苷酸	bn:00008788n
d001.s024.t016	（	X	（	
d001.s024.t017	DNA	NOUN	DNA	bn:00026301n
d001.s024.t018	和	X	和	
d001.s024.t019	RNA	NOUN	RNA	bn:00067714n
d001.s024.t020	的	X	的	
d001.s024.t021	组成部分	NOUN	组成部分	bn:00021396n
d001.s024.t022	，	X	，	
d001.s024.t023	即	VERB	即	bn:00115715r
d001.s024.t024	细胞	NOUN	细胞	bn:00017027n
d001.s024.t025	的	X	的	
d001.s024.t026	遗传物质	NOUN	遗传物质	bn:00037738n
d001.s024.t027	）	X	）	
d001.s024.t028	的	X	的	
d001.s024.t029	酶	NOUN	酶	bn:00031085n
d001.s024.t030	的	X	的	
d001.s024.t031	活性	NOUN	活性	bn:00001174n
d001.s024.t032	。	X	。	
d001.s025.t001	Alimta	NOUN	Alimta	bn:00069450n
d001.s025.t002	的	X	的	
d001.s025.t003	研究	NOUN	研究	bn:00067280n
d001.s025.t004	进展	VERB	进展	bn:00001557n
d001.s025.t005	如何	ADV	如何	bn:00114073r
d001.s025.t006	？	X	？	
d001.s026.t001	为了	X	为了	
