Token ID	Token	POS	EN Token	BN Synset
d001.s001.t001	本	X	This	
d001.s001.t002	文件	N	document	bn:00028015n
d001.s001.t003	是	V	is	
d001.s001.t004	欧洲	A	European	bn:00102440a
d001.s001.t005	公共	A	Public	bn:00109211a
d001.s001.t006	评估	N	Assessment	bn:00006502n
d001.s001.t007	报告	N	Report	bn:00067181n
d001.s001.t008	(	X	(	
d001.s001.t009	EPAR	N	EPAR	
d001.s001.t010	)	X	)	
d001.s001.t011	的	X	the	
d001.s001.t012	摘要	N	summary	bn:00075142n
d001.s001.t013	。	X	.	
d001.s002.t001	它	X	It	
d001.s002.t002	解释	V		bn:00087869v
d001.s002.t003	了	X		
d001.s002.t004	人	A	Human	bn:00104385a
d001.s002.t005	用	N	Use	bn:00030627n
d001.s002.t006	药品	N	Medicinal Products	bn:00054128n
d001.s002.t007	委员会	N	Committee	bn:00021015n
d001.s002.t008	(	X	(	
d001.s002.t009	CHMP	N	CHMP	bn:00302314n
d001.s002.t010	)	X	)	
d001.s002.t011	如何	R	how	bn:13606173r
d001.s002.t012	评估	V		bn:00082720v
d001.s002.t013	所	X		
d001.s002.t014	进行	V	performed	bn:00087107v
d001.s002.t015	的	X	the	
d001.s002.t016	研究	N	studies	bn:00074790n
d001.s002.t017	，	X	,	
d001.s002.t018	以	X	to	
d001.s002.t019	得出	V	reach	bn:00082226v
d001.s002.t020	关于	X	on	
d001.s002.t021	如何	R	how	bn:13606173r
d001.s002.t022	使用	V	use	bn:00082705v
d001.s002.t023	药物	N	medicine	bn:00054128n
d001.s002.t024	的	X		
d001.s002.t025	建议	N	recommendations	bn:00066562n
d001.s002.t026	。	X	.	
d001.s003.t001	如果	X	If	
d001.s003.t002	您	X	you	
d001.s003.t003	需要	V	need	bn:00091028v
d001.s003.t004	更	R	more	bn:00116285r
d001.s003.t005	多	A		bn:00105858a
d001.s003.t006	有关	X	about	
d001.s003.t007	您	X	your	
d001.s003.t008	的	X		
d001.s003.t009	医疗	A	medical	bn:00106555a
d001.s003.t010	状况	N	condition	bn:00021648n
d001.s003.t011	或	X	or	
d001.s003.t012	治疗	A	treatment	bn:00111810a
d001.s003.t013	的	X	the	
d001.s003.t014	信息	N	information	bn:00025314n
d001.s003.t015	，	X	,	
d001.s003.t016	请	V		
d001.s003.t017	阅读	V	read	bn:00092424v
d001.s003.t018	药品	N		bn:00054128n
d001.s003.t019	说明书	N	Leaflet	bn:00012133n
d001.s003.t020	（	X	(	
d001.s003.t021	也	R	also	bn:00114246r
d001.s003.t022	是	V		
d001.s003.t023	EPAR	N	EPAR	
d001.s003.t024	的	X	of	
d001.s003.t025	一部分	N	part	bn:00021395n
d001.s003.t026	）	X	)	
d001.s003.t027	或	X	or	
d001.s003.t028	联系	V	contact	bn:00085696v
d001.s003.t029	您	X	your	
d001.s003.t030	的	X		
d001.s003.t031	医生	N	doctor	bn:00027976n
d001.s003.t032	或	X	or	
d001.s003.t033	药剂师	N	pharmacist	bn:00004992n
d001.s003.t034	。	X	.	
d001.s004.t001	如果	X	If	
d001.s004.t002	您	X	you	
d001.s004.t003	想	V	want	bn:00086682v
d001.s004.t004	了解	V	on	bn:00095375v
d001.s004.t005	有关	A		bn:00109659a
d001.s004.t006	CHMP	N	CHMP	bn:00302314n
d001.s004.t007	建议	N	recommendations	bn:00066562n
d001.s004.t008	的	X	the	
d001.s004.t009	更	R	more	bn:00116285r
d001.s004.t010	多	X		
d001.s004.t011	信息	N	information	bn:00025314n
d001.s004.t012	，	X	,	
d001.s004.t013	请	V		
d001.s004.t014	阅读	V	read	bn:00092424v
d001.s004.t015	科学	A	Scientific	bn:00110175a
d001.s004.t016	讨论	N	Discussion	bn:00027523n
d001.s004.t017	（	X	(	
d001.s004.t018	也	R	also	bn:00114246r
d001.s004.t019	是	V		
d001.s004.t020	EPAR	N	EPAR	
d001.s004.t021	的	X	the	
d001.s004.t022	一部分	N	part	bn:00021395n
d001.s004.t023	）	X	)	
d001.s004.t024	。	X	.	
d001.s005.t001	什么	X	What	
d001.s005.t002	是	V	is	
d001.s005.t003	Alimta	N	Alimta	bn:00602447n
d001.s005.t004	？	X	?	
d001.s006.t001	Alimta	N	Alimta	bn:00602447n
d001.s006.t002	是	V	is	
d001.s006.t003	一	X	a	
d001.s006.t004	种	N		bn:00078798n
d001.s006.t005	粉末	N	powder	bn:00063926n
d001.s006.t006	，	X	that	
d001.s006.t007	可	V		
d001.s006.t008	制成	V	into	bn:00083187v
d001.s006.t009	输液	N	infusion	bn:00046734n
d001.s006.t010	溶液	N	solution	bn:00072760n
d001.s006.t011	（	X	(	
d001.s006.t012	滴入	V	into	bn:00087306v
d001.s006.t013	静脉	N	vein	bn:00079681n
d001.s006.t014	）	X	)	
d001.s006.t015	。	X	.	
d001.s007.t001	它	X	It	
d001.s007.t002	含有	V		bn:00085499v
d001.s007.t003	活性	A	active	bn:00096387a
d001.s007.t004	成分	N	substance	bn:00074986n
d001.s007.t005	培美	N		
d001.s007.t006	曲塞	N		
d001.s007.t007	。	X	.	
d001.s008.t001	Alimta	N	Alimta	bn:00602447n
d001.s008.t002	的	X		
d001.s008.t003	用途	N		bn:00036822n
d001.s008.t004	是	V	is	
d001.s008.t005	什么	X	What	
d001.s008.t006	？	X	?	
d001.s009.t001	Alimta	N	Alimta	bn:00602447n
d001.s009.t002	用于	V	used	bn:00082705v
d001.s009.t003	治疗	V	treat	bn:00084532v
d001.s009.t004	两	X	two	
d001.s009.t005	种	N		bn:00078798n
d001.s009.t006	类型	N	types	bn:00078798n
d001.s009.t007	的	X	of	
d001.s009.t008	癌症	N	cancer	bn:00015180n
d001.s009.t009	：	X	:	
d001.s009.t010	胸膜	N	lining	bn:00051366n
d001.s009.t011	间	X		
d001.s009.t012	皮	N		
d001.s009.t013	瘤	N		
d001.s009.t014	（	X	(	
d001.s009.t015	肺部	N	lungs	bn:00052341n
d001.s009.t016	内膜	N		bn:00054285n
d001.s009.t017	癌症	N	cancer	bn:00015180n
d001.s009.t018	，	X	that	
d001.s009.t019	通常	R	usually	bn:00114778r
d001.s009.t020	由	X	by	
d001.s009.t021	接触	V	exposure	bn:00095040v
d001.s009.t022	石棉	N	asbestos	bn:00006236n
d001.s009.t023	引起	V	caused	bn:00084069v
d001.s009.t024	）	X	)	
d001.s009.t025	。	X	.	
d001.s010.t001	当	X	when	
d001.s010.t002	癌症	N	cancer	bn:00015180n
d001.s010.t003	无法切除	A	unresectable	bn:13653537a
d001.s010.t004	（	X	(	
d001.s010.t005	不能	R	cannot	
d001.s010.t006	仅	R	alone	bn:00114234r
d001.s010.t007	通过	X	by	
d001.s010.t008	手术	N	surgery	bn:00059129n
d001.s010.t009	切除	V	removed	bn:00082590v
d001.s010.t010	）	X	)	
d001.s010.t011	且	X	and	
d001.s010.t012	为	X		
d001.s010.t013	恶性	A	malignant	bn:00106363a
d001.s010.t014	（	X	(	
d001.s010.t015	已经	R	has	bn:00114245r
d001.s010.t016	扩散	V	spread	bn:00092083v
d001.s010.t017	或	X	or	
d001.s010.t018	可能	R	likely	bn:00114523r
d001.s010.t019	轻易	R	easily	bn:00115155r
d001.s010.t020	扩散	V	spread	bn:00092083v
d001.s010.t021	到	X	to	
d001.s010.t022	身体	N	body	bn:00011744n
d001.s010.t023	其他	A	other	bn:00108011a
d001.s010.t024	部位	N	parts	bn:00021395n
d001.s010.t025	）	X	)	
d001.s010.t026	，	X	,	
d001.s010.t027	且	X		
d001.s010.t028	之前	R	before	bn:00114512r
d001.s010.t029	未	R	not	bn:00116360r
d001.s010.t030	接受	V	received	bn:00087863v
d001.s010.t031	过	X	have	
d001.s010.t032	化疗	N	chemotherapy	bn:00018141n
d001.s010.t033	（	X	(	
d001.s010.t034	抗癌	A	cancer	bn:00097220a
d001.s010.t035	药物	N		bn:00054128n
d001.s010.t036	）	X	)	
d001.s010.t037	的	X		
d001.s010.t038	晚期	A	advanced	bn:00096528a
d001.s010.t039	或	X	or	
d001.s010.t040	转移	A	metastatic	bn:00106664a
d001.s010.t041	性	A		
d001.s010.t042	非	A		
d001.s010.t043	小	A		
d001.s010.t044	细胞	N	cell	bn:00017027n
d001.s010.t045	肺癌	N	squamous	bn:00015180n
d001.s010.t046	患者	N	patients	bn:00061017n
d001.s010.t047	（	X	(	
d001.s010.t048	未	R	not	bn:00116360r
d001.s010.t049	影响	V	affecting	bn:00082427v
d001.s010.t050	鳞	N		
d001.s010.t051	状	N		
d001.s010.t052	细胞	N		
d001.s010.t053	）	X	)	
d001.s010.t054	时	X		
d001.s010.t055	，	X	,	
d001.s010.t056	Alimta	N	Alimta	bn:00602447n
d001.s010.t057	与	X	with	
d001.s010.t058	顺	A		
d001.s010.t059	铂	N	cisplatin	bn:00577781n
d001.s010.t060	（	X		
d001.s010.t061	另	X	another	
d001.s010.t062	一	X		
d001.s010.t063	种	N		bn:00078798n
d001.s010.t064	抗癌	A		bn:00097220a
d001.s010.t065	药物	N	medicine	bn:00054128n
d001.s010.t066	）	X		
d001.s010.t067	一起	R	together	bn:00114206r
d001.s010.t068	使用	V	used	bn:00082705v
d001.s010.t069	。	X	.	
d001.s011.t001	对于	X	in	
d001.s011.t002	以前	R	before	bn:00114512r
d001.s011.t003	未	R	not	bn:00116360r
d001.s011.t004	接受	V	been	bn:00087863v
d001.s011.t005	过	X		
d001.s011.t006	治疗	N	treated	bn:00047235n
d001.s011.t007	的	X	who	
d001.s011.t008	患者	N	patients	bn:00061017n
d001.s011.t009	，	X	,	
d001.s011.t010	Alimta	N	Alimta	bn:00602447n
d001.s011.t011	与	X	with	
d001.s011.t012	顺铂	N		bn:00577781n
d001.s011.t013	联合	R	combination	bn:00115794r
d001.s011.t014	使用	V		bn:00082705v
d001.s011.t015	；	X	and	
d001.s011.t016	对于	X	in	
d001.s011.t017	以前	R	past	bn:00114512r
d001.s011.t018	接受	V	received	bn:00087863v
d001.s011.t019	过	X		
d001.s011.t020	其他	A	another	bn:00108011a
d001.s011.t021	类型	N	type	bn:00078798n
d001.s011.t022	化疗	N	chemotherapy	bn:00018141n
d001.s011.t023	的	X	in	
d001.s011.t024	患者	N	patients	bn:00061017n
d001.s011.t025	，	X		
d001.s011.t026	Alimta	N	cisplatin	bn:00577781n
d001.s011.t027	可	V		
d001.s011.t028	单独	R	own	bn:00114234r
d001.s011.t029	使用	V	used	bn:00082705v
d001.s011.t030	。	X		
d001.s012.t001	这	X	The	
d001.s012.t002	种	N		bn:00078798n
d001.s012.t003	药	N	medicine	bn:00054128n
d001.s012.t004	必须	R		
d001.s012.t005	凭	X	with	
d001.s012.t006	处方	N	prescription	bn:00064195n
d001.s012.t007	才	R		
d001.s012.t008	能	V	can	
d001.s012.t009	买到	V	obtained	bn:00082276v
d001.s012.t010	。	X	.	
d001.s013.t001	Alimta	N	Alimta	bn:00602447n
d001.s013.t002	如何	R	How	bn:13606173r
d001.s013.t003	使用	V	used	bn:00082705v
d001.s013.t004	？	X	?	
d001.s014.t001	Alimta	N	Alimta	bn:00602447n
d001.s014.t002	只	R	only	bn:00116450r
d001.s014.t003	能	V	should	
d001.s014.t004	在	X	of	
d001.s014.t005	具有	V		bn:00089241v
d001.s014.t006	抗癌	A		bn:00097220a
d001.s014.t007	化疗	N	chemotherapy	bn:00018141n
d001.s014.t008	使用	N	use	bn:00030627n
d001.s014.t009	资质	N	qualified	bn:00007294n
d001.s014.t010	的	X	who	
d001.s014.t011	医生	N	doctor	bn:00027976n
d001.s014.t012	的	X	the	
d001.s014.t013	监督	N	supervision	bn:00059908n
d001.s014.t014	下	X	under	
d001.s014.t015	使用	V	given	bn:00082705v
d001.s014.t016	。	X	.	
d001.s015.t001	Alimta	N	Alimta	bn:00602447n
d001.s015.t002	的	X	The	
d001.s015.t003	推荐	N	recommended	bn:00041086n
d001.s015.t004	剂量	N	dose	bn:00028320n
d001.s015.t005	为	V	is	
d001.s015.t006	每	X	per	
d001.s015.t007	平方米	N	metre	bn:00052501n
d001.s015.t008	体表	N	surface	bn:00075374n
d001.s015.t009	面积	N	area	bn:00005518n
d001.s015.t010	500	X	500	
d001.s015.t011	毫克	N	mg	bn:00054701n
d001.s015.t012	（	X	(	
d001.s015.t013	根据	V	using	bn:00082705v
d001.s015.t014	患者	N	patient	bn:00061017n
d001.s015.t015	的	X		
d001.s015.t016	身高	N	height	bn:00043545n
d001.s015.t017	和	X	and	
d001.s015.t018	体重	N	weight	bn:00080831n
d001.s015.t019	计算	V	calculated	bn:00084373v
d001.s015.t020	）	X	)	
d001.s015.t021	。	X	.	
d001.s016.t001	每	X	every	
d001.s016.t002	三	X	three	
d001.s016.t003	周	N	weeks	bn:00043484n
d001.s016.t004	进行	V	given	bn:00095355v
d001.s016.t005	一	X		
d001.s016.t006	次	N	once	bn:00000443n
d001.s016.t007	静脉	A	intravenous	bn:00102230a
d001.s016.t008	输	N		
d001.s016.t009	注	N		
d001.s016.t010	，	X		
d001.s016.t011	每次	R		
d001.s016.t012	持续	V		bn:00087620v
d001.s016.t013	10	X	10	
d001.s016.t014	分钟	N	minutes	bn:00055094n
d001.s016.t015	。	X	.	
d001.s017.t001	为了	X	To	
d001.s017.t002	减少	V	reduce	bn:00084079v
d001.s017.t003	副作用	N	effects	bn:00029874n
d001.s017.t004	，	X	,	
d001.s017.t005	患者	N	patients	bn:00061017n
d001.s017.t006	在	X		
d001.s017.t007	使用	V	with	bn:00082705v
d001.s017.t008	Alimta	N	Alimta	bn:00602447n
d001.s017.t009	治疗	V	treatment	bn:00084532v
d001.s017.t010	期间	N	during	bn:00061605n
d001.s017.t011	应该	V	should	
d001.s017.t012	服用	V	receive	bn:00089246v
d001.s017.t013	皮质类固醇	N	corticosteroid	bn:00001507n
d001.s017.t014	和	X	and	
d001.s017.t015	叶酸	N	folic acid	bn:00035585n
d001.s017.t016	（	X	(	
d001.s017.t017	一	X	a	
d001.s017.t018	种	N	type	bn:00078798n
d001.s017.t019	维生素	N	vitamin	bn:00080147n
d001.s017.t020	）	X	)	
d001.s017.t021	，	X	,	
d001.s017.t022	并	R	and	bn:00114281r
d001.s017.t023	注射	V	injections	bn:00089749v
d001.s017.t024	维生素	N	vitamin	bn:00080147n
d001.s017.t025	B12	N	B12	
d001.s017.t026	。	X	.	
d001.s018.t001	当	X	When	
d001.s018.t002	Alimta	N	Alimta	bn:00602447n
d001.s018.t003	与	X	with	
d001.s018.t004	顺	A		
d001.s018.t005	铂	N		
d001.s018.t006	一起	R		bn:00114206r
d001.s018.t007	服用	V	given	bn:00088826v
d001.s018.t008	时	X		
d001.s018.t009	，	X	,	
d001.s018.t010	还	R	also	bn:00114246r
d001.s018.t011	应	V	should	
d001.s018.t012	在	X	the	
d001.s018.t013	顺	A		
d001.s018.t014	铂	N		
d001.s018.t015	给	V		
d001.s018.t016	药	N	dose	bn:00028320n
d001.s018.t017	之前	R	before	bn:00114512r
d001.s018.t018	或	X	or	
d001.s018.t019	之后	R	after	bn:00114165r
d001.s018.t020	给予	V	given	bn:00088826v
d001.s018.t021	止吐	A	anti-emetic	bn:13787881a
d001.s018.t022	药	N	medicine	bn:00054128n
d001.s018.t023	（	X	(	
d001.s018.t024	以	X	to	
d001.s018.t025	防止	V	prevent	bn:00088454v
d001.s018.t026	呕吐	N	vomiting	bn:00027565n
d001.s018.t027	）	X	)	
d001.s018.t028	和	X	and	
d001.s018.t029	液体	N	fluids	bn:00035426n
d001.s018.t030	（	X	(	
d001.s018.t031	以	X	to	
d001.s018.t032	防止	V	prevent	bn:00088454v
d001.s018.t033	脱水	N		bn:00025983n
d001.s018.t034	）	X	)	
d001.s018.t035	。	X	.	
d001.s019.t001	对于	X	in	
d001.s019.t002	血细胞	N	blood	bn:00011346n
d001.s019.t003	计数	N		bn:00023140n
d001.s019.t004	异常	A	abnormal	bn:00096158a
d001.s019.t005	或	X	or	
d001.s019.t006	出现	V	have	bn:00088745v
d001.s019.t007	其他	A	other	bn:00108011a
d001.s019.t008	副作用	N	effects	bn:00029874n
d001.s019.t009	的	X		
d001.s019.t010	患者	N	patients	bn:00061017n
d001.s019.t011	，	X	,	
d001.s019.t012	应	V	should	
d001.s019.t013	推迟	V	delayed	bn:00086514v
d001.s019.t014	或	X	or	
d001.s019.t015	停止	V	discontinued	bn:00083908v
d001.s019.t016	治疗	N	Treatment	bn:00047235n
d001.s019.t017	，	X	,	
d001.s019.t018	或	X	or	
d001.s019.t019	减少	V	reduced	bn:00084079v
d001.s019.t020	剂量	N	dose	bn:00028320n
d001.s019.t021	。	X	.	
d001.s020.t001	不	R	not	bn:00116360r
d001.s020.t002	建议	V	recommended	bn:00082418v
d001.s020.t003	患有	V	with	bn:27229268v
d001.s020.t004	中度	A	moderate	bn:00106826a
d001.s020.t005	或	X	or	
d001.s020.t006	重度	A	severe	bn:00110473a
d001.s020.t007	肾脏	N	kidney	bn:00049083n
d001.s020.t008	疾病	N	problems	bn:00048242n
d001.s020.t009	的	X		
d001.s020.t010	患者	N	patients	bn:00061017n
d001.s020.t011	使用	V	use	bn:00082705v
d001.s020.t012	Alimta	N	Alimta	bn:00602447n
d001.s020.t013	。	X	.	
d001.s021.t001	欲	V	For	
d001.s021.t002	了解	V		bn:00095375v
d001.s021.t003	更	R	more	bn:00116285r
d001.s021.t004	多	X		
d001.s021.t005	信息	N	information	bn:00025314n
d001.s021.t006	，	X	,	
d001.s021.t007	请	V		
d001.s021.t008	参阅	V	see	bn:00087787v
d001.s021.t009	产品	N	Product	bn:00064584n
d001.s021.t010	特性	N	Characteristics	bn:00017761n
d001.s021.t011	摘要	N	Summary	bn:00075142n
d001.s021.t012	（	X	(	
d001.s021.t013	也	R	also	bn:00114246r
d001.s021.t014	是	V		
d001.s021.t015	EPAR	N	EPAR	
d001.s021.t016	的	X	the	
d001.s021.t017	一部分	N	part	bn:00021395n
d001.s021.t018	）	X	)	
d001.s021.t019	。	X	.	
d001.s022.t001	Alimta	N	Alimta	bn:00602447n
d001.s022.t002	如何	R	How	bn:13606173r
d001.s022.t003	发挥	V	work	bn:00087833v
d001.s022.t004	作用	N		bn:00036822n
d001.s022.t005	？	X	?	
d001.s023.t001	Alimta	N	Alimta	bn:00602447n
d001.s023.t002	中	X	,	
d001.s023.t003	的	X	The	
d001.s023.t004	活性	A	active	bn:00096387a
d001.s023.t005	成分	N	substance	bn:00074986n
d001.s023.t006	培美曲塞	N	pemetrexed	bn:00602447n
d001.s023.t007	是	V	is	
d001.s023.t008	一	X	a	
d001.s023.t009	种	N		bn:00078798n
d001.s023.t010	细胞	N		bn:00017027n
d001.s023.t011	毒	A	cytotoxic	bn:00100866a
d001.s023.t012	药物	N	medicine	bn:00054128n
d001.s023.t013	（	X	(	
d001.s023.t014	杀死	V	kills	bn:00090098v
d001.s023.t015	正在	R	are	
d001.s023.t016	分裂	V	dividing	bn:00087100v
d001.s023.t017	的	X		
d001.s023.t018	细胞	N		
d001.s023.t019	，	X	,	
d001.s023.t020	如	R	such as	bn:00115147r
d001.s023.t021	癌细胞	N	cancer	bn:00015180n
d001.s023.t022	的	X		
d001.s023.t023	药物	N	medicine	bn:00054128n
d001.s023.t024	）	X	)	
d001.s023.t025	，	X	,	
d001.s023.t026	属于	V	belongs	bn:00083389v
d001.s023.t027	抗代谢药	N	antimetabolites	bn:00004691n
d001.s023.t028	类	N	group	bn:00018111n
d001.s023.t029	。	X	.	
d001.s024.t001	在	X	In	
d001.s024.t002	体内	N	body	bn:00011744n
d001.s024.t003	，	X	,	
d001.s024.t004	培美	N		
d001.s024.t005	曲	N		
d001.s024.t006	塞	N		
d001.s024.t007	被	X	is	
d001.s024.t008	转化	V		bn:00095091v
d001.s024.t009	成	X	into	
d001.s024.t010	活性	A	active	bn:00096387a
d001.s024.t011	形式	N	form	bn:00035913n
d001.s024.t012	，	X		
d001.s024.t013	从而	R	that	bn:00117263r
d001.s024.t014	抑制	V		bn:00084850v
d001.s024.t015	参与	V	involved	bn:00089893v
d001.s024.t016	生成	V	producing	bn:00084082v
d001.s024.t017	核苷酸	N	nucleotides	bn:00008788n
d001.s024.t018	（	X	(	
d001.s024.t019	DNA	N	DNA	bn:00026301n
d001.s024.t020	和	X	and	
d001.s024.t021	RNA	N	RNA	bn:00067714n
d001.s024.t022	的	X	of	
d001.s024.t023	组成部分	N	building blocks	bn:00013726n
d001.s024.t024	，	X	,	
d001.s024.t025	即	V	the	
d001.s024.t026	细胞	N	cells	bn:00017027n
d001.s024.t027	的	X		
d001.s024.t028	遗传物质	N	material	bn:00053801n
d001.s024.t029	）	X	)	
d001.s024.t030	的	X		
d001.s024.t031	酶	N	enzymes	bn:00031085n
d001.s024.t032	的	X		
d001.s024.t033	活性	N	activity	bn:00001130n
d001.s024.t034	。	X	.	
d001.s025.t001	Alimta	N	Alimta	bn:00602447n
d001.s025.t002	的	X		
d001.s025.t003	研究	N	studied	bn:00067280n
d001.s025.t004	进展	V	been	bn:00082400v
d001.s025.t005	如何	R	How	bn:13703919r
d001.s025.t006	？	X	?	
d001.s026.t001	为了	X	For	
d001.s026.t002	治疗	V	treatment	bn:00084532v
d001.s026.t003	恶性	A	malignant	bn:00106363a
d001.s026.t004	胸膜间	A	pleural	bn:00108692a
d001.s026.t005	皮	N		
d001.s026.t006	瘤	N		
d001.s026.t007	，	X	,	
d001.s026.t008	Alimta	N	Alimta	bn:00602447n
d001.s026.t009	已	R	has	bn:00114245r
d001.s026.t010	在	X	in	
d001.s026.t011	一	X	one	
d001.s026.t012	项	N		bn:00047730n
d001.s026.t013	主要	A	main	bn:00099598a
d001.s026.t014	研究	N	study	bn:00074790n
d001.s026.t015	中	X		
d001.s026.t016	对	X	in	
d001.s026.t017	456	X	456	
d001.s026.t018	名	N		bn:18091809n
d001.s026.t019	之前	R	before	bn:00114512r
d001.s026.t020	未	R	not	bn:00116360r
d001.s026.t021	接受	V	received	bn:00087863v
d001.s026.t022	过	X		
d001.s026.t023	化疗	N	chemotherapy	bn:00018141n
d001.s026.t024	的	X	who	
d001.s026.t025	患者	N	patients	bn:00061017n
d001.s026.t026	进行	V		bn:00087628v
d001.s026.t027	了	X		
d001.s026.t028	研究	N	studied	bn:00074790n
d001.s026.t029	。	X	.	
d001.s027.t001	比较	V	compared	bn:00085450v
d001.s027.t002	了	X		
d001.s027.t003	Alimta	N	Alimta	bn:00602447n
d001.s027.t004	与	X	with	
d001.s027.t005	顺	A		
d001.s027.t006	铂	N		
d001.s027.t007	联合	R	combination	bn:00115794r
d001.s027.t008	治疗	V		bn:00084532v
d001.s027.t009	与	X	with	
d001.s027.t010	单独	R	alone	bn:00114234r
d001.s027.t011	使用	V		bn:00082705v
d001.s027.t012	顺	A		
d001.s027.t013	铂	N		
d001.s027.t014	治疗	V		bn:00084532v
d001.s027.t015	的	X		
d001.s027.t016	效果	N	effects	bn:00029874n
d001.s027.t017	。	X	.	
d001.s028.t001	在	X	For	
d001.s028.t002	非	A		
d001.s028.t003	小	A		
d001.s028.t004	细胞	N	cell	bn:00017027n
d001.s028.t005	肺癌	N	cancer	bn:00015180n
d001.s028.t006	的	X	the	
d001.s028.t007	治疗	N	treatment	bn:00047235n
d001.s028.t008	方面	N		bn:00006382n
d001.s028.t009	，	X	,	
d001.s028.t010	一	X	one	
d001.s028.t011	项	N	were	bn:00047730n
d001.s028.t012	涉及	V	involving	bn:00089893v
d001.s028.t013	571	X		
d001.s028.t014	名	N		bn:18091809n
d001.s028.t015	既往	R	past	bn:00114512r
d001.s028.t016	接受	V	received	bn:00087863v
d001.s028.t017	过	X		
d001.s028.t018	化疗	N	chemotherapy	bn:00018141n
d001.s028.t019	的	X	who	
d001.s028.t020	局部	R	locally	bn:00116147r
d001.s028.t021	晚期	A	advanced	bn:00096528a
d001.s028.t022	或	X	or	
d001.s028.t023	转移性	A	metastatic	bn:00096528a
d001.s028.t024	疾病	N	disease	bn:00027546n
d001.s028.t025	患者	N	patients	bn:00061017n
d001.s028.t026	的	X		
d001.s028.t027	研究	N	study	bn:00074790n
d001.s028.t028	比较	V	compared	bn:00085450v
d001.s028.t029	了	X		
d001.s028.t030	Alimta	N	Alimta	bn:00602447n
d001.s028.t031	与	X	with	
d001.s028.t032	多西他赛	N	docetaxel	bn:01537207n
d001.s028.t033	（	X	(	
d001.s028.t034	另	X	another	
d001.s028.t035	一	X		
d001.s028.t036	种	N		bn:00078798n
d001.s028.t037	抗癌	A	anticancer	bn:00097220a
d001.s028.t038	药物	N	medicine	bn:00054128n
d001.s028.t039	）	X	)	
d001.s028.t040	的	X		
d001.s028.t041	效果	N	effects	bn:00029874n
d001.s028.t042	。	X	.	
d001.s029.t001	在	X	in	
d001.s029.t002	一	X	a	
d001.s029.t003	项	N		bn:00047730n
d001.s029.t004	涉及	V	involving	bn:00089893v
d001.s029.t005	1725	X	1,725	
d001.s029.t006	名	N		bn:18091809n
d001.s029.t007	过去	N	past	bn:00060927n
d001.s029.t008	未	R	not	bn:00116360r
d001.s029.t009	接受	V	received	bn:00087863v
d001.s029.t010	过	X		
d001.s029.t011	化疗	N	chemotherapy	bn:00018141n
d001.s029.t012	的	X	who	
d001.s029.t013	肺癌	N	cancer	bn:00015180n
d001.s029.t014	患者	N	patients	bn:00061017n
d001.s029.t015	的	X	in	
d001.s029.t016	研究	N	study	bn:00074790n
d001.s029.t017	中	X		
d001.s029.t018	，	X	,	
d001.s029.t019	阿利泰	N		
d001.s029.t020	还	R	also	bn:00114246r
d001.s029.t021	与	X	with	
d001.s029.t022	吉西他滨	N	cisplatin	bn:00577781n
d001.s029.t023	(	X	(	
d001.s029.t024	另	X	another	
d001.s029.t025	一	X		
d001.s029.t026	种	N		bn:00078798n
d001.s029.t027	抗癌	A	anticancer	bn:00097220a
d001.s029.t028	药	N	medicine	bn:00054128n
d001.s029.t029	)	X	)	
d001.s029.t030	进行	V		bn:00087628v
d001.s029.t031	了	X		
d001.s029.t032	比较	N	compared	bn:23824760n
d001.s029.t033	，	X		
d001.s029.t034	两者	N	both	
