Token ID	Token	POS	EN Token	BN Synset
d001.s029.t035	都	R		bn:00114203r
d001.s029.t036	与	X	with	
d001.s029.t037	顺	A		
d001.s029.t038	铂	N		
d001.s029.t039	联合	R	combination	bn:00115794r
d001.s029.t040	使用	V		bn:00082705v
d001.s029.t041	。	X		
d001.s030.t001	在	X	In	
d001.s030.t002	这	X	all	
d001.s030.t003	三	X	three	
d001.s030.t004	项	N		bn:00047730n
d001.s030.t005	研究	N	studies	bn:00067181n
d001.s030.t006	中	X		
d001.s030.t007	，	X	,	
d001.s030.t008	疗效	N	the	bn:00029876n
d001.s030.t009	的	X	the	
d001.s030.t010	主要	A	main	bn:00099598a
d001.s030.t011	衡量标准	N	measure	bn:00054019n
d001.s030.t012	是	V	was	
d001.s030.t013	患者	N	patients	bn:00061017n
d001.s030.t014	存活	V	survived	bn:00085382v
d001.s030.t015	的	X	of	
d001.s030.t016	时间	N	long	bn:00077267n
d001.s030.t017	。	X	.	
d001.s031.t001	Alimta	N	Alimta	bn:00602447n
d001.s031.t002	在	X	the	
d001.s031.t003	研究	N	studies	bn:00074790n
d001.s031.t004	期间	N	during	bn:00061605n
d001.s031.t005	显示出	V	shown	bn:00086567v
d001.s031.t006	了	X		
d001.s031.t007	什么	X	What	
d001.s031.t008	益处	N	benefit	bn:00037022n
d001.s031.t009	？	X	?	
d001.s032.t001	Alimta	N	Alimta	bn:00602447n
d001.s032.t002	延长	V	the	bn:00089667v
d001.s032.t003	了	X		
d001.s032.t004	恶性	A	malignant	bn:00106363a
d001.s032.t005	胸膜间	A	pleural	bn:00108692a
d001.s032.t006	皮	N		
d001.s032.t007	瘤	N		
d001.s032.t008	患者	N	patients	bn:00061017n
d001.s032.t009	的	X		
d001.s032.t010	生存	N	survival	bn:00030811n
d001.s032.t011	时间	N	time	bn:00077268n
d001.s032.t012	。	X	.	
d001.s033.t001	接受	V	receiving	bn:00087863v
d001.s033.t002	Alimta	N	Alimta	bn:00602447n
d001.s033.t003	和	X	and	
d001.s033.t004	顺	A		
d001.s033.t005	铂	N		
d001.s033.t006	治疗	N		bn:00047235n
d001.s033.t007	的	X		
d001.s033.t008	患者	N		bn:00061017n
d001.s033.t009	平均	A	average	bn:00097854a
d001.s033.t010	生存	V	survived	bn:00085382v
d001.s033.t011	为	V	of	
d001.s033.t012	12.1	X	12.1	
d001.s033.t013	个	N		
d001.s033.t014	月	N	months	bn:00055794n
d001.s033.t015	，	X	,	
d001.s033.t016	然而	R	compared	bn:00114627r
d001.s033.t017	仅	R		bn:00114234r
d001.s033.t018	接受	V	receiving	bn:00087863v
d001.s033.t019	顺铂	N	cisplatin	bn:00577781n
d001.s033.t020	治疗	N	alone	bn:00047235n
d001.s033.t021	的	X		
d001.s033.t022	患者	N	those	
d001.s033.t023	平均	A		bn:00097854a
d001.s033.t024	为	V		
d001.s033.t025	9.3	X	9.3	
d001.s033.t026	个	N		
d001.s033.t027	月	N	months	bn:00055794n
d001.s033.t028	。	X	.	
d001.s034.t001	在	X	In	
d001.s034.t002	治疗	V	treatment	bn:00084532v
d001.s034.t003	非	A		
d001.s034.t004	小	A		
d001.s034.t005	细胞	N	cell	bn:00017027n
d001.s034.t006	肺癌	N	cancer	bn:00015180n
d001.s034.t007	患者	N	patients	bn:00061017n
d001.s034.t008	方面	N		bn:00006382n
d001.s034.t009	，	X	,	
d001.s034.t010	Alimta	N	Alimta	bn:00602447n
d001.s034.t011	与	X	as	
d001.s034.t012	对照	A		bn:00097269a
d001.s034.t013	药物	N		bn:00054128n
d001.s034.t014	一样	R	as	bn:00114354r
d001.s034.t015	有效	A	effective	bn:00102038a
d001.s034.t016	。	X	.	
d001.s035.t001	对于	X	In	
d001.s035.t002	过去	N	past	bn:00060927n
d001.s035.t003	接受	V	received	bn:00087863v
d001.s035.t004	过	X	had	
d001.s035.t005	化疗	N	chemotherapy	bn:00018141n
d001.s035.t006	的	X	who	
d001.s035.t007	患者	N	patients	bn:00061017n
d001.s035.t008	，	X	,	
d001.s035.t009	使用	V	with	bn:00082705v
d001.s035.t010	Alimta	N	Alimta	bn:00602447n
d001.s035.t011	治疗	V		bn:00084532v
d001.s035.t012	后	X		
d001.s035.t013	平均	A	average	bn:00097854a
d001.s035.t014	生存	N		bn:00030811n
d001.s035.t015	期	N	time	bn:00077268n
d001.s035.t016	为	V	was	
d001.s035.t017	8.3	X	8.3	
d001.s035.t018	个	N		
d001.s035.t019	月	N	months	bn:00055794n
d001.s035.t020	，	X		
d001.s035.t021	而	R	with	
d001.s035.t022	使用	V	with	bn:00082705v
d001.s035.t023	多西他赛	N	docetaxel	bn:01537207n
d001.s035.t024	治疗	V		bn:00084532v
d001.s035.t025	后	X		
d001.s035.t026	平均	A		bn:00097854a
d001.s035.t027	生存	N		bn:00030811n
d001.s035.t028	期	N		bn:00077268n
d001.s035.t029	为	V		
d001.s035.t030	7.9	X	7.9	
d001.s035.t031	个	N		
d001.s035.t032	月	N	months	bn:00055794n
d001.s035.t033	。	X		
d001.s036.t001	对于	X	In	
d001.s036.t002	既往	R	past	bn:00114512r
d001.s036.t003	未	R	not	bn:00116360r
d001.s036.t004	接受	V	received	bn:00087863v
d001.s036.t005	过	X	had	
d001.s036.t006	化疗	N	chemotherapy	bn:00018141n
d001.s036.t007	的	X	who	
d001.s036.t008	患者	N	patients	bn:00061017n
d001.s036.t009	，	X	,	
d001.s036.t010	两	X	both	
d001.s036.t011	组	N	groups	bn:00041942n
d001.s036.t012	平均	A	average	bn:00097854a
d001.s036.t013	生存	N		bn:00030811n
d001.s036.t014	期	N	time	bn:00077268n
d001.s036.t015	均	R		bn:00114203r
d001.s036.t016	为	V	was	
d001.s036.t017	10.3	X	10.3	
d001.s036.t018	个	N		
d001.s036.t019	月	N	months	bn:00055794n
d001.s036.t020	。	X	.	
d001.s037.t001	然而	R	However	bn:00114627r
d001.s037.t002	，	X	,	
d001.s037.t003	在	X	in	
d001.s037.t004	这	X		
d001.s037.t005	两	X	both	
d001.s037.t006	项	N		bn:00047730n
d001.s037.t007	研究	N	studies	bn:00074790n
d001.s037.t008	中	X		
d001.s037.t009	，	X	,	
d001.s037.t010	对于	X	whose	
d001.s037.t011	癌症	N	cancer	bn:00015180n
d001.s037.t012	未	R	not	bn:00116360r
d001.s037.t013	影响	V		bn:00082427v
d001.s037.t014	到	X		
d001.s037.t015	鳞	N	squamous	
d001.s037.t016	状	N		
d001.s037.t017	细胞	N	cells	bn:00017027n
d001.s037.t018	的	X		
d001.s037.t019	患者	N	patients	bn:00061017n
d001.s037.t020	，	X		
d001.s037.t021	接受	V	received	bn:00087863v
d001.s037.t022	Alimta	N	Alimta	bn:00602447n
d001.s037.t023	治疗	N		bn:00047235n
d001.s037.t024	的	X		
d001.s037.t025	患者	N		
d001.s037.t026	比	X	than	
d001.s037.t027	接受	V	received	bn:00087863v
d001.s037.t028	对照	A		bn:00097269a
d001.s037.t029	药物	N		bn:00054128n
d001.s037.t030	治疗	N		bn:00047235n
d001.s037.t031	的	X		
d001.s037.t032	患者	N	they	
d001.s037.t033	存活	N	survival	bn:00030811n
d001.s037.t034	时间	N	times	bn:00077268n
d001.s037.t035	更	R		bn:00116285r
d001.s037.t036	长	A	longer	bn:00106124a
d001.s037.t037	。	X		
d001.s038.t001	相反	R	contrast	bn:00114842r
d001.s038.t002	，	X	,	
d001.s038.t003	癌症	N	cancer	bn:00015180n
d001.s038.t004	影响	V	affecting	bn:00082427v
d001.s038.t005	鳞	N		
d001.s038.t006	状	N		
d001.s038.t007	细胞	N		bn:00017027n
d001.s038.t008	的	X		
d001.s038.t009	患者	N	patients	bn:00061017n
d001.s038.t010	如果	X	if	
d001.s038.t011	接受	V	received	bn:00087863v
d001.s038.t012	Alimta	N	Alimta	bn:00602447n
d001.s038.t013	治疗	N		bn:00047235n
d001.s038.t014	则	R		bn:00117250r
d001.s038.t015	存活	N	survival	bn:00030811n
d001.s038.t016	时间	N	times	bn:00077268n
d001.s038.t017	较	R		
d001.s038.t018	短	A		
d001.s038.t019	。	X	.	
d002.s001.t001	kalgebra	N	kalgebra	bn:08534138n
d002.s001.t002	是	V	is	
d002.s001.t003	一个	X	a	
d002.s001.t004	基于	V	based	bn:00083141v
d002.s001.t005	内容	N	content	bn:00022153n
d002.s001.t006	标记	N	markup	bn:00053491n
d002.s001.t007	MathML	N	MathML	bn:03313895n
d002.s001.t008	语言	N	language	bn:00213650n
d002.s001.t009	的	X		
d002.s001.t010	数学	N		bn:00053823n
d002.s001.t011	计算器	N	calculator	bn:00946167n
d002.s001.t012	。	X	.	
d002.s002.t001	现在	R	Nowadays	bn:00116382r
d002.s002.t002	它	X	it	
d002.s002.t003	能够	V	capable	bn:13601970v
d002.s002.t004	进行	V	make	bn:00090557v
d002.s002.t005	简单	A	simple	bn:00102111a
d002.s002.t006	的	X		
d002.s002.t007	MathML	N	MathML	bn:03313895n
d002.s002.t008	运算	N		bn:00059128n
d002.s002.t009	（	X	(	
d002.s002.t010	算术的	A	arithmetic	bn:00097495a
d002.s002.t011	和	X	and	
d002.s002.t012	逻辑的	A	logical	bn:00105862a
d002.s002.t013	）	X	)	
d002.s002.t014	以及	X	and	
d002.s002.t015	表示	V	representate	bn:00086557v
d002.s002.t016	2D	N	2D	
d002.s002.t017	和	X	and	
d002.s002.t018	3D	N	3D	bn:00000102n
d002.s002.t019	图形	N	graphs	bn:00041412n
d002.s002.t020	。	X	.	
d002.s003.t001	实际上	R	actually	bn:00114118r
d002.s003.t002	，	X		
d002.s003.t003	不	R	not	bn:00116360r
d002.s003.t004	需要	V	necessary	bn:00091028v
d002.s003.t005	了解	V	know	bn:00085261v
d002.s003.t006	MathML	N	MathML	bn:03313895n
d002.s003.t007	就	R		bn:00114626r
d002.s003.t008	可以	V	to	
d002.s003.t009	使用	V	use	bn:00082705v
d002.s003.t010	kalgebra	N	kalgebra	bn:08534138n
d002.s003.t011	。	X	.	
d002.s004.t001	kalgebra	N	kalgebra	bn:08534138n
d002.s004.t002	是	V	is	
d002.s004.t003	一个	X	a	
d002.s004.t004	基于	V	based	bn:00083141v
d002.s004.t005	MathML	N	MathML	bn:03313895n
d002.s004.t006	的	X		
d002.s004.t007	图形	N	graph	bn:00041412n
d002.s004.t008	计算器	N	calculator	bn:00946167n
d002.s004.t009	。	X	.	
d002.s005.t001	尽管	X	Although	
d002.s005.t002	它	X	it	
d002.s005.t003	最初	R	initially	bn:00114055r
d002.s005.t004	是	V	was	
d002.s005.t005	面向	V	oriented	bn:00091201v
d002.s005.t006	MathML	N	MathML	bn:03313895n
d002.s005.t007	的	X		
d002.s005.t008	，	X		
d002.s005.t009	但是	R		bn:00114216r
d002.s005.t010	现在	R	now	bn:00114424r
d002.s005.t011	任何	X	everyone	
d002.s005.t012	具有	V	with	bn:00089241v
d002.s005.t013	少量	A	little	bn:00106058a
d002.s005.t014	数学	A	mathematical	bn:00106488a
d002.s005.t015	知识	N	knowledge	bn:00020452n
d002.s005.t016	的	X		
d002.s005.t017	人	N	by	bn:00061450n
d002.s005.t018	都	R		bn:00114203r
d002.s005.t019	可以	V	can	
d002.s005.t020	使用	V	used	bn:00082705v
d002.s005.t021	它	X	it	
d002.s005.t022	。	X		
d002.s006.t001	这	X	Here	
d002.s006.t002	是	V	s	
d002.s006.t003	kalgebra	N	kalgebra	bn:08534138n
d002.s006.t004	主	A	main	bn:00099598a
d002.s006.t005	窗口	N	window	bn:00081292n
d002.s006.t006	的	X	of	
d002.s006.t007	屏幕截图	N	screenshot	bn:01157212n
d002.s007.t001	kalgebra	N	kalgebra	bn:08534138n
d002.s007.t002	主窗口	N	window	bn:00081292n
d002.s008.t001	kalgebra	N	kalgebra	bn:08534138n
d002.s008.t002	主窗口	N	window	bn:00081292n
d002.s008.t003	由	X	in	
d002.s008.t004	一	X	a	
d002.s008.t005	个	N		
d002.s008.t006	控制台	N	Console	bn:00020949n
d002.s008.t007	选项	N		
d002.s008.t008	卡	N	tab	bn:00120018n
d002.s008.t009	、	X	,	
d002.s008.t010	一	X	a	
d002.s008.t011	个	N		
d002.s008.t012	二维	N	2D	bn:00780722n
d002.s008.t013	图形	N	Graph	bn:00041412n
d002.s008.t014	选项	N		
d002.s008.t015	卡	N	tab	bn:00120018n
d002.s008.t016	、	X	,	
d002.s008.t017	一个	X	a	
d002.s008.t018	三维	N	3D	bn:15649186n
d002.s008.t019	图形	N		
d002.s008.t020	选项	N		
d002.s008.t021	卡	N	tab	bn:00120018n
d002.s008.t022	和	X	and	
d002.s008.t023	一	X		
d002.s008.t024	个	N		
d002.s008.t025	词典	N	Dictionary	bn:00026967n
d002.s008.t026	选项	N		
d002.s008.t027	卡	N		
d002.s008.t028	组成	V	consists	bn:00085498v
d002.s008.t029	。	X	.	
d002.s009.t001	在	X		
d002.s009.t002	这些	X	these	
d002.s009.t003	选项卡	N	tabs	bn:00120018n
d002.s009.t004	下面	R	Below	bn:00114401r
d002.s009.t005	，	X		
d002.s009.t006	您	X	you	
d002.s009.t007	将	X	will	
d002.s009.t008	看到	V	find	bn:00086708v
d002.s009.t009	一	X	an	
d002.s009.t010	个	N		
d002.s009.t011	输入	N	input	bn:00046850n
d002.s009.t012	字段	N	field	bn:00034274n
d002.s009.t013	，	X		
d002.s009.t014	您	X	your	
d002.s009.t015	可以	V		
d002.s009.t016	用	V		bn:00082711v
d002.s009.t017	它	X		
d002.s009.t018	来	X	to	
d002.s009.t019	输入	V	type	bn:00095295v
d002.s009.t020	函数	N	functions	bn:00036821n
d002.s009.t021	或	X	or	
d002.s009.t022	进行	V	do	bn:00087107v
d002.s009.t023	计算	N	calculations	bn:00014688n
d002.s009.t024	。	X		
d002.s010.t001	如果	X	If	
d002.s010.t002	我们	X	we	
d002.s010.t003	想	V	want	bn:00086682v
d002.s010.t004	了解	V	understand	bn:00092443v
d002.s010.t005	它	X	it	
d002.s010.t006	是	V	is	
d002.s010.t007	如何	R	how	bn:13606173r
d002.s010.t008	工作	V	works	bn:00088629v
d002.s010.t009	的	X		
d002.s010.t010	，	X	,	
d002.s010.t011	我们	X	we	
d002.s010.t012	能	V	can	
d002.s010.t013	做	V	do	bn:00087107v
d002.s010.t014	的	X		
d002.s010.t015	最	R		
d002.s010.t016	好	A	best	bn:00098274a
d002.s010.t017	的	X	the	
d002.s010.t018	事情	N	thing	bn:00076919n
d002.s010.t019	就是	R	is	bn:00115715r
d002.s010.t020	意识到	V	realize	bn:00082472v
d002.s010.t021	我们	X	our	
d002.s010.t022	的	X		
d002.s010.t023	输入	N	input	bn:00046850n
d002.s010.t024	正在	R	being	
d002.s010.t025	转换	V	converted	bn:00084772v
d002.s010.t026	成	V	into	bn:00083294v
d002.s010.t027	MathML	N	MathML	bn:03313895n
d002.s010.t028	，	X	it	
d002.s010.t029	尽管	X	although	
d002.s010.t030	没有	V	not	bn:00090161v
d002.s010.t031	必要	N	necessary	bn:00057131n
d002.s010.t032	了解	V	know	bn:00085261v
d002.s010.t033	MathML	N	MathML	bn:03313895n
d002.s010.t034	。	X		
d002.s011.t001	我	X	I	
d002.s011.t002	的	X	the	
d002.s011.t003	语法	N	syntax	bn:02561609n
d002.s011.t004	基本上	R	basically	bn:00114508r
d002.s011.t005	是	V	have	
d002.s011.t006	基于	V	based	bn:00083141v
d002.s011.t007	常识	N	sense	bn:00021164n
d002.s011.t008	的	X		
d002.s011.t009	，	X	,	
d002.s011.t010	对于	X	for	
d002.s011.t011	任何	X		
d002.s011.t012	人	N	anyone	bn:02268723n
d002.s011.t013	来说	X		
d002.s011.t014	这	X	it	
d002.s011.t015	都	R		bn:00114203r
d002.s011.t016	应该	V	should	
d002.s011.t017	不	R	not	bn:00116360r
d002.s011.t018	难	A	hard	bn:00101358a
d002.s011.t019	。	X	.	
d002.s012.t001	我	X	I	
d002.s012.t002	仔细	R	closely	bn:00114748r
d002.s012.t003	研究	V	looked	bn:00090448v
d002.s012.t004	了	X		
d002.s012.t005	maxima	N	maxima	bn:03857246n
d002.s012.t006	和	X	and	
d002.s012.t007	maple	N	maple	bn:03668936n
d002.s012.t008	的	X	s	
d002.s012.t009	语法	N	syntax	bn:02561609n
d002.s012.t010	，	X	so	
d002.s012.t011	发现	V		bn:00086708v
d002.s012.t012	它们	X	they	
d002.s012.t013	看起来	V	look	bn:00090452v
d002.s012.t014	非常	R	very	bn:00116789r
d002.s012.t015	相似	A	similar	bn:00096782a
d002.s012.t016	。	X	.	
d002.s013.t001	#ERROR!	X	#ERROR!	
d002.s013.t002	-	X	-	
d002.s013.t003	*	X	*	
d002.s013.t004	/	X	/	
d002.s013.t005	：	X	:	
d002.s013.t006	加	N	Addition	bn:00001296n
d002.s013.t007	、	X		
d002.s013.t008	减	N	subtraction	bn:00055233n
d002.s013.t009	、	X	,	
d002.s013.t010	乘	N		bn:00056300n
d002.s013.t011	、	X		
d002.s013.t012	除	N		bn:00027919n
d002.s013.t013	。	X	.	
d002.s014.t001	^	X	^	
d002.s014.t002	，	X	,	
d002.s014.t003	*	X		
d002.s014.t004	*	X		
d002.s014.t005	：	X	:	
d002.s014.t006	幂	N	Power	bn:00032355n
d002.s014.t007	，	X		
d002.s014.t008	你	X	you	
d002.s014.t009	可以	V	can	
d002.s014.t010	同时	R	both	bn:00114206r
d002.s014.t011	使用	V	use	bn:00082705v
d002.s014.t012	它们	X	them	
d002.s014.t013	。	X		
d002.s015.t001	也	R	Also	bn:00114246r
d002.s015.t002	可以	V	possible	
d002.s015.t003	使用	V	use	bn:00082705v
d002.s015.t004	unicode²	N	²	bn:02529895n
d002.s015.t005	字符	N	characters	bn:16907601n
d002.s015.t006	。	X	.	
d002.s016.t001	幂	N	Powers	bn:00032355n
d002.s016.t002	也是	V	are	
d002.s016.t003	建立	V	make	bn:00090557v
d002.s016.t004	根	N	roots	bn:00068247n
d002.s016.t005	的	X		
d002.s016.t006	一	X	one	
d002.s016.t007	种	N		bn:00078798n
d002.s016.t008	方法	N	way	bn:00001965n
d002.s016.t009	。	X	.	
d002.s017.t001	-	X		
d002.s017.t002	gt	N		
d002.s017.t003	：	X	:	
d002.s017.t004	这	X	It	
d002.s017.t005	是	V	the	
d002.s017.t006	在	X	in	
d002.s017.t007	函数	N	function	bn:00036821n
d002.s017.t008	中	X		
d002.s017.t009	指定	V	specify	bn:00086468v
d002.s017.t010	有	V		
d002.s017.t011	界	N		
d002.s017.t012	变量	N	variable	bn:00079583n
d002.s017.t013	的	X	the	
d002.s017.t014	方法	N		bn:00001965n
d002.s017.t015	。	X	.	
d002.s018.t001	（	X	(	
d002.s018.t002	）	X	)	
d002.s018.t003	：	X	:	
d002.s018.t004	用于	V	used	bn:00082705v
d002.s018.t005	指定	V	specify	bn:00086468v
d002.s018.t006	较	R		
d002.s018.t007	高	A	higher	bn:00104162a
d002.s018.t008	的	X	a	
d002.s018.t009	优先级	N	priority	bn:00004489n
d002.s018.t010	。	X	.	
d002.s019.t001	abc	N		
d002.s019.t002	(	X		
d002.s019.t003	params	N		
d002.s019.t004	)	X		
d002.s019.t005	：	X	:	
d002.s019.t006	当	X	When	
d002.s019.t007	解析器	N	parser	bn:00060753n
d002.s019.t008	找到	V	finds	bn:00082811v
d002.s019.t009	一个	X	a	
d002.s019.t010	函数	N	function	bn:00036821n
d002.s019.t011	时	X		
d002.s019.t012	，	X	,	
d002.s019.t013	它	X	it	
d002.s019.t014	会	V		
d002.s019.t015	检查	V	checks	bn:00082813v
d002.s019.t016	abc	N	abc	
d002.s019.t017	是否	R	if	
d002.s019.t018	是	V	is	
d002.s019.t019	一个	X	an	
d002.s019.t020	运算	N	operator	bn:00059141n
d002.s019.t021	符	N		
d002.s019.t022	。	X	.	
d002.s020.t001	如果	X	If	
d002.s020.t002	是	V	is	
d002.s020.t003	，	X	,	
d002.s020.t004	它	X	it	
d002.s020.t005	将	X	will	
d002.s020.t006	被	X	be	
d002.s020.t007	视为	V	treated	bn:00095141v
d002.s020.t008	运算符	N	operator	bn:00059141n
d002.s020.t009	，	X	,	
d002.s020.t010	如果	X	if	
d002.s020.t011	不是	V	not	bn:27110432v
d002.s020.t012	，	X	,	
d002.s020.t013	它	X	it	
d002.s020.t014	将	R	will	
d002.s020.t015	被	X	be	
d002.s020.t016	视为	V	treated	bn:00095141v
d002.s020.t017	用户	N	user	bn:00079373n
d002.s020.t018	函数	N	function	bn:00036821n
d002.s020.t019	。	X	.	
d002.s021.t001	：	X	:	
d002.s021.t002	#ERROR!	X	#ERROR!	
d002.s021.t003	：	X	:	
d002.s021.t004	用于	V	used	bn:00082705v
d002.s021.t005	定义	V	define	bn:00086468v
d002.s021.t006	一个	X	a	
d002.s021.t007	变量	N	variable	bn:00079583n
d002.s021.t008	值	N	value	bn:00079508n
d002.s021.t009	。	X	.	
d002.s022.t001	？	X	?	
d002.s022.t002	：	X	:	
d002.s022.t003	分段	N		bn:03132721n
d002.s022.t004	条件	A	condition	bn:00100214a
d002.s022.t005	定义	N	definition	bn:00025928n
d002.s022.t006	。	X	.	
d002.s023.t001	我们	X	we	
d002.s023.t002	可以	V	can	
d002.s023.t003	在	X	in	
d002.s023.t004	kalgebra	N	kalgebra	bn:08534138n
d002.s023.t005	中	X		
d002.s023.t006	定义	V	define	bn:00086468v
d002.s023.t007	条件	A	conditional	bn:00100214a
d002.s023.t008	运算	N	operations	bn:00053826n
d002.s023.t009	的	X		
d002.s023.t010	方式	N	way	bn:00054625n
d002.s023.t011	是	V	is	
d002.s023.t012	分段	N	Piecewise	bn:03132721n
d002.s023.t013	方式	N		
d002.s023.t014	。	X	.	
d002.s024.t001	如果	X	If	
d002.s024.t002	我们	X	we	
d002.s024.t003	在			
d002.s024.t004	?	X	?	
d002.s024.t005	之前	N	before	bn:00060927n
d002.s024.t006	引入	V	introduce	bn:00087681v
d002.s024.t007	条件	N	condition	bn:00021645n
d002.s024.t008	，	X		
d002.s024.t009	则	R		bn:00117250r
d002.s024.t010	仅	R	only	bn:00114626r
d002.s024.t011	当	X	if	
d002.s024.t012	条件	N		
d002.s024.t013	为	V		
d002.s024.t014	真	N	TRUE	bn:00855623n
d002.s024.t015	时	X		
d002.s024.t016	才	X		
d002.s024.t017	会	X	will	
d002.s024.t018	使用	V	use	bn:00082705v
d002.s024.t019	此	X	this	
d002.s024.t020	条件	N	condition	bn:00021645n
d002.s024.t021	，	X	,	
d002.s024.t022	如果	X	if	
d002.s024.t023	发现	V	finds	bn:00086708v
d002.s024.t024	没有	V	without	bn:00090161v
d002.s024.t025	任何	X	any	
d002.s024.t026	条件	N	condition	bn:00021645n
d002.s024.t027	的	X		
d002.s024.t028	?	X	?	
d002.s024.t029	，	X		
d002.s024.t030	它	X	it	
d002.s024.t031	将	X	will	
d002.s024.t032	进入	V	enter	bn:00085363v
d002.s024.t033	最后	A	last	bn:00102969a
d002.s024.t034	一	X		
d002.s024.t035	个	N	the	
d002.s024.t036	实例	N	instance	bn:00016401n
d002.s024.t037	。	X	.	
d002.s025.t001	{	X	{	
d002.s025.t002	}	X	}	
d002.s025.t003	：	X	:	
d002.s025.t004	MathML	N	MathML	bn:03313895n
d002.s025.t005	容器	N	container	bn:03305154n
d002.s025.t006	。	X	.	
d002.s026.t001	它	X	It	
d002.s026.t002	可	V	can	
d002.s026.t003	用于	V	used	bn:00082705v
d002.s026.t004	定义	V	define	bn:00086466v
d002.s026.t005	一个	X	a	
d002.s026.t006	容器	N	container	bn:03305154n
d002.s026.t007	。	X	.	
d002.s027.t001	主要	R	Mainly	bn:00114714r
d002.s027.t002	用于	V	for	bn:00082705v
d002.s027.t003	分段	N	piecewise	bn:03132721n
d002.s027.t004	工作	N	working	bn:00081568n
d002.s027.t005	。	X	.	
d002.s028.t001	现在	R	Now	bn:00114424r
d002.s028.t002	您	X	you	
d002.s028.t003	可能	V	could	
d002.s028.t004	会	V		
d002.s028.t005	问	V	ask	bn:00082821v
d002.s028.t006	我	X	me	
d002.s028.t007	，	X	,	
d002.s028.t008	用户	N	user	bn:00079373n
d002.s028.t009	为什么	R	why	
d002.s028.t010	要	V	should	
d002.s028.t011	介意	V	about	
d002.s028.t012	MathML	N	MathML	bn:03313895n
d002.s028.t013	？	X	?	
d002.s029.t001	这	X	this	
d002.s029.t002	很	R	That	bn:00115619r
d002.s029.t003	简单	A	easy	bn:00101973a
d002.s029.t004	。	X	.	
d002.s029.t005	有	V	With	
d002.s029.t006	了	X		
d002.s029.t007	它	X		
d002.s029.t008	，	X	,	
d002.s029.t009	我们	X	we	
d002.s029.t010	就	R		bn:00114626r
d002.s029.t011	可以	V	can	
d002.s029.t012	操作	V	operate	bn:00085744v
d002.s029.t013	cos	N		
d002.s029.t014	(	X		
d002.s029.t015	)	X		
d002.s029.t016	、	X	,	
d002.s029.t017	sin	N		
d002.s029.t018	(	X		
d002.s029.t019	)	X		
d002.s029.t020	等	R		bn:00114282r
d002.s029.t021	函数	N	functions	bn:00036821n
d002.s029.t022	，	X		
d002.s029.t023	以及	X		
d002.s029.t024	任何	X	any	
d002.s029.t025	其他	A	other	bn:00108011a
d002.s029.t026	三角	N		
d002.s029.t027	函数	N	functions	bn:00036821n
d002.s029.t028	、	X		
d002.s029.t029	sum	N		
d002.s029.t030	(	X		
d002.s029.t031	)	X		
d002.s029.t032	或	X	or	
d002.s029.t033	product	N		
d002.s029.t034	(	X		
d002.s029.t035	)	X		
d002.s029.t036	。	X	.	
d002.s030.t001	不管	R	matter	bn:00115067r
d002.s030.t002	是	V	is	
d002.s030.t003	哪	X	what	
d002.s030.t004	种	N		bn:00078798n
d002.s030.t005	类型	N	kind	bn:00035907n
d002.s030.t006	。	X	.	
d002.s031.t001	我们	X	We	
d002.s031.t002	可以	V	can	
d002.s031.t003	使用	V	use	bn:00082705v
d002.s031.t004	plus	N		
d002.s031.t005	(	X		
d002.s031.t006	)	X		
d002.s031.t007	、	X	,	
d002.s031.t008	times	N		
d002.s031.t009	(	X		
d002.s031.t010	)	X		
