d001.s001.t001	document%1:10:00::
d001.s001.t002	summary%1:10:00::
d001.s001.t003	european%3:01:00::
d001.s001.t004	public%3:00:00::
d001.s001.t005	assessment%1:04:00::
d001.s001.t006	report%1:10:03::
d001.s002.t001	explain%2:32:01::
d001.s002.t002	committee%1:14:00::
d001.s002.t003	medicinal%5:00:00:healthful:00
d001.s002.t004	product%1:06:00::
d001.s002.t005	human%3:01:01::
d001.s002.t006	use%1:04:00::
d001.s002.t007	assess%2:31:00::
d001.s002.t008	study%1:04:00::
d001.s002.t009	perform%2:36:00::
d001.s002.t010	reach%2:38:06::
d001.s002.t011	recommendation%1:10:00::
d001.s002.t012	use%2:34:01::
d001.s002.t013	medicine%1:06:00::
d001.s003.t001	need%2:34:01::
d001.s003.t002	more%3:00:01::
d001.s003.t003	information%1:14:00::
d001.s003.t004	medical%3:00:00::
d001.s003.t005	condition%1:26:05::
d001.s003.t006	treatment%1:04:00::
d001.s003.t007	read%2:31:00::
d001.s003.t008	package%1:14:00::
d001.s003.t009	leaflet%1:10:00::
d001.s003.t010	also%4:02:00::
d001.s003.t011	part%1:09:00::
d001.s003.t012	contact%2:32:00::
d001.s003.t013	doctor%1:18:00::
d001.s003.t014	pharmacist%1:18:00::
d001.s004.t001	want%2:37:00::
d001.s004.t002	more%3:00:01::
d001.s004.t003	information%1:14:00::
d001.s004.t004	basis%1:24:00::
d001.s004.t005	recommendation%1:10:00::
d001.s004.t006	read%2:31:00::
d001.s004.t007	scientific%3:00:00::
d001.s004.t008	discussion%1:10:02::
d001.s004.t009	also%4:02:00::
d001.s004.t010	part%1:09:00::
d001.s006.t001	powder%1:06:01::
d001.s006.t002	make_up%2:42:00::
d001.s006.t003	solution%1:27:00::
d001.s006.t004	infusion%1:04:00::
d001.s006.t005	drip%2:35:10::
d001.s006.t006	vein%1:08:00::
d001.s007.t001	contain%2:42:00::
d001.s007.t002	active%3:00:07::
d001.s007.t003	substance%1:03:01::
d001.s008.t001	use%2:34:01::
d001.s009.t001	use%2:34:01::
d001.s009.t002	treat%2:29:00::
d001.s009.t003	type%1:09:00::
d001.s009.t004	cancer%1:26:00::
d001.s009.t005	pleural%3:01:00::
d001.s009.t006	mesothelioma%1:26:00::
d001.s009.t007	cancer%1:26:00::
d001.s009.t008	lining%1:06:00::
d001.s009.t009	lung%1:08:00::
d001.s009.t010	usually%4:02:00::
d001.s009.t011	cause%2:36:00::
d001.s009.t012	exposure%1:04:01::
d001.s009.t013	asbestos%1:27:00::
d001.s010.t001	use%2:34:01::
d001.s010.t002	together_with%4:02:00::
d001.s010.t003	anticancer%3:01:00::
d001.s010.t004	medicine%1:06:00::
d001.s010.t005	cancer%1:26:00::
d001.s010.t006	remove%2:30:00::
d001.s010.t007	surgery%1:04:01::
d001.s010.t008	alone%5:00:00:exclusive:00
d001.s010.t009	malignant%3:00:02::
d001.s010.t010	spread%2:35:07::
d001.s010.t011	likely%3:00:04::
d001.s010.t012	spread%2:35:07::
d001.s010.t013	easily%4:02:01::
d001.s010.t014	other%3:00:00::
d001.s010.t015	part%1:17:00::
d001.s010.t016	body%1:08:00::
d001.s010.t017	patient%1:18:00::
d001.s010.t018	not%4:02:00::
d001.s010.t019	receive%2:39:03::
d001.s010.t020	chemotherapy%1:04:00::
d001.s010.t021	medicine%1:06:00::
d001.s010.t022	cancer%1:26:00::
d001.s010.t023	advanced%5:00:00:late:02
d001.s010.t024	metastatic%3:01:00::
d001.s010.t025	cell%1:03:00::
d001.s010.t026	lung_cancer%1:26:00::
d001.s010.t027	not%4:02:00::
d001.s010.t028	affect%2:29:00::
d001.s010.t029	squamous_cell%1:08:00::
d001.s011.t001	use%2:34:01::
d001.s011.t002	combination%1:04:00::
d001.s011.t003	patient%1:18:00::
d001.s011.t004	not%4:02:00::
d001.s011.t005	treat%2:29:00::
d001.s011.t006	patient%1:18:00::
d001.s011.t007	receive%2:39:03::
d001.s011.t008	type%1:09:00::
d001.s011.t009	chemotherapy%1:04:00::
d001.s011.t010	past%1:28:01::
d001.s012.t001	medicine%1:06:00::
d001.s012.t002	only%4:02:03::
d001.s012.t003	obtain%2:40:00::
d001.s012.t004	prescription%1:10:01::
d001.s013.t001	use%2:34:01::
d001.s014.t001	only%4:02:03::
d001.s014.t002	give%2:40:13::
d001.s014.t003	supervision%1:04:00::
d001.s014.t004	doctor%1:18:00::
d001.s014.t005	use%1:04:00::
d001.s014.t006	anticancer%3:01:00::
d001.s014.t007	chemotherapy%1:04:00::
d001.s015.t001	dose%1:06:00::
d001.s015.t002	mg%1:23:00::
d001.s015.t003	square_metre%1:23:00::
d001.s015.t004	body%1:08:00::
d001.s015.t005	surface_area%1:07:00::
d001.s015.t006	calculate%2:31:00::
d001.s015.t007	use%2:34:01::
d001.s015.t008	patient%1:18:00::
d001.s015.t009	height%1:07:01::
d001.s015.t010	weight%1:07:00::
d001.s016.t001	give%2:40:13::
d001.s016.t002	once%4:02:00::
d001.s016.t003	every%5:00:02:all:00
d001.s016.t004	week%1:28:00::
d001.s016.t005	intravenous%3:01:00::
d001.s016.t006	infusion%1:04:00::
d001.s016.t007	last%2:42:00::
d001.s016.t008	minute%1:28:00::
d001.s017.t001	reduce%2:30:01::
d001.s017.t002	side_effect%1:26:00::
d001.s017.t003	patient%1:18:00::
d001.s017.t004	take%2:34:00::
d001.s017.t005	corticosteroid%1:27:00::
d001.s017.t006	folic_acid%1:27:00::
d001.s017.t007	type%1:09:00::
d001.s017.t008	vitamin%1:27:00::
d001.s017.t009	injection%1:04:01::
d001.s017.t010	vitamin_b12%1:27:00::
d001.s017.t011	treatment%1:04:00::
d001.s018.t001	give%2:40:13::
d001.s018.t002	medicine%1:06:00::
d001.s018.t003	prevent%2:41:01::
d001.s018.t004	vomit%2:29:00::
d001.s018.t005	fluid%1:27:02::
d001.s018.t006	prevent%2:41:01::
d001.s018.t007	dehydration%1:26:01::
d001.s018.t008	also%4:02:00::
d001.s018.t009	give%2:40:13::
d001.s018.t010	before%4:02:03::
d001.s018.t011	after%4:02:01::
d001.s018.t012	dose%1:06:00::
d001.s019.t001	treatment%1:04:00::
d001.s019.t002	delay%2:42:00::
d001.s019.t003	discontinue%2:30:00::
d001.s019.t004	dose%1:06:00::
d001.s019.t005	reduce%2:30:00::
d001.s019.t006	patient%1:18:00::
d001.s019.t007	blood_count%1:23:00::
d001.s019.t008	abnormal%3:00:00::
d001.s019.t009	have%2:29:05::
d001.s019.t010	certain%5:00:00:definite:00
d001.s019.t011	other%3:00:00::
d001.s019.t012	side_effect%1:26:00::
d001.s020.t001	not%4:02:00::
d001.s020.t002	recommend%2:32:01::
d001.s020.t003	use%1:04:00::
d001.s020.t004	patient%1:18:00::
d001.s020.t005	moderate%3:00:00::
d001.s020.t006	severe%5:00:01:bad:00
d001.s020.t007	kidney%1:08:00::
d001.s020.t008	problem%1:26:00::
d001.s021.t001	more%3:00:01::
d001.s021.t002	information%1:14:00::
d001.s021.t003	see%2:39:13::
d001.s021.t004	summary%1:10:00::
d001.s021.t005	product%1:06:00::
d001.s021.t006	also%4:02:00::
d001.s021.t007	part%1:09:00::
d001.s023.t001	active%3:00:07::
d001.s023.t002	substance%1:03:01::
d001.s023.t003	cytotoxic%3:01:00::
d001.s023.t004	medicine%1:06:00::
d001.s023.t005	medicine%1:06:00::
d001.s023.t006	kill%2:35:00::
d001.s023.t007	cell%1:03:00::
d001.s023.t008	divide%2:35:00::
d001.s023.t009	cancer_cell%1:08:00::
d001.s023.t010	belong_to%2:42:00::
d001.s023.t011	group%1:03:00::
d001.s023.t012	antimetabolite%1:06:00::
d001.s024.t001	body%1:08:00::
d001.s024.t002	convert%2:30:03::
d001.s024.t003	active%3:00:07::
d001.s024.t004	form%1:07:03::
d001.s024.t005	block%2:41:01::
d001.s024.t006	activity%1:22:00::
d001.s024.t007	enzyme%1:27:00::
d001.s024.t008	involve%2:42:04::
d001.s024.t009	produce%2:36:02::
d001.s024.t010	nucleotide%1:27:00::
d001.s024.t011	building_block%1:17:00::
d001.s024.t012	dna%1:27:00::
d001.s024.t013	rna%1:27:00::
d001.s024.t014	genetic%3:01:02::
d001.s024.t015	material%1:27:00::
d001.s024.t016	cell%1:03:00::
d001.s025.t001	study%2:31:02::
d001.s026.t001	treatment%1:04:00::
d001.s026.t002	malignant%3:00:02::
d001.s026.t003	pleural%3:01:00::
d001.s026.t004	mesothelioma%1:26:00::
d001.s026.t005	study%2:31:02::
d001.s026.t006	main%5:00:00:important:00
d001.s026.t007	study%1:04:00::
d001.s026.t008	patient%1:18:00::
d001.s026.t009	not%4:02:00::
d001.s026.t010	receive%2:39:03::
d001.s026.t011	chemotherapy%1:04:00::
d001.s026.t012	disease%1:26:00::
d001.s026.t013	before%4:02:03::
d001.s027.t001	effect%1:26:00::
d001.s027.t002	combination%1:04:00::
d001.s027.t003	compare%2:31:00::
d001.s027.t004	alone%4:02:01::
d001.s028.t001	treatment%1:04:00::
d001.s028.t002	cell%1:03:00::
d001.s028.t003	lung_cancer%1:26:00::
d001.s028.t004	effect%1:26:00::
d001.s028.t005	compare%2:31:00::
d001.s028.t006	anticancer%3:01:00::
d001.s028.t007	medicine%1:06:00::
d001.s028.t008	study%1:04:00::
d001.s028.t009	involve%2:42:04::
d001.s028.t010	patient%1:18:00::
d001.s028.t011	locally%4:02:01::
d001.s028.t012	advanced%5:00:00:late:02
d001.s028.t013	metastatic%3:01:00::
d001.s028.t014	disease%1:26:00::
d001.s028.t015	receive%2:39:03::
d001.s028.t016	chemotherapy%1:04:00::
d001.s028.t017	past%1:28:01::
d001.s029.t001	also%4:02:00::
d001.s029.t002	compare%2:31:00::
d001.s029.t003	anticancer%3:01:00::
d001.s029.t004	medicine%1:06:00::
d001.s029.t005	combination%1:04:00::
d001.s029.t006	study%1:04:00::
d001.s029.t007	involve%2:42:04::
d001.s029.t008	patient%1:18:00::
d001.s029.t009	not%4:02:00::
d001.s029.t010	receive%2:39:03::
d001.s029.t011	chemotherapy%1:04:00::
d001.s029.t012	lung_cancer%1:26:00::
d001.s029.t013	past%1:28:01::
d001.s030.t001	study%1:04:00::
d001.s030.t002	main%5:00:00:important:00
d001.s030.t003	measure%1:04:00::
d001.s030.t004	effectiveness%1:07:01::
d001.s030.t005	long%4:02:00::
d001.s030.t006	patient%1:18:00::
d001.s030.t007	survive%2:42:02::
d001.s031.t001	benefit%1:07:00::
d001.s031.t002	show%2:31:00::
d001.s031.t003	study%1:04:00::
d001.s032.t001	increase%2:30:02::
d001.s032.t002	survival%1:26:00::
d001.s032.t003	time%1:28:00::
d001.s032.t004	patient%1:18:00::
d001.s032.t005	malignant%3:00:02::
d001.s032.t006	pleural%3:01:00::
d001.s032.t007	mesothelioma%1:26:00::
d001.s033.t001	patient%1:18:00::
d001.s033.t002	receive%2:39:03::
d001.s033.t003	survive%2:42:02::
d001.s033.t004	average%1:09:01::
d001.s033.t005	month%1:28:00::
d001.s033.t006	compare%2:31:00::
d001.s033.t007	month%1:28:00::
d001.s033.t008	alone%4:02:01::
d001.s034.t001	treatment%1:04:00::
d001.s034.t002	patient%1:18:00::
d001.s034.t003	cell%1:03:00::
d001.s034.t004	lung_cancer%1:26:00::
d001.s034.t005	as%4:02:00::
d001.s034.t006	effective%3:00:00::
d001.s034.t007	as%4:02:00::
d001.s035.t001	patient%1:18:00::
d001.s035.t002	receive%2:39:03::
d001.s035.t003	chemotherapy%1:04:00::
d001.s035.t004	past%1:28:01::
d001.s035.t005	average%5:00:02:normal:01
d001.s035.t006	survival%1:26:00::
d001.s035.t007	time%1:28:00::
d001.s035.t008	month%1:28:00::
d001.s035.t009	compare%2:31:00::
d001.s035.t010	month%1:28:00::
d001.s036.t001	patient%1:18:00::
d001.s036.t002	not%4:02:00::
d001.s036.t003	receive%2:39:03::
d001.s036.t004	chemotherapy%1:04:00::
d001.s036.t005	past%1:28:01::
d001.s036.t006	average%5:00:02:normal:01
d001.s036.t007	survival%1:26:00::
d001.s036.t008	time%1:28:00::
d001.s036.t009	month%1:28:00::
d001.s036.t010	group%1:03:00::
d001.s037.t001	however%4:02:04::
d001.s037.t002	study%1:04:00::
d001.s037.t003	patient%1:18:00::
d001.s037.t004	cancer%1:26:00::
d001.s037.t005	not%4:02:00::
d001.s037.t006	affect%2:29:00::
d001.s037.t007	squamous_cell%1:08:00::
d001.s037.t008	have%2:29:05::
d001.s037.t009	long%3:00:02::
d001.s037.t010	survival%1:26:00::
d001.s037.t011	time%1:28:00::
d001.s038.t001	contrast%1:24:00::
d001.s038.t002	patient%1:18:00::
d001.s038.t003	cancer%1:26:00::
d001.s038.t004	affect%2:29:00::
d001.s038.t005	squamous_cell%1:08:00::
d001.s038.t006	have%2:29:05::
d001.s038.t007	short%3:00:02::
d001.s038.t008	survival%1:26:00::
d001.s038.t009	time%1:28:00::
d002.s001.t001	mathematical%3:01:00::
d002.s001.t002	base%2:31:00::
d002.s001.t003	markup%1:10:00::
d002.s002.t001	nowadays%4:02:00::
d002.s002.t002	capable%3:00:00::
d002.s002.t003	make%2:36:12::
d002.s002.t004	simple%5:00:00:easy:01
d002.s002.t005	operation%1:04:01::
d002.s002.t006	arithmetic%3:01:00::
d002.s002.t007	3d%1:09:00::
d002.s002.t008	graph%1:10:00::
d002.s003.t001	actually%4:02:02::
d002.s003.t002	not%4:02:00::
d002.s003.t003	necessary%3:00:00::
d002.s003.t004	know%2:31:00::
d002.s003.t005	use%2:34:01::
d002.s004.t001	base%2:31:00::
d002.s004.t002	graph%1:10:00::
d002.s005.t001	initially%4:02:00::
d002.s005.t002	orient%2:30:00::
d002.s005.t003	now%4:02:04::
d002.s005.t004	use%2:34:01::
d002.s005.t005	little%3:00:01::
d002.s005.t006	mathematical%3:01:00::
d002.s005.t007	knowledge%1:03:00::
d002.s006.t001	here%4:02:00::
d002.s006.t002	main%5:00:00:important:00
d002.s006.t003	window%1:06:03::
d002.s007.t001	main%5:00:00:important:00
d002.s007.t002	window%1:06:03::
d002.s008.t001	main%5:00:00:important:00
d002.s008.t002	window%1:06:03::
d002.s008.t003	consist%2:42:01::
d002.s008.t004	console%1:06:02::
d002.s008.t005	graph%1:10:00::
d002.s008.t006	3d%1:09:00::
d002.s008.t007	graph%1:10:00::
d002.s008.t008	dictionary%1:10:00::
d002.s009.t001	below%4:02:01::
d002.s009.t002	find%2:39:02::
d002.s009.t003	input%1:06:00::
d002.s009.t004	field%1:14:03::
d002.s009.t005	type%2:32:00::
d002.s009.t006	function%1:24:00::
d002.s009.t007	do%2:41:04::
d002.s009.t008	calculation%1:09:00::
d002.s010.t001	want%2:37:00::
d002.s010.t002	understand%2:31:00::
d002.s010.t003	work%2:35:02::
d002.s010.t004	best%3:00:00::
d002.s010.t005	thing%1:04:00::
d002.s010.t006	do%2:41:04::
d002.s010.t007	realize%2:31:00::
d002.s010.t008	input%1:06:00::
d002.s010.t009	convert%2:30:03::
d002.s010.t010	not%4:02:00::
d002.s010.t011	necessary%3:00:00::
d002.s010.t012	know%2:31:00::
d002.s011.t001	base%2:31:00::
d002.s011.t002	basically%4:02:00::
d002.s011.t003	common_sense%1:09:00::
d002.s011.t004	not%4:02:00::
d002.s011.t005	hard%3:00:06::
d002.s012.t001	look%2:39:00::
d002.s012.t002	closely%4:02:02::
d002.s012.t003	look%2:42:02::
d002.s012.t004	very%4:02:00::
d002.s012.t005	similar%3:00:02::
d002.s013.t001	addition%1:04:01::
d002.s013.t002	subtraction%1:04:01::
d002.s013.t003	multiplication%1:04:00::
d002.s013.t004	division%1:04:01::
d002.s014.t001	power%1:10:00::
d002.s014.t002	use%2:34:01::
d002.s015.t001	also%4:02:00::
d002.s015.t002	possible%3:00:00::
d002.s015.t003	use%2:34:01::
d002.s016.t001	power%1:10:00::
d002.s016.t002	way%1:04:01::
d002.s016.t003	make%2:36:12::
d002.s016.t004	root%1:23:00::
d002.s016.t005	too%4:02:01::
d002.s017.t001	way%1:07:01::
d002.s017.t002	specify%2:32:02::
d002.s017.t003	bounded%5:00:00:finite:00
d002.s017.t004	variable%1:10:00::
d002.s017.t005	function%1:24:00::
d002.s018.t001	use%2:34:01::
d002.s018.t002	specify%2:31:02::
d002.s018.t003	high%3:00:02::
d002.s018.t004	priority%1:07:00::
d002.s019.t001	parser%1:10:00::
d002.s019.t002	find%2:39:02::
d002.s019.t003	function%1:24:00::
d002.s019.t004	check%2:32:10::
d002.s019.t005	operator%1:24:00::
d002.s020.t001	treat%2:31:00::
d002.s020.t002	operator%1:24:00::
d002.s020.t003	not%4:02:00::
d002.s020.t004	treat%2:31:00::
d002.s020.t005	user%1:18:00::
d002.s020.t006	function%1:24:00::
d002.s021.t001	use%2:34:01::
d002.s021.t002	define%2:32:01::
d002.s021.t003	value%1:09:00::
d002.s022.t001	condition%1:10:01::
d002.s022.t002	definition%1:10:00::
d002.s023.t001	way%1:07:01::
d002.s023.t002	define%2:32:01::
d002.s023.t003	conditional%3:00:00::
d002.s023.t004	operation%1:04:01::
d002.s024.t001	introduce%2:35:00::
d002.s024.t002	condition%1:10:01::
d002.s024.t003	use%2:34:01::
d002.s024.t004	condition%1:10:01::
d002.s024.t005	only_if%4:02:00::
d002.s024.t006	true%3:00:04::
d002.s024.t007	find%2:39:02::
d002.s024.t008	condition%1:10:01::
d002.s024.t009	enter%2:38:00::
d002.s024.t010	last%3:00:00::
d002.s024.t011	instance%1:11:00::
d002.s026.t001	use%2:34:01::
d002.s026.t002	define%2:32:01::
d002.s027.t001	mainly%4:02:00::
d002.s027.t002	useful%5:00:00:functional:00
d002.s027.t003	work%2:41:02::
d002.s028.t001	now%4:02:04::
d002.s028.t002	ask%2:32:04::
d002.s028.t003	user%1:18:00::
d002.s029.t001	easy%3:00:01::
d002.s029.t002	operate%2:35:00::
d002.s029.t003	function%1:24:00::
d002.s029.t004	cos%1:24:00::
d002.s029.t005	sin%1:24:00::
d002.s029.t006	other%3:00:00::
d002.s029.t007	trigonometric%3:01:00::
d002.s029.t008	function%1:24:00::
d002.s029.t009	sum%1:09:01::
d002.s029.t010	product%1:09:00::
d002.s030.t001	not%4:02:00::
d002.s030.t002	matter%2:42:00::
d002.s030.t003	kind%1:09:00::
d002.s031.t001	use%2:34:01::
d002.s031.t002	plus%1:04:00::
d002.s031.t003	times%1:04:00::
d002.s031.t004	have%2:40:00::
d002.s031.t005	operator%1:24:00::
d002.s032.t001	useful%5:00:00:functional:00
d002.s033.t001	there%4:02:00::
d002.s033.t002	have%2:40:00::
d002.s033.t003	list%1:10:00::
d002.s033.t004	variable%1:10:00::
d002.s034.t001	see%2:39:03::
d002.s034.t002	let%2:41:00::
d002.s034.t003	change%2:30:01::
d002.s034.t004	value%1:09:00::
d002.s034.t005	just%4:02:00::
d002.s034.t006	way%1:04:01::
d002.s034.t007	trick%2:41:00::
d002.s034.t008	log%1:10:02::
d002.s035.t001	time%1:11:00::
d002.s035.t002	enter%2:35:03::
d002.s035.t003	expression%1:10:03::
d002.s035.t004	variable%1:10:00::
d002.s035.t005	value%1:09:00::
d002.s035.t006	change%2:30:01::
d002.s035.t007	last%3:00:00::
d002.s035.t008	result%1:11:00::
d002.s036.t001	new%5:00:00:other:00
d002.s036.t002	window%1:06:03::
d002.s037.t001	log%1:10:02::
d002.s038.t001	load%2:40:12::
d002.s039.t001	execute%2:36:01::
d002.s039.t002	instruction%1:10:02::
d002.s039.t003	file%1:10:00::
d002.s039.t004	sequentially%4:02:00::
d002.s040.t001	nice%3:00:00::
d002.s040.t002	want%2:37:00::
d002.s040.t003	define%2:32:01::
d002.s040.t004	library%1:14:01::
d002.s040.t005	resume%2:30:00::
d002.s040.t006	previous%5:00:00:preceding:00
d002.s040.t007	work%1:04:00::
d002.s041.t001	save%2:32:04::
d002.s042.t001	save%2:32:04::
d002.s042.t002	instruction%1:10:02::
d002.s042.t003	type%2:32:00::
d002.s042.t004	begin%2:42:02::
d002.s042.t005	able%5:00:00:competent:00
d002.s042.t006	reuse%2:34:00::
d002.s043.t001	generate%2:36:00::
d002.s043.t002	text_file%1:10:00::
d002.s043.t003	easy%3:00:01::
d002.s043.t004	fix%2:30:01::
d002.s043.t005	use%2:34:01::
d002.s043.t006	text_editor%1:10:00::
d002.s044.t001	save%2:32:04::
d002.s044.t002	log%1:10:02::
d002.s045.t001	save%2:32:04::
d002.s045.t002	log%1:10:02::
d002.s045.t003	result%1:11:00::
d002.s045.t004	html%1:10:00::
d002.s045.t005	able%5:00:00:competent:00
d002.s045.t006	print%2:36:00::
d002.s045.t007	publish%2:32:00::
d002.s046.t001	quit%2:42:04::
d002.s047.t001	program%1:10:02::
d002.s047.t002	down%4:02:04::
d002.s048.t001	add%2:30:00::
