ID	English	Farsi Translation
d001.s001	This document is a summary of the European Public Assessment Report ( EPAR ) .	این سند خلاصه ای از گزارش ارزیابی عمومی اروپا (EPAR) است.
d001.s002	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	این توضیح می دهد که چگونه کمیته فرآورده های دارویی برای استفاده انسانی (CHMP) مطالعات انجام شده را ارزیابی کرد تا به توصیه های آنها در مورد نحوه استفاده از دارو برسد.
d001.s003	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	اگر به اطلاعات بیشتری در مورد وضعیت پزشکی یا درمان خود نیاز دارید، بروشور بسته بندی را بخوانید (همچنین بخشی از EPAR است) یا با پزشک یا داروساز خود تماس بگیرید.
d001.s004	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	اگر بر اساس توصیه های CHMP اطلاعات بیشتری می خواهید، بحث علمی (همچنین بخشی از EPAR) را بخوانید.
d001.s005	What is Alimta ?	آلیمتا چیست؟
d001.s006	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	آلیمتا پودری است که به صورت محلول انفوزیون (قطره در رگ) ساخته می شود.
d001.s007	It contains the active substance pemetrexed .	حاوی ماده فعال پمترکسد است.
d001.s008	What is Alimta used for ?	Alimta برای چه مواردی استفاده می شود؟
d001.s009	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta برای درمان دو نوع سرطان استفاده می شود: مزوتلیومای پلور (سرطان پوشش ریه که معمولاً در اثر قرار گرفتن در معرض آزبست ایجاد می شود).
d001.s010	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	آلیمتا همراه با سیس پلاتین (یکی دیگر از داروهای ضد سرطان) در مواردی که سرطان قابل برداشتن نیست (به تنهایی با جراحی قابل برداشتن نیست) و بدخیم است (به راحتی به سایر نقاط بدن سرایت کرده است یا به احتمال زیاد به راحتی به سایر نقاط بدن سرایت کرده است) استفاده می شود. شیمی درمانی (داروهای سرطان) قبل از سرطان ریه سلول غیر کوچک پیشرفته یا متاستاتیک که بر سلول های سنگفرشی تأثیر نمی گذارد، دریافت کرد.
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	آلیمتا در ترکیب با سیس پلاتین در بیمارانی که قبلا تحت درمان قرار نگرفته اند و به تنهایی در بیمارانی که در گذشته نوع دیگری از شیمی درمانی را دریافت کرده اند استفاده می شود.
d001.s012	The medicine can only be obtained with a prescription .	دارو فقط با نسخه قابل تهیه است.
d001.s013	How is Alimta used ?	آلیمتا چگونه استفاده می شود؟
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	آلیمتا فقط باید تحت نظر پزشک متخصص در استفاده از شیمی درمانی ضد سرطان تجویز شود.
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .	دوز توصیه شده آلیمتا 500 میلی گرم به ازای هر متر مربع از سطح بدن (محاسبه با قد و وزن بیمار) است.
d001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes .	هر سه هفته یک بار به صورت انفوزیون داخل وریدی به مدت 10 دقیقه تجویز می شود.
d001.s017	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	برای کاهش عوارض جانبی، بیماران باید کورتیکواستروئید و اسید فولیک (نوعی ویتامین) مصرف کنند و در طول درمان با آلیمتا ویتامین B12 را تزریق کنند.
d001.s018	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	هنگامی که آلیمتا با سیس پلاتین تجویز می شود، باید قبل یا بعد از دوز سیس پلاتین، داروی ضد استفراغ (برای جلوگیری از استفراغ) و مایعات (برای جلوگیری از کم آبی بدن) تجویز شود.
d001.s019	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	در بیمارانی که شمارش خون آنها غیرطبیعی است یا عوارض جانبی خاصی دارند، درمان باید به تعویق بیفتد یا قطع شود یا دوز کاهش یابد.
d001.s020	Alimta is not recommended for use in patients with moderate or severe kidney problems .	استفاده از Alimta در بیماران مبتلا به مشکلات کلیوی متوسط یا شدید توصیه نمی شود.
d001.s021	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	برای اطلاعات بیشتر، به خلاصه مشخصات محصول (همچنین بخشی از EPAR) مراجعه کنید.
d001.s022	How does Alimta work ?	آلیمتا چگونه کار می کند؟
d001.s023	The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .	ماده فعال آلیمتا، پمترکسد، یک داروی سیتوتوکسیک (دارویی که سلول های در حال تقسیم مانند سلول های سرطانی را از بین می برد) است که به گروه آنتی متابولیت ها تعلق دارد.
d001.s024	In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .	در بدن، پمترکسد به شکل فعالی تبدیل می‌شود که فعالیت آنزیم‌هایی را که در تولید نوکلئوتیدها نقش دارند (بلوک‌های سازنده DNA و RNA، ماده ژنتیکی سلول‌ها) را مسدود می‌کند.
d001.s025	How has Alimta been studied ?	آلیمتا چگونه مورد مطالعه قرار گرفته است؟
d001.s026	For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .	برای درمان مزوتلیومای بدخیم پلور، Alimta در یک مطالعه اصلی روی 456 بیمار که قبلاً برای بیماری خود شیمی درمانی دریافت نکرده بودند، مورد بررسی قرار گرفت.
d001.s027	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .	اثرات آلیمتا در ترکیب با سیس پلاتین با سیس پلاتین به تنهایی مقایسه شد.
d001.s028	For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .	برای درمان سرطان ریه سلول غیر کوچک، اثرات آلیمتا با دوستاکسل (یک داروی ضد سرطان دیگر) در یک مطالعه که شامل 571 بیمار مبتلا به بیماری پیشرفته موضعی یا متاستاتیک بود که در گذشته شیمی درمانی شده بودند، مقایسه شد.
d001.s029	Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .	آلیمتا همچنین با جمسیتابین (یک داروی ضد سرطان دیگر)، هر دو در ترکیب با سیس پلاتین، در مطالعه ای که شامل 1725 بیمار بود که در گذشته شیمی درمانی برای سرطان ریه دریافت نکرده بودند، مقایسه شد.
d001.s030	In all three studies , the main measure of effectiveness was how long the patients survived .	در هر سه مطالعه، معیار اصلی اثربخشی مدت زنده ماندن بیماران بود.
d001.s031	What benefit has Alimta shown during the studies ?	آلیمتا در طول مطالعات چه فوایدی را نشان داده است؟
d001.s032	Alimta increased the survival time of patients with malignant pleural mesothelioma .	آلیمتا زمان بقای بیماران مبتلا به مزوتلیومای بدخیم پلور را افزایش داد.
d001.s033	Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .	بیمارانی که آلیمتا و سیس پلاتین دریافت کردند به طور متوسط 12.1 ماه زنده ماندند، در مقایسه با 9.3 ماه در بیمارانی که به تنهایی سیس پلاتین دریافت کردند.
d001.s034	In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .	در درمان بیماران مبتلا به سرطان ریه سلول غیر کوچک، Alimta به اندازه مقایسه کننده ها موثر بود.
d001.s035	In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .	در بیمارانی که در گذشته شیمی درمانی دریافت کرده بودند، میانگین زمان بقا با آلیمتا 8.3 ماه بود، در حالی که با دوستاکسل 7.9 ماه بود.
d001.s036	In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .	در بیمارانی که در گذشته شیمی درمانی دریافت نکرده بودند، میانگین زمان بقا در هر دو گروه 10.3 ماه بود.
d001.s037	However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .	با این حال، در هر دو مطالعه، بیمارانی که سرطان آنها سلول‌های سنگفرشی را تحت تأثیر قرار نداده بود، در صورت دریافت Alimta، زمان بقای طولانی‌تری نسبت به دریافت داروی مقایسه‌کننده داشتند.
d001.s038	In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta .	در مقابل، بیمارانی که سرطان آنها سلول های سنگفرشی را تحت تاثیر قرار داده بود، در صورت دریافت Alimta، زمان بقای کوتاه تری داشتند.
d002.s001	kalgebra is a mathematical calculator based on content markup MathML language .	kalgebra یک ماشین حساب ریاضی بر اساس نشانه گذاری محتوا زبان MathML است.
d002.s002	Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .	امروزه آن را قادر به انجام عملیات MathML ساده ( حسابی و منطقی ) و نمایش نمودارهای دو بعدی و سه بعدی می باشد .
d002.s003	It is actually not necessary to know MathML to use kalgebra .	در واقع برای استفاده از کالجبرا نیازی به دانستن MathML نیست.
d002.s004	kalgebra is a MathML based graph calculator .	kalgebra یک ماشین حساب گراف مبتنی بر MathML است.
d002.s005	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .	اگرچه در ابتدا مبتنی بر MathML بود، اکنون می‌تواند توسط همه افراد با دانش ریاضی کمی استفاده شود.
d002.s006	Here 's a screenshot of kalgebra main window	در اینجا یک اسکرین شات از پنجره اصلی کلجبرا آمده است
d002.s007	kalgebra main window	پنجره اصلی کالجبرا
d002.s008	kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .	پنجره اصلی kalgebra شامل یک تب Console، یک زبانه Graph 2D، یک Tab Graph 3D و یک زبانه Dictionary است.
d002.s009	Below these tabs you will find an input field to type your functions or do your calculations .	در زیر این برگه ها یک فیلد ورودی برای تایپ توابع یا انجام محاسبات خود خواهید یافت.
d002.s010	If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .	اگر می‌خواهیم بفهمیم که چگونه کار می‌کند، بهترین کاری که می‌توانیم انجام دهیم این است که متوجه شویم ورودی ما به MathML تبدیل می‌شود، اگرچه نیازی به دانستن MathML نیست.
d002.s011	I have based the syntax basically on common sense , it should not be hard for anyone .	من اساساً نحو را بر اساس عقل سلیم قرار داده ام، نباید برای کسی سخت باشد.
d002.s012	I ve looked closely to maxima and maple s syntax so they look very similar .	من از نزدیک به نحو ماکسیما و افرا نگاه کردم، بنابراین آنها بسیار شبیه به هم هستند.
d002.s013	+ - * / : Addition , subtraction , multiplication and division .	+ - * / : جمع , تفریق , ضرب و تقسیم .
d002.s014	^ , ** : Power , you can use them both .	^، **: قدرت، می توانید از هر دو استفاده کنید.
d002.s015	Also it is possible to use the unicode ² characters .	همچنین می توان از کاراکترهای یونیکد ² استفاده کرد.
d002.s016	Powers are one way to make roots too .	قدرت ها نیز یکی از راه های ایجاد ریشه هستند.
d002.s017	-gt : It s the way to specify the bounded variable in a function .	-gt: راهی برای تعیین متغیر محدود در یک تابع است.
d002.s018	( ) : It is used to specify a higher priority .	( ) : برای تعیین اولویت بالاتر استفاده می شود .
d002.s019	abc(params) : When the parser finds a function , it checks if abc is an operator .	abc(params): وقتی تجزیه کننده یک تابع را پیدا می کند، بررسی می کند که آیا abc یک عملگر است یا خیر.
d002.s020	If it is , it will be treated as an operator , if it is not , it will be treated as a user function .	اگر اینطور باشد، به عنوان یک اپراتور در نظر گرفته می شود، اگر اینطور نباشد، به عنوان یک تابع کاربر در نظر گرفته می شود.
d002.s021	: = : It is used to define a variable value .	: = : برای تعریف یک مقدار متغیر استفاده می شود.
d002.s022	? : Piecewise condition definition .	? : تعریف شرط تکه ای .
d002.s023	Piecewise is the way we can define conditional operations in kalgebra .	روشی است که ما می توانیم عملیات شرطی را در کلجبرا تعریف کنیم.
d002.s024	If we introduce the condition before the ? it will use this condition only if it is true , if it finds a ? without any condition , it will enter in the last instance .	اگر شرط را قبل از ? از این شرط فقط در صورتی استفاده می کند که درست باشد، اگر a را پیدا کند؟ بدون هیچ شرطی در آخرین نمونه وارد می شود .
d002.s025	{ } : MathML container .	{}: محفظه MathML.
d002.s026	It can be used to define a container .	می توان از آن برای تعریف یک ظرف استفاده کرد.
d002.s027	Mainly useful for working with piecewise .	به طور عمده برای کار با تکه ای مفید است.
d002.s028	Now you could ask me , why should the user mind about MathML ?	اکنون می توانید از من بپرسید که چرا کاربر باید به MathML توجه کند؟
d002.s029	That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum() or product() .	این آسان است. با این، ما می توانیم با توابعی مانند cos() ، sin() ، هر توابع مثلثاتی دیگر ، sum() یا product() کار کنیم.
d002.s030	It does not matter what kind it is .	فرقی نمی کند چه نوع باشد.
d002.s031	We can use plus() , times() and everything which has its operator .	می توانیم از plus() ، times() و هر چیزی که عملگر خود را دارد استفاده کنیم.
d002.s032	kalgebra 's console is useful as a calculator .	کنسول kalgebra به عنوان یک ماشین حساب مفید است.
d002.s033	There you have a list of the declared variables .	در آنجا لیستی از متغیرهای اعلام شده دارید.
d002.s034	By double clicking on them you will see a dialog that lets you change their values ( just a way to trick the log ) .	با دوبار کلیک کردن بر روی آنها یک گفتگو خواهید دید که به شما امکان می دهد مقادیر آنها را تغییر دهید (فقط راهی برای فریب دادن گزارش).
d002.s035	"Every time you enter an expression , the "" ans "" variable value will be changed to the last result ."	هر بار که یک عبارت را وارد می کنید , مقدار متغیر &quot; ans &quot; به آخرین نتیجه تغییر می کند .
d002.s036	Ctrl N New Window	Ctrl N پنجره جدید
d002.s037	Flushes the log .	لاگ را شستشو می دهد.
d002.s038	Ctrl L Load Script	Ctrl L Load Script
d002.s039	Executes the instructions in a file sequentially .	دستورالعمل های موجود در یک فایل را به صورت متوالی اجرا می کند.
d002.s040	Nice if you want to define some libraries or resume some previous work .	خوب است اگر می خواهید چند کتابخانه تعریف کنید یا کارهای قبلی را از سر بگیرید.
d002.s041	Ctrl G Save Script	Ctrl G ذخیره اسکریپت
d002.s042	Saves the instructions you have typed since the session began to be able to reuse .	دستورالعمل‌هایی را که از زمان شروع جلسه تایپ کرده‌اید ذخیره می‌کند تا بتواند دوباره از آن استفاده کند.
d002.s043	Generates text files so it should be easy to fix using any text editor , like Kate .	فایل‌های متنی تولید می‌کند، بنابراین باید با استفاده از هر ویرایشگر متنی، مانند Kate، آن را به راحتی برطرف کنید.
d002.s044	Ctrl S Save Log	Ctrl S ذخیره گزارش
d002.s045	Saves the log with all results into an HTML file to be able to print or publish .	گزارش را با تمام نتایج در یک فایل HTML ذخیره می کند تا بتواند چاپ یا منتشر کند.
d002.s046	Ctrl Q Quit	Ctrl Q خروج
d002.s047	Shuts the program down .	برنامه را خاموش می کند.
d002.s048	To add a new 2D graph on kalgebra , what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function .	برای افزودن یک نمودار 2 بعدی جدید در کالجبرا، کاری که باید انجام دهید این است که به تب 2D Graph بروید و روی زبانه Add کلیک کنید تا تابع جدید اضافه شود.
d002.s049	Then your focus will go to an input text box where you can type your function .	سپس تمرکز شما به کادر متنی ورودی می‌رود که در آن می‌توانید تابع خود را تایپ کنید.
d002.s050	If you want to use a typical f(x) function it is not necessary to specify it .	اگر می خواهید از یک تابع معمولی f(x) استفاده کنید، لازم نیست آن را مشخص کنید.
d002.s051	If you have entered the function click on the OK button to display the graph in the main window .	اگر تابع را وارد کرده اید روی دکمه OK کلیک کنید تا نمودار در پنجره اصلی نمایش داده شود.
d002.s052	You can set several graphs on the same view .	می توانید چندین نمودار را در یک نمای یکسان تنظیم کنید.
d002.s053	Just use the Add button when you are in List mode .	فقط وقتی در حالت لیست هستید از دکمه Add استفاده کنید.
d002.s054	You can set each graph its own color .	شما می توانید هر نمودار را رنگ مخصوص به خود تنظیم کنید.
d003.s002	The Foundation has recently been involved in organising a conference which dealt with this critical challenge .	این بنیاد اخیراً در سازماندهی کنفرانسی مشارکت داشته است که به این چالش حیاتی می پردازد.
d003.s003	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .	بیش از 100 شرکت کننده از گروه های ذینفع اصلی شرکت کردند و در مورد موضوعاتی مانند نقش بازیگران کلیدی از جمله مقامات دولتی، شرکای اجتماعی، سازمان های داوطلبانه و اجتماعی و همچنین کاربران خدمات بحث کردند.
d003.s004	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .	موارد نسبتا کمی از تلاش برای مشارکت دادن کاربران در برنامه‌ریزی خدمات گزارش شده است، اما مشارکت آنها در ارائه خدمات رایج‌تر است.
d003.s005	Note was also taken of the variety of different roles played by public welfare	همچنین به تنوع نقش های مختلف رفاه عمومی توجه شد
d003.s006	The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .	این بنیاد به همراه کمیسیون اروپا، وزارت امور اجتماعی اسپانیا و دولت منطقه ای گالیسیا، یک کنفرانس اروپایی در مورد طرد اجتماعی: چالشی بزرگ برای خدمات رفاهی عمومی ترتیب داد.
d003.s007	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .	این بنیاد اخیراً یک مطالعه مقایسه ای را به عنوان بخشی از پروژه EPOC منتشر کرده است که میزان مشارکت مستقیم می تواند کار را در عین افزایش سودآوری انسانی ارزیابی کند.
d003.s008	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .	این مطالعه بر اساس 195 مصاحبه شخصی با مقامات ارشد شرکای اجتماعی به عنوان نمایندگان سازمان های اوج سطح ملی در پانزده کشور اروپایی است.
d003.s009	As important industrial sectors , the metal industry and the banking sector were also included .	به عنوان بخشهای مهم صنعتی، صنعت فلز و بخش بانکی نیز در این بخش گنجانده شدند.
d003.s010	Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .	سخنرانان کلیدی در کنفرانس طرد اجتماعی عبارت بودند از (از چپ به راست) کریستینا لورو، اداره استخدام، روابط صنعتی و امور اجتماعی، کمیسیون اروپا فرناندو گومز، یک درجه عالی از کمیته مناطق باربارا ویلر، عضو پارلمان اروپا خوزه ماریا گیل- روبلز، معاون رئیس جمهور، پارلمان اروپا و جان کارول، کمیته اقتصادی و اجتماعی.
d003.s011	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .	مطالعات موردی هر گزارش ملی شامل مجموعه ای از بین 25 تا 30 ابتکار است که به بهترین وجه سیاست ها و شیوه ها را برای بهبود استخدام، آموزش و توسعه کارگران سالخورده در محل کار و جامعه ارائه می دهد.
d003.s012	For each country , two or three initiatives have been selected for further in depth case study .	برای هر کشور، دو یا سه طرح برای مطالعه موردی عمیق انتخاب شده است.
d003.s013	These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .	این مطالعات موردی پیشینه ابتکارات، تأثیر آنها بر الگوهای اشتغال و سازمان های کاری را تجزیه و تحلیل کرده و مزایا و مشکلات طرح را ارزیابی کردند.
d003.s014	Visits and interviews with key personnel were also undertaken .	بازدید و مصاحبه با پرسنل کلیدی نیز انجام شد.
d003.s015	These national studies will form the basis of a European report which synthesises overall practices .	این مطالعات ملی اساس یک گزارش اروپایی را تشکیل خواهد داد که شیوه های کلی را ترکیب می کند.
d003.s016	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .	گزارش و کتاب موردی از ابتکارات در سال 1996 منتشر می شود و زمینه برگزاری کنفرانسی را فراهم می کند که در پاییز 1996 برگزار می شود.
d003.s017	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .	هدف این بنیاد مستندسازی ویژگی‌های موانع سنی در استخدام و آموزش و تحلیل علل آن است.
d003.s018	The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .	دیدگاه های شرکای اجتماعی نیز با توجه ویژه به پیشنهادات برای رفع موانع سنی مورد بررسی قرار می گیرد.
d003.s019	Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .	ثالثاً، پروژه ابتکارات را در هر دو بخش دولتی و خصوصی که با موانع سنی، به ویژه برای کارگران مسن تر مبارزه می کنند، مستند و ارزیابی می کند.
d003.s020	Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .	به دنبال جایگزینی برای بازنشستگی پیش از موعد و اخراج، این پروژه در درجه اول به حفظ، ادغام مجدد و بازآموزی کارگران مسن تر می پردازد.
d003.s021	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .	پیشینه های جنسیتی و قومی کارگران و چگونگی ارتباط آنها با تبعیض سنی مورد بررسی قرار می گیرد.
d003.s022	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises .	این پروژه همچنین ابتکاراتی را برای مبارزه با تبعیض سنی در مناطق روستایی و در شرکت های کوچک و متوسط در نظر می گیرد.
d003.s023	Seven member states are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .	هفت کشور عضو تحت پوشش این پروژه هستند: بلژیک، فرانسه، آلمان، یونان، ایتالیا، هلند و بریتانیا.
d004.s001	This document is a summary of the European Public Assessment Report .	این سند خلاصه ای از گزارش ارزیابی عمومی اروپا است.
d004.s002	It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	این توضیح می دهد که چگونه کمیته محصولات دارویی برای استفاده دامپزشکی (CVMP) مطالعات انجام شده را ارزیابی کرد تا به توصیه های آنها در مورد نحوه استفاده از دارو برسد.
d004.s003	What is Cerenia ?	سرنیا چیست؟
d004.s004	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .	سرنیا حاوی ماده فعال ماروپیتانت است و به صورت قرص یا محلول تزریقی موجود است.
d004.s005	The tablets are pale-orange and have a score line on both sides so that they can be halved .	این قرص ها به رنگ نارنجی کم رنگ هستند و در هر دو طرف دارای یک خط نمره هستند که می توان آنها را نصف کرد.
d004.s006	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .	هر تبلت در یک طرف با نشان فایزر و در طرف دیگر با حروف MPT و مقدار maropitant مشخص شده است.
d004.s007	What is Cerenia used for ?	Cerenia برای چه مواردی استفاده می شود؟
d004.s008	Cerenia is an anti-emetic , this means that it stops vomiting .	سرنیا ضد استفراغ است، به این معنی که استفراغ را متوقف می کند.
d004.s009	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .	این دارو در سگ ها برای جلوگیری از استفراغ مانند استفراغ ناشی از شیمی درمانی (داروهایی که برای درمان سرطان استفاده می شود، که برخی از آنها باعث استفراغ می شوند) استفاده می شود.
d004.s010	In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .	در ترکیب با اقدامات حمایتی مانند سایر درمان‌های دامپزشکی یا رژیم غذایی خاص، سرنیا می‌تواند در درمان استفراغ (به صورت تزریقی یا تزریقی و به دنبال آن قرص) نیز استفاده شود.
d004.s011	For these purposes , Cerenia can be given for up to five days	برای این منظور، Cerenia می تواند تا پنج روز داده شود
d004.s012	How does Cerenia work ?	سرنیا چگونه کار می کند؟
d004.s013	Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .	سرنیا گیرنده نوروکینین 1 (NK1) را که در سیستم عصبی مرکزی عمل می کند، مسدود می کند.
d004.s014	How has Cerenia been studied ?	Cerenia چگونه مورد مطالعه قرار گرفته است؟
d004.s015	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .	تعداد زیادی از مطالعات با Cerenia بر روی سگ های آزمایشگاهی یا در بیماران حیوانی در مراکز دامپزشکی در چندین کشور اروپایی و در ایالات متحده انجام شد.
d004.s016	What benefit has Cerenia shown during the studies ?	Cerenia در طول مطالعات چه فوایدی را نشان داده است؟
d004.s017	The results of the studies showed that Cerenia was more effective than the placebo : less vomiting was seen in dogs that received the medicine than in dogs that received a placebo , both in the treatment or in the prevention of vomiting .	نتایج مطالعات نشان داد که Cerenia موثرتر از دارونما بود: در سگهایی که دارو دریافت کردند، استفراغ کمتری نسبت به سگهایی که دارونما دریافت کردند، هم در درمان و هم در پیشگیری از استفراغ مشاهده شد.
d004.s018	The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .	درمان سگ استفراغ کننده باید با تزریق شروع شود، زیرا حیوانات استفراغ کننده ممکن است نتوانند قرص را پایین نگه دارند (زیرا ممکن است دوباره قرص دست نخورده را به بالا پرتاب کنند).
d004.s019	For follow-up treatment , the animal owner can administer the tablets to the dog .	برای درمان بعدی، صاحب حیوان می تواند قرص ها را به سگ بدهد.
d004.s020	Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .	همچنین، درمان استفراغ تنها باید همراه با سایر اقدامات حمایتی یا سایر درمان های دامپزشکی باشد و در عین حال به علل زمینه ای استفراغ رسیدگی شود.
d004.s021	What is the risk associated with Cerenia ?	خطر مرتبط با سرنیا چیست؟
d004.s022	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time ( up to 3 times the recommended maximum duration of treatment ) .	زمانی که سرنیا روزانه در دوزهای تا 5 برابر دوزهای توصیه شده برای مدت زمان طولانی (تا 3 برابر حداکثر مدت زمان توصیه شده درمان) تجویز می شد، عموماً به خوبی تحمل می شد.
d004.s023	What are the precautions for the person who gives the medicine or comes into contact with the animal ?	برای فردی که دارو می دهد یا با حیوان تماس پیدا می کند چه اقدامات احتیاطی وجود دارد؟
d004.s024	Cerenia does not represent a particular risk for people .	Cerenia خطر خاصی را برای مردم نشان نمی دهد.
