Start	Finish	BN Synset
i001.s001.t002	i001.s001.t002	bn:00028015n
i001.s001.t005	i001.s001.t005	bn:00075142n
i001.s001.t008	i001.s001.t008	bn:00067181n
i001.s001.t009	i001.s001.t009	bn:00109211a
i001.s001.t011	i001.s001.t011	bn:00006502n
i001.s001.t012	i001.s001.t012	bn:00102440a
i001.s002.t003	i001.s002.t003	bn:00087869v
i001.s002.t009	i001.s002.t009	bn:00021015n
i001.s002.t012	i001.s002.t012	bn:00106556a
i001.s002.t014	i001.s002.t014	bn:00030627n
i001.s002.t015	i001.s002.t015	bn:00104385a
i001.s002.t017	i001.s002.t017	bn:00302314n
i001.s002.t020	i001.s002.t020	bn:00082720v
i001.s002.t022	i001.s002.t022	bn:00074790n
i001.s002.t024	i001.s002.t024	bn:00087107v
i001.s002.t027	i001.s002.t027	bn:00082226v
i001.s002.t029	i001.s002.t029	bn:00066562n
i001.s002.t032	i001.s002.t032	bn:00082705v
i001.s002.t034	i001.s002.t034	bn:00054128n
i001.s003.t002	i001.s003.t002	bn:00106935a
i001.s003.t003	i001.s003.t003	bn:00025314n
i001.s003.t007	i001.s003.t007	bn:00021648n
i001.s003.t009	i001.s003.t009	bn:00106555a
i001.s003.t012	i001.s003.t012	bn:00047235n
i001.s003.t014	i001.s003.t014	bn:00092424v
i001.s003.t016	i001.s003.t017	bn:00012133n
i001.s003.t024	i001.s003.t024	bn:00085696v
i001.s003.t024	i001.s003.t029	bn:00004992n
i001.s003.t026	i001.s003.t026	bn:00027976n
i001.s004.t002	i001.s004.t002	bn:00106935a
i001.s004.t003	i001.s004.t003	bn:00025314n
i001.s004.t008	i001.s004.t008	bn:00066562n
i001.s004.t010	i001.s004.t010	bn:00302314n
i001.s004.t012	i001.s004.t012	bn:00092424v
i001.s004.t014	i001.s004.t014	bn:00027523n
i001.s004.t015	i001.s004.t015	bn:00110175a
i001.s004.t017	i001.s004.t017	bn:00114246r
i001.s005.t004	i001.s005.t004	bn:00602447n
i001.s006.t001	i001.s006.t001	bn:00602447n
i001.s006.t004	i001.s006.t004	bn:00063926n
i001.s006.t006	i001.s006.t012	bn:00087306v
i001.s006.t008	i001.s006.t008	bn:00072760n
i001.s006.t010	i001.s006.t010	bn:00046734n
i001.s006.t017	i001.s006.t017	bn:00079681n
i001.s007.t001	i001.s007.t001	bn:00085499v
i001.s007.t003	i001.s007.t003	bn:00096387a
i001.s007.t004	i001.s007.t004	bn:00074986n
i001.s007.t005	i001.s007.t005	bn:00602447n
i001.s008.t005	i001.s008.t005	bn:00082705v
i001.s008.t006	i001.s008.t006	bn:00602447n
i001.s009.t001	i001.s009.t001	bn:00602447n
i001.s009.t003	i001.s009.t003	bn:00082705v
i001.s009.t005	i001.s009.t005	bn:00084532v
i001.s009.t008	i001.s009.t008	bn:00078798n
i001.s009.t010	i001.s009.t010	bn:00015180n
i001.s009.t013	i001.s009.t013	bn:00054512n
i001.s009.t014	i001.s009.t014	bn:00108692a
i001.s009.t016	i001.s009.t016	bn:00015180n
i001.s009.t018	i001.s009.t022	bn:00052341n
i001.s009.t024	i001.s009.t024	bn:00114778r
i001.s009.t025	i001.s009.t025	bn:00084069v
i001.s009.t027	i001.s009.t027	bn:00032379n
i001.s009.t029	i001.s009.t029	bn:00006236n
i001.s010.t001	i001.s010.t001	bn:00602447n
i001.s010.t003	i001.s010.t003	bn:00082705v
i001.s010.t007	i001.s010.t007	bn:00577781n
i001.s010.t011	i001.s010.t011	bn:00054128n
i001.s010.t012	i001.s010.t012	bn:00097220a
i001.s010.t012	i001.s010.t012	bn:00054128n
i001.s010.t016	i001.s010.t016	bn:00015180n
i001.s010.t016	i001.s010.t080	bn:00017027n
i001.s010.t019	i001.s010.t019	bn:00092783v
i001.s010.t027	i001.s010.t027	bn:00096871a
i001.s010.t028	i001.s010.t028	bn:00059129n
i001.s010.t033	i001.s010.t033	bn:00106363a
i001.s010.t037	i001.s010.t037	bn:00092083v
i001.s010.t041	i001.s010.t041	bn:00105981a
i001.s010.t043	i001.s010.t043	bn:00092083v
i001.s010.t044	i001.s010.t044	bn:00115155r
i001.s010.t047	i001.s010.t047	bn:00108011a
i001.s010.t048	i001.s010.t048	bn:00021395n
i001.s010.t050	i001.s010.t050	bn:00011744n
i001.s010.t054	i001.s010.t054	bn:00061017n
i001.s010.t056	i001.s010.t056	bn:00116360r
i001.s010.t058	i001.s010.t058	bn:00087863v
i001.s010.t063	i001.s010.t063	bn:00018141n
i001.s010.t070	i001.s010.t070	bn:00017027n
i001.s010.t073	i001.s010.t073	bn:00096528a
i001.s010.t075	i001.s010.t075	bn:00106664a
i001.s010.t077	i001.s010.t077	bn:00116360r
i001.s010.t078	i001.s010.t078	bn:00082427v
i001.s011.t001	i001.s011.t001	bn:00602447n
i001.s011.t003	i001.s011.t003	bn:00082705v
i001.s011.t005	i001.s011.t005	bn:00020872n
i001.s011.t007	i001.s011.t007	bn:00577781n
i001.s011.t009	i001.s011.t009	bn:00061017n
i001.s011.t010	i001.s011.t010	bn:00116360r
i001.s011.t011	i001.s011.t011	bn:00084532v
i001.s011.t018	i001.s011.t018	bn:00061017n
i001.s011.t021	i001.s011.t021	bn:00060927n
i001.s011.t024	i001.s011.t024	bn:00087863v
i001.s011.t028	i001.s011.t028	bn:00078798n
i001.s011.t030	i001.s011.t030	bn:00018141n
i001.s012.t002	i001.s012.t002	bn:00054128n
i001.s012.t002	i001.s012.t005	bn:00082276v
i001.s012.t006	i001.s012.t006	bn:00116450r
i001.s012.t008	i001.s012.t008	bn:00064195n
i001.s013.t003	i001.s013.t003	bn:00082705v
i001.s013.t004	i001.s013.t004	bn:00602447n
i001.s014.t001	i001.s014.t001	bn:00602447n
i001.s014.t004	i001.s014.t004	bn:00088826v
i001.s014.t005	i001.s014.t005	bn:00116450r
i001.s014.t008	i001.s014.t008	bn:00059908n
i001.s014.t011	i001.s014.t011	bn:00027976n
i001.s014.t015	i001.s014.t015	bn:00030627n
i001.s014.t017	i001.s014.t017	bn:00018141n
i001.s014.t018	i001.s014.t018	bn:00097220a
i001.s015.t002	i001.s015.t002	bn:00028320n
i001.s015.t005	i001.s015.t005	bn:00602447n
i001.s015.t009	i001.s015.t009	bn:00054701n
i001.s015.t011	i001.s015.t011	bn:00052501n
i001.s015.t014	i001.s015.t014	bn:00075374n
i001.s015.t015	i001.s015.t015	bn:00011744n
i001.s015.t015	i001.s015.t015	bn:00005518n
i001.s015.t017	i001.s015.t017	bn:00084373v
i001.s015.t018	i001.s015.t018	bn:00082705v
i001.s015.t020	i001.s015.t020	bn:00043545n
i001.s015.t023	i001.s015.t023	bn:00080831n
i001.s015.t025	i001.s015.t025	bn:00061017n
i001.s016.t005	i001.s016.t005	bn:00102230a
i001.s016.t006	i001.s016.t006	bn:00087620v
i001.s016.t008	i001.s016.t008	bn:00043484n
i001.s016.t023	i001.s016.t023	bn:00088826v
i001.s016.t024	i001.s016.t024	bn:00046734n
i001.s017.t002	i001.s017.t002	bn:00602447n
i001.s017.t006	i001.s017.t006	bn:00001507n
i001.s017.t009	i001.s017.t009	bn:00061017n
i001.s017.t011	i001.s017.t011	bn:00085689v
i001.s017.t013	i001.s017.t013	bn:00047235n
i001.s017.t017	i001.s017.t017	bn:00084079v
i001.s017.t025	i001.s017.t025	bn:00046785n
i001.s018.t002	i001.s018.t002	bn:00054128n
i001.s018.t005	i001.s018.t005	bn:00577781n
i001.s018.t011	i001.s018.t011	bn:00028320n
i001.s018.t017	i001.s018.t017	bn:00088826v
i001.s018.t019	i001.s018.t028	bn:00025983n
i001.s018.t021	i001.s018.t021	bn:00602447n
i001.s018.t025	i001.s018.t025	bn:00035426n
i001.s018.t025	i001.s018.t025	bn:00088454v
i001.s018.t026	i001.s018.t026	bn:00114246r
i001.s018.t028	i001.s018.t028	bn:00083115v
i001.s019.t002	i001.s019.t002	bn:00047235n
i001.s019.t006	i001.s019.t006	bn:00083908v
i001.s019.t008	i001.s019.t008	bn:00061017n
i001.s019.t010	i001.s019.t010	bn:00029874n
i001.s019.t010	i001.s019.t012	bn:00096158a
i001.s019.t011	i001.s019.t011	bn:00086514v
i001.s019.t011	i001.s019.t014	bn:00023139n
i001.s019.t014	i001.s019.t014	bn:00084079v
i001.s020.t002	i001.s020.t002	bn:00110473a
i001.s020.t003	i001.s020.t003	bn:00030627n
i001.s020.t006	i001.s020.t006	bn:00082418v
i001.s020.t009	i001.s020.t009	bn:00106826a
i001.s020.t010	i001.s020.t010	bn:00048242n
i001.s020.t011	i001.s020.t011	bn:00049083n
i001.s020.t012	i001.s020.t012	bn:00061017n
i001.s022.t005	i001.s022.t005	bn:00602447n
i001.s023.t004	i001.s023.t004	bn:00602447n
i001.s023.t006	i001.s023.t012	bn:00090098v
i001.s023.t009	i001.s023.t009	bn:00054128n
i001.s023.t010	i001.s023.t010	bn:00096387a
i001.s023.t014	i001.s023.t021	bn:00100866a
i001.s023.t019	i001.s023.t019	bn:00054128n
i001.s023.t021	i001.s023.t035	bn:00017027n
i001.s023.t024	i001.s023.t024	bn:00074986n
i001.s023.t027	i001.s023.t027	bn:00015180n
i001.s023.t029	i001.s023.t029	bn:00017027n
i001.s024.t002	i001.s024.t002	bn:00001130n
i001.s024.t005	i001.s024.t005	bn:00085761v
i001.s024.t006	i001.s024.t007	bn:00602447n
i001.s025.t009	i001.s025.t009	bn:00602447n
i001.s025.t012	i001.s025.t017	bn:00082596v
i001.s026.t002	i001.s026.t002	bn:00047235n
i001.s026.t004	i001.s026.t004	bn:00602447n
i001.s026.t005	i001.s026.t005	bn:00106363a
i001.s026.t009	i001.s026.t018	bn:00054512n
i001.s026.t012	i001.s026.t012	bn:00082596v
i001.s026.t018	i001.s026.t018	bn:00018141n
i001.s027.t003	i001.s027.t003	bn:00020872n
i001.s027.t013	i001.s027.t013	bn:00029874n
i001.s027.t015	i001.s027.t015	bn:00602447n
i001.s027.t018	i001.s027.t018	bn:00085450v
i001.s027.t022	i001.s027.t022	bn:00577781n
i001.s027.t037	i001.s027.t037	bn:00577781n
i001.s028.t001	i001.s028.t001	bn:00602447n
i001.s028.t005	i001.s028.t005	bn:00085450v
i001.s028.t007	i001.s028.t007	bn:01537207n
i001.s028.t010	i001.s028.t010	bn:00054128n
i001.s028.t011	i001.s028.t011	bn:00097220a
i001.s028.t015	i001.s028.t023	bn:00089893v
i001.s028.t022	i001.s028.t022	bn:00074790n
i001.s028.t025	i001.s028.t025	bn:00061017n
i001.s028.t028	i001.s028.t028	bn:00060927n
i001.s028.t033	i001.s028.t033	bn:00087863v
i001.s028.t033	i001.s028.t033	bn:00096528a
i001.s028.t035	i001.s028.t035	bn:00018141n
i001.s028.t037	i001.s028.t037	bn:00027546n
i001.s028.t037	i001.s028.t037	bn:00015180n
i001.s028.t038	i001.s028.t038	bn:00106664a
i001.s029.t002	i001.s029.t002	bn:00114246r
i001.s029.t006	i001.s029.t006	bn:00074790n
i001.s029.t010	i001.s029.t010	bn:00085450v
i001.s029.t012	i001.s029.t012	bn:00054128n
i001.s029.t019	i001.s029.t019	bn:00061017n
i001.s030.t002	i001.s030.t002	bn:00029876n
i001.s030.t004	i001.s030.t004	bn:00085382v
i001.s030.t004	i001.s030.t004	bn:00054019n
i001.s030.t007	i001.s030.t007	bn:00061017n
i001.s030.t009	i001.s030.t009	bn:00067181n
i001.s031.t001	i001.s031.t001	bn:00602447n
i001.s031.t003	i001.s031.t003	bn:00086567v
i001.s031.t003	i001.s031.t003	bn:00037022n
i001.s031.t009	i001.s031.t009	bn:00074790n
i001.s032.t007	i001.s032.t012	bn:00054512n
i001.s032.t008	i001.s032.t008	bn:00602447n
i001.s032.t009	i001.s032.t009	bn:00106363a
i001.s032.t010	i001.s032.t010	bn:00108692a
i001.s032.t025	i001.s032.t025	bn:00061017n
i001.s032.t031	i001.s032.t031	bn:00077268n
i001.s033.t001	i001.s033.t004	bn:00061017n
i001.s033.t005	i001.s033.t005	bn:00087863v
i001.s033.t006	i001.s033.t006	bn:00577781n
i001.s033.t006	i001.s033.t007	bn:00577781n
i001.s033.t013	i001.s033.t013	bn:00602447n
i001.s033.t016	i001.s033.t018	bn:00085382v
i001.s034.t002	i001.s034.t002	bn:00061017n
i001.s034.t010	i001.s034.t010	bn:00047235n
i001.s034.t013	i001.s034.t013	bn:00102038a
i001.s034.t023	i001.s034.t023	bn:00602447n
i001.s035.t002	i001.s035.t002	bn:00061017n
i001.s035.t005	i001.s035.t005	bn:00060927n
i001.s035.t008	i001.s035.t008	bn:00087863v
i001.s035.t011	i001.s035.t011	bn:00018141n
i001.s035.t014	i001.s035.t014	bn:00077268n
i001.s035.t016	i001.s035.t016	bn:00030811n
i001.s035.t017	i001.s035.t017	bn:00097854a
i001.s035.t022	i001.s035.t022	bn:00055794n
i001.s035.t026	i001.s035.t026	bn:00055794n
i001.s036.t006	i001.s036.t006	bn:00041942n
i001.s036.t008	i001.s036.t008	bn:00061017n
i001.s036.t012	i001.s036.t012	bn:00116360r
i001.s036.t015	i001.s036.t026	bn:00018141n
i001.s036.t017	i001.s036.t017	bn:00087863v
i001.s036.t018	i001.s036.t018	bn:00077268n
i001.s036.t020	i001.s036.t020	bn:00030811n
i001.s037.t001	i001.s037.t001	bn:00114627r
i001.s037.t004	i001.s037.t004	bn:00061017n
i001.s037.t007	i001.s037.t007	bn:00015180n
i001.s037.t008	i001.s037.t008	bn:00082427v
i001.s037.t009	i001.s037.t012	bn:00017027n
i001.s037.t011	i001.s037.t011	bn:00088078v
i001.s037.t013	i001.s037.t013	bn:00077268n
i001.s037.t015	i001.s037.t015	bn:00030811n
i001.s037.t017	i001.s037.t017	bn:00106124a
i001.s037.t021	i001.s037.t021	bn:00602447n
i002.s001.t001	i002.s001.t001	bn:08534138n
i002.s001.t004	i002.s001.t004	bn:00946167n
i002.s001.t005	i002.s001.t005	bn:00106488a
i002.s001.t006	i002.s001.t006	bn:00083141v
i002.s001.t008	i002.s001.t008	bn:00213650n
i002.s001.t009	i002.s001.t009	bn:03313895n
i002.s002.t001	i002.s002.t001	bn:00099215a
i002.s002.t002	i002.s002.t002	bn:00090557v
i002.s002.t003	i002.s002.t003	bn:00102111a
i002.s002.t004	i002.s002.t010	bn:00053826n
i002.s002.t006	i002.s002.t006	bn:00097495a
i002.s002.t011	i002.s002.t011	bn:03313895n
i002.s002.t015	i002.s002.t015	bn:00041412n
i002.s002.t018	i002.s002.t018	bn:00000102n
i002.s003.t001	i002.s003.t001	bn:00116360r
i002.s003.t003	i002.s003.t003	bn:00107182a
i002.s003.t004	i002.s003.t004	bn:00085261v
i002.s003.t005	i002.s003.t005	bn:03313895n
i002.s003.t007	i002.s003.t007	bn:00082705v
i002.s003.t008	i002.s003.t008	bn:08534138n
i002.s004.t001	i002.s004.t001	bn:08534138n
i002.s004.t004	i002.s004.t004	bn:00946167n
i002.s004.t004	i002.s004.t005	bn:00041412n
i002.s004.t006	i002.s004.t006	bn:00083141v
i002.s004.t009	i002.s004.t009	bn:03313895n
i002.s005.t003	i002.s005.t003	bn:00114055r
i002.s005.t005	i002.s005.t005	bn:00091201v
i002.s005.t009	i002.s005.t009	bn:03313895n
i002.s005.t013	i002.s005.t013	bn:00082705v
i002.s005.t018	i002.s005.t018	bn:00106058a
i002.s005.t020	i002.s005.t020	bn:00020452n
i002.s005.t021	i002.s005.t021	bn:00106488a
i002.s006.t001	i002.s006.t001	bn:00115639r
i002.s006.t003	i002.s006.t003	bn:00081292n
i002.s006.t004	i002.s006.t004	bn:01157212n
i002.s006.t006	i002.s006.t006	bn:08534138n
i002.s007.t001	i002.s007.t001	bn:00081292n
i002.s007.t002	i002.s007.t002	bn:00099598a
i002.s007.t004	i002.s007.t004	bn:08534138n
i002.s008.t002	i002.s008.t002	bn:00081292n
i002.s008.t003	i002.s008.t003	bn:00099598a
i002.s008.t005	i002.s008.t005	bn:08534138n
i002.s008.t006	i002.s008.t007	bn:00085498v
i002.s008.t010	i002.s008.t010	bn:00120018n
i002.s008.t011	i002.s008.t011	bn:00020949n
i002.s008.t014	i002.s008.t014	bn:00120018n
i002.s008.t018	i002.s008.t018	bn:00120018n
i002.s008.t019	i002.s008.t019	bn:00000102n
i002.s008.t022	i002.s008.t022	bn:00120018n
i002.s008.t023	i002.s008.t023	bn:00026967n
i002.s008.t023	i002.s008.t023	bn:00041412n
i002.s009.t001	i002.s009.t001	bn:00114401r
i002.s009.t003	i002.s009.t003	bn:00120018n
i002.s009.t005	i002.s009.t005	bn:00086708v
i002.s009.t007	i002.s009.t007	bn:00034274n
i002.s009.t009	i002.s009.t009	bn:00046850n
i002.s009.t011	i002.s009.t011	bn:00095295v
i002.s009.t012	i002.s009.t013	bn:00036821n
i002.s009.t015	i002.s009.t015	bn:00087107v
i002.s009.t016	i002.s009.t016	bn:00014688n
i002.s010.t002	i002.s010.t002	bn:00086682v
i002.s010.t003	i002.s010.t003	bn:00092443v
i002.s010.t005	i002.s010.t005	bn:00088629v
i002.s010.t008	i002.s010.t008	bn:00076919n
i002.s010.t009	i002.s010.t009	bn:00098274a
i002.s010.t011	i002.s010.t011	bn:00087107v
i002.s010.t013	i002.s010.t013	bn:00082472v
i002.s010.t018	i002.s010.t018	bn:00046850n
i002.s010.t020	i002.s010.t020	bn:00084772v
i002.s010.t022	i002.s010.t022	bn:03313895n
i002.s010.t026	i002.s010.t026	bn:00116360r
i002.s010.t028	i002.s010.t028	bn:00107182a
i002.s010.t029	i002.s010.t029	bn:00085261v
i002.s010.t030	i002.s010.t030	bn:03313895n
i002.s011.t002	i002.s011.t002	bn:00083141v
i002.s011.t004	i002.s011.t004	bn:02561609n
i002.s011.t005	i002.s011.t005	bn:00114508r
i002.s011.t007	i002.s011.t007	bn:00021164n
i002.s011.t008	i002.s011.t008	bn:00100090a
i002.s011.t011	i002.s011.t011	bn:00116360r
i002.s011.t014	i002.s011.t014	bn:00101358a
i002.s012.t002	i002.s012.t002	bn:00090448v
i002.s012.t006	i002.s012.t006	bn:02561609n
i002.s012.t008	i002.s012.t008	bn:03857246n
i002.s012.t008	i002.s012.t011	bn:03668936n
i002.s012.t013	i002.s012.t013	bn:00114748r
i002.s012.t017	i002.s012.t017	bn:00116789r
i002.s012.t018	i002.s012.t018	bn:00096782a
i002.s013.t006	i002.s013.t006	bn:00001296n
i002.s013.t008	i002.s013.t008	bn:00055233n
i002.s013.t010	i002.s013.t010	bn:00056300n
i002.s013.t012	i002.s013.t012	bn:00027919n
i002.s014.t007	i002.s014.t007	bn:00032355n
i002.s014.t010	i002.s014.t010	bn:00082705v
i002.s015.t002	i002.s015.t002	bn:00114246r
i002.s015.t003	i002.s015.t003	bn:00108829a
i002.s015.t004	i002.s015.t004	bn:00082705v
i002.s015.t006	i002.s015.t006	bn:09438926n
i002.s015.t007	i002.s015.t007	bn:02529895n
i002.s016.t003	i002.s016.t005	bn:00032355n
i002.s016.t003	i002.s016.t010	bn:00068247n
i002.s016.t009	i002.s016.t009	bn:00090557v
i002.s017.t005	i002.s017.t005	bn:00001965n
i002.s017.t007	i002.s017.t007	bn:00086468v
i002.s017.t009	i002.s017.t009	bn:00079583n
i002.s017.t013	i002.s017.t013	bn:00036821n
i002.s018.t004	i002.s018.t004	bn:00082705v
i002.s018.t006	i002.s018.t006	bn:00086468v
i002.s018.t008	i002.s018.t008	bn:00004489n
i002.s018.t010	i002.s018.t010	bn:00104162a
i002.s019.t005	i002.s019.t005	bn:00060753n
i002.s019.t006	i002.s019.t006	bn:00082811v
i002.s019.t008	i002.s019.t008	bn:00036821n
i002.s019.t010	i002.s019.t017	bn:00082813v
i002.s019.t017	i002.s019.t017	bn:00059141n
i002.s020.t006	i002.s020.t006	bn:00095141v
i002.s020.t009	i002.s020.t009	bn:00059141n
i002.s020.t011	i002.s020.t011	bn:00116360r
i002.s020.t016	i002.s020.t016	bn:00095141v
i002.s020.t019	i002.s020.t019	bn:00036821n
i002.s020.t020	i002.s020.t020	bn:00079373n
i002.s021.t004	i002.s021.t004	bn:00082705v
i002.s021.t006	i002.s021.t006	bn:00086468v
i002.s021.t008	i002.s021.t008	bn:00079508n
i002.s022.t003	i002.s022.t003	bn:03132721n
i002.s022.t005	i002.s022.t005	bn:00021645n
i002.s022.t006	i002.s022.t006	bn:00025928n
i002.s023.t005	i002.s023.t005	bn:03132721n
i002.s023.t009	i002.s023.t009	bn:00001965n
i002.s023.t013	i002.s023.t013	bn:00086468v
i002.s023.t013	i002.s023.t015	bn:00100214a
i002.s023.t014	i002.s023.t015	bn:00053826n
i002.s023.t017	i002.s023.t017	bn:08534138n
i002.s024.t002	i002.s024.t002	bn:00087681v
i002.s024.t004	i002.s024.t004	bn:00021645n
