ID	English	Italian Translation
d001.s001	This document is a summary of the European Public Assessment Report ( EPAR ) .	Il presente documento è una sintesi della relazione di valutazione pubblica europea (EPAR).
d001.s002	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	Spiega come il comitato per i medicinali per uso umano (CHMP) ha valutato gli studi eseguiti per formulare raccomandazioni sull&#39;utilizzo del medicinale.
d001.s003	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	Se necessita di maggiori informazioni sulla sua condizione medica o sul suo trattamento, legga il foglio illustrativo (accluso all&#39;EPAR) oppure contatti il medico o il farmacista.
d001.s004	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	Se desiderate maggiori informazioni sulla base delle raccomandazioni del CHMP, leggete la Discussione Scientifica (anch&#39;essa parte dell&#39;EPAR).
d001.s005	What is Alimta ?	Cos&#39;è Alimta?
d001.s006	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	Alimta è una polvere da ricostituire in una soluzione per infusione (flebo in una vena).
d001.s007	It contains the active substance pemetrexed .	Contiene il principio attivo pemeterxed.
d001.s008	What is Alimta used for ?	A cosa serve Alimta?
d001.s009	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta è usato per trattare due tipi di cancro: il mesotelioma pleurico (cancro del rivestimento dei polmoni, solitamente causato dall&#39;esposizione all&#39;amianto).
d001.s010	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	Alimta è usato insieme al cisplatino (un altro medicinale antitumorale) quando il cancro non è resecabile (non può essere rimosso mediante il solo intervento chirurgico) e maligno (si è diffuso, o è probabile che si diffonda facilmente, ad altre parti del corpo), in pazienti che non hanno ha ricevuto chemioterapia (medicinali antitumorali) prima di un cancro polmonare non a piccole cellule in stadio avanzato o metastatico che non colpisce le cellule squamose.
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	Alimta è utilizzato in combinazione con cisplatino in pazienti che non sono stati trattati in precedenza e da solo in pazienti che hanno ricevuto in passato un altro tipo di chemioterapia.
d001.s012	The medicine can only be obtained with a prescription .	Il medicinale può essere ottenuto soltanto con prescrizione medica.
d001.s013	How is Alimta used ?	Come si usa Alimta?
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	Alimta deve essere somministrato solo sotto la supervisione di un medico qualificato nell&#39;uso della chemioterapia antitumorale.
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .	La dose raccomandata di Alimta è di 500 mg per metro quadrato di superficie corporea (calcolata in base all&#39;altezza e al peso del paziente).
d001.s016	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	Per ridurre gli effetti collaterali, i pazienti devono assumere un corticosteroide e acido folico (un tipo di vitamina) e ricevere iniezioni di vitamina B12 durante il trattamento con Alimta.
d001.s017	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	Quando Alimta viene somministrato con cisplatino, prima o dopo la dose di cisplatino devono essere somministrati anche un medicinale antiemetico (per prevenire il vomito) e liquidi (per prevenire la disidratazione).
d001.s018	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	Il trattamento deve essere ritardato o interrotto, oppure la dose ridotta, nei pazienti la cui conta ematica è anormale o che presentano alcuni altri effetti collaterali.
d001.s019	Alimta is not recommended for use in patients with moderate or severe kidney problems .	Alimta non è raccomandato per l&#39;uso in pazienti con problemi renali moderati o gravi.
d001.s020	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	Per ulteriori informazioni, consultare il Riassunto delle Caratteristiche del Prodotto (anch&#39;esso parte dell&#39;EPAR).
d001.s021	How does Alimta work ?	Come funziona Alimta?
d001.s022	The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .	Il principio attivo di Alimta, pemeterxed, è un medicinale citotossico (un medicinale che uccide le cellule in divisione, come le cellule tumorali), che appartiene al gruppo degli antimetaboliti.
d001.s023	In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .	Nell&#39;organismo, il pemeterxed viene convertito in una forma attiva che blocca l&#39;attività degli enzimi coinvolti nella produzione dei nucleotidi (gli elementi costitutivi del DNA e dell&#39;RNA, il materiale genetico delle cellule).
d001.s024	How has Alimta been studied ?	Come è stata studiata Alimta?
d001.s025	For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .	Per il trattamento del mesotelioma pleurico maligno, Alimta è stato esaminato in uno studio principale condotto su 456 pazienti che non avevano mai ricevuto chemioterapia per la loro malattia.
d001.s026	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .	Gli effetti di Alimta in combinazione con cisplatino sono stati confrontati con quelli del solo cisplatino.
d001.s027	For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .	Per il trattamento del cancro polmonare non a piccole cellule, gli effetti di Alimta sono stati confrontati con quelli di docetaxel (un altro medicinale antitumorale) in uno studio condotto su 571 pazienti con malattia localmente avanzata o metastatica che avevano ricevuto chemioterapia in passato.
d001.s028	Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .	Alimta è stato inoltre confrontato con gemcitabina (un altro medicinale antitumorale), entrambi in combinazione con cisplatino, in uno studio condotto su 1 725 pazienti che in passato non avevano ricevuto chemioterapia per il cancro del polmone.
d001.s029	In all three studies , the main measure of effectiveness was how long the patients survived .	In tutti e tre gli studi, il principale indicatore dell&#39;efficacia era la durata della sopravvivenza dei pazienti.
d001.s030	What benefit has Alimta shown during the studies ?	Quali benefici ha mostrato Alimta nel corso degli studi?
d001.s031	Alimta increased the survival time of patients with malignant pleural mesothelioma .	Alimta ha aumentato il tempo di sopravvivenza dei pazienti affetti da mesotelioma pleurico maligno.
d001.s032	Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .	I pazienti trattati con Alimta e cisplatino sono sopravvissuti in media per 12,1 mesi, rispetto ai 9,3 mesi di quelli trattati con solo cisplatino.
d001.s033	In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .	Nel trattamento di pazienti affetti da carcinoma polmonare non a piccole cellule, Alimta si è rivelato altrettanto efficace dei comparatori.
d001.s034	In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .	Nei pazienti che avevano ricevuto chemioterapia in passato, il tempo medio di sopravvivenza è stato di 8,3 mesi con Alimta, rispetto a 7,9 mesi con docetaxel.
d001.s035	In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .	Nei pazienti che non avevano ricevuto chemioterapia in passato, il tempo medio di sopravvivenza è stato di 10,3 mesi in entrambi i gruppi.
d001.s036	However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .	Tuttavia, in entrambi gli studi, i pazienti il cui cancro non colpiva le cellule squamose hanno avuto tempi di sopravvivenza più lunghi se avevano ricevuto Alimta rispetto a se avevano ricevuto il comparatore.
d001.s037	In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta .	Al contrario, i pazienti il cui cancro colpiva le cellule squamose avevano tempi di sopravvivenza più brevi se ricevevano Alimta.
d002.s001	kalgebra is a mathematical calculator based on content markup MathML language .	kalgebra è una calcolatrice matematica basata sul linguaggio MathML di markup dei contenuti.
d002.s002	Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .	Oggi è in grado di eseguire semplici operazioni MathML (aritmetiche e logiche) e di rappresentare grafici 2D e 3D.
d002.s003	It is actually not necessary to know MathML to use kalgebra .	In realtà non è necessario conoscere il MathML per usare kalgebra .
d002.s004	kalgebra is a MathML based graph calculator .	kalgebra è un calcolatore grafico basato su MathML.
d002.s005	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .	Sebbene inizialmente fosse orientato al MathML, ora può essere utilizzato da chiunque abbia poche conoscenze matematiche.
d002.s006	Here s a screenshot of kalgebra main window	Ecco uno screenshot della finestra principale di Kalgebra
d002.s007	kalgebra main window	finestra principale di kalgebra
d002.s008	kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .	La finestra principale di kalgebra è composta da una scheda Console, una scheda Grafico 2D, una scheda Grafico 3D e una scheda Dizionario.
d002.s009	Below these tabs you will find an input field to type your functions or do your calculations .	Sotto queste schede troverai un campo di input per digitare le tue funzioni o eseguire i tuoi calcoli.
d002.s010	If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .	Se vogliamo capire come funziona, la cosa migliore che possiamo fare è realizzare che il nostro input viene convertito in MathML anche se non è necessario conoscere il MathML.
d002.s011	I have based the syntax basically on common sense , it should not be hard for anyone .	Ho basato la sintassi fondamentalmente sul buon senso, non dovrebbe essere difficile per nessuno.
d002.s012	I ve looked closely to maxima and maple s syntax so they look very similar .	Ho osservato attentamente la sintassi di Maxima e Maple, quindi sembrano molto simili.
d002.s013	+ - * / : Addition , subtraction , multiplication and division .	+ - * /: Addizione, sottrazione, moltiplicazione e divisione.
d002.s014	^ , ** : Power , you can use them both .	^,**: Potenza, puoi usarli entrambi.
d002.s015	Also it is possible to use the unicode ² characters .	Inoltre è possibile utilizzare i caratteri unicode².
d002.s016	Powers are one way to make roots too .	Anche i poteri sono un modo per mettere radici.
d002.s017	-gt : It s the way to specify the bounded variable in a function .	-gt: è il modo per specificare la variabile limitata in una funzione.
d002.s018	( ) : It is used to specify a higher priority .	(): viene utilizzato per specificare una priorità più alta.
d002.s019	abc(params) : When the parser finds a function , it checks if abc is an operator .	abc(params): quando il parser trova una funzione, controlla se abc è un operatore.
d002.s020	If it is , it will be treated as an operator , if it is not , it will be treated as a user function .	Se lo è, verrà trattato come un operatore, altrimenti verrà trattato come una funzione utente.
d002.s021	: #ERROR! : It is used to define a variable value .	: #ERRORE! : Viene utilizzato per definire un valore variabile.
d002.s022	? : Piecewise condition definition .	? : Definizione della condizione a tratti .
d002.s023	Piecewise is the way we can define conditional operations in kalgebra .	A tratti è il modo in cui possiamo definire le operazioni condizionali in kalgebra .
d002.s024	If we introduce the condition before the ? it will use this condition only if it is TRUE , if it finds a ? without any condition , it will enter in the last instance .	Se introduciamo la condizione prima del ? utilizzerà questa condizione solo se è TRUE, se trova un ? senza alcuna condizione entrerà in ultima istanza.
d002.s025	Mainly useful for working with piecewise .	Utile principalmente per lavorare con .
d002.s026	That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum() or product() .	Questo è facile . Con questo, possiamo operare con funzioni come cos() , sin() , qualsiasi altra funzione trigonometrica , sum() o product() .
d002.s027	It does not matter what kind it is .	Non importa di che tipo sia.
d002.s028	We can use plus() , times() and everything which has its operator .	Possiamo usare plus() , times() e tutto ciò che ha il suo operatore .
d002.s029	kalgebra s console is useful as a calculator .	La console di Kalgebra è utile come calcolatrice.
d002.s030	There you have a list of the declared variables .	Lì hai un elenco delle variabili dichiarate.
d002.s031	By double clicking on them you will see a dialog that lets you change their values ( just a way to trick the log ) .	Facendo doppio clic su di essi vedrai una finestra di dialogo che ti permetterà di modificare i loro valori (solo un modo per ingannare il registro).
d002.s032	"Every time you enter an expression , the """""" ans """""" variable value will be changed to the last result ."	Ogni volta che inserisci un&#39;espressione, il valore della variabile &quot;&quot;&quot; e &quot;&quot;&quot; verrà modificato nell&#39;ultimo risultato.
d002.s033	Ctrl N New Window	Ctrl N Nuova finestra
d002.s034	Flushes the log .	Svuota il registro.
d002.s035	Ctrl L Load Script	Ctrl L Carica script
d002.s036	Executes the instructions in a file sequentially .	Esegue le istruzioni in un file in sequenza.
d002.s037	Nice if you want to define some libraries or resume some previous work .	Bello se vuoi definire alcune librerie o riprendere qualche lavoro precedente.
d002.s038	Ctrl G Save Script	Ctrl G Salva script
d002.s039	Saves the instructions you have typed since the session began to be able to reuse .	Salva le istruzioni digitate dall&#39;inizio della sessione per poterle riutilizzare.
d002.s040	Generates text files so it should be easy to fix using any text editor , like Kate .	Genera file di testo quindi dovrebbe essere facile risolverlo utilizzando qualsiasi editor di testo, come Kate.
d002.s041	Ctrl S Save Log	Ctrl S Salva registro
d002.s042	Saves the log with all results into an HTML file to be able to print or publish .	Salva il registro con tutti i risultati in un file HTML per poterlo stampare o pubblicare.
d002.s043	Ctrl Q Quit	Ctrl Q Esci
d002.s044	Shuts the program down .	Chiude il programma.
d002.s045	To add a new 2D graph on kalgebra , what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function .	Per aggiungere un nuovo grafico 2D sulla kalgebra, quello che devi fare è andare alla scheda Grafico 2D e fare clic sulla scheda Aggiungi per aggiungere la nuova funzione.
d002.s046	Then your focus will go to an input text box where you can type your function .	Quindi il tuo focus andrà su una casella di testo di input in cui puoi digitare la tua funzione.
d002.s047	If you want to use a typical f(x) function it is not necessary to specify it .	Se si desidera utilizzare una tipica funzione f(x) non è necessario specificarla.
d002.s048	If you have entered the function click on the OK button to display the graph in the main window .	Se sei entrato nella funzione clicca sul pulsante OK per visualizzare il grafico nella finestra principale.
d002.s049	You can set several graphs on the same view .	È possibile impostare più grafici nella stessa vista.
d002.s050	Just use the Add button when you are in List mode .	Usa semplicemente il pulsante Aggiungi quando sei in modalità Elenco.
d002.s051	You can set each graph its own color .	È possibile impostare ciascun grafico con il proprio colore.
d003.s001	The Foundation has recently been involved in organising a conference which dealt with this critical challenge .	La Fondazione è stata recentemente coinvolta nell&#39;organizzazione di una conferenza che ha affrontato questa sfida cruciale.
d003.s002	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .	Oltre 100 partecipanti provenienti dai principali gruppi di interesse hanno partecipato e discusso questioni quali il ruolo degli attori chiave tra cui le autorità pubbliche, le parti sociali, le organizzazioni di volontariato e comunitarie nonché gli utenti dei servizi.
d003.s003	Note was also taken of the variety of different roles played by public welfare	È stata inoltre presa nota della varietà dei diversi ruoli svolti dal welfare pubblico
d003.s004	The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .	La Fondazione ha organizzato, insieme alla Commissione Europea, al Ministero spagnolo degli Affari Sociali e al governo regionale della Galizia, una conferenza europea sull&#39;esclusione sociale: una grande sfida per i servizi pubblici di welfare.
d003.s005	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .	La Fondazione ha recentemente pubblicato uno studio comparativo nell&#39;ambito del progetto EPOC che valuta in che misura la partecipazione diretta può umanizzare il lavoro aumentando al contempo la redditività.
d003.s006	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .	Lo studio si basa su 195 interviste personali con alti funzionari delle parti sociali come rappresentanti di organizzazioni di punta a livello nazionale in quindici paesi europei.
d003.s007	As important industrial sectors , the metal industry and the banking sector were also included .	Come importanti settori industriali sono stati inclusi anche l&#39;industria metallurgica e il settore bancario.
d003.s008	Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .	I relatori principali della conferenza sull&#39;esclusione sociale sono stati (da sinistra a destra) Cristina Louro, Direzione Occupazione, Relazioni Industriali e Affari Sociali, Commissione Europea Fernando Gomes, un alto grado del Comitato delle Regioni Barbara Weiler, Membro del Parlamento Europeo José Maria Gil- Robles, Vicepresidente, Parlamento europeo e John Carroll, Comitato economico e sociale.
d003.s009	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .	Casi di studio Ciascun rapporto nazionale contiene un portafoglio di 25-30 iniziative che presentano al meglio le politiche e le pratiche per migliorare il reclutamento, la formazione e lo sviluppo dei lavoratori anziani sia sul posto di lavoro che nella comunità.
d003.s010	For each country , two or three initiatives have been selected for further in depth case study .	Per ciascun paese sono state selezionate due o tre iniziative per un caso di studio più approfondito.
d003.s011	These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .	Questi casi di studio hanno analizzato il contesto delle iniziative, il loro impatto sui modelli occupazionali e sulle organizzazioni del lavoro e hanno valutato i vantaggi e i problemi dell&#39;iniziativa.
d003.s012	Visits and interviews with key personnel were also undertaken .	Sono state inoltre effettuate visite e interviste con il personale chiave.
d003.s013	These national studies will form the basis of a European report which synthesises overall practices .	Questi studi nazionali costituiranno la base di un rapporto europeo che sintetizza le pratiche generali.
d003.s014	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .	La relazione e un elenco di iniziative saranno pubblicati nel 1996 e costituiranno lo sfondo per una conferenza che sarà organizzata nell&#39;autunno 1996 .
d003.s015	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .	La Fondazione si propone di documentare le caratteristiche delle barriere legate all&#39;età nella selezione del lavoro e nella formazione e di analizzarne le cause.
d003.s016	The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .	Viene inoltre esaminata la prospettiva delle parti sociali, con particolare attenzione alle proposte volte all&#39;eliminazione delle barriere legate all&#39;età.
d003.s017	Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .	In terzo luogo, il progetto documenta e valuta le iniziative, sia nel settore pubblico che in quello privato, che combattono le barriere legate all&#39;età, soprattutto per i lavoratori più anziani.
d003.s018	Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .	Cercando alternative al pensionamento anticipato e al licenziamento, il progetto riguarda principalmente il mantenimento, il reinserimento e la riqualificazione dei lavoratori più anziani.
d003.s019	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .	Vengono esaminati il genere e l&#39;origine etnica dei lavoratori e il modo in cui questi si collegano alla discriminazione basata sull&#39;età.
d003.s020	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises .	Il progetto prende in considerazione anche iniziative per combattere la discriminazione basata sull&#39;età nelle zone rurali e nelle piccole e medie imprese.
d003.s021	Seven member states are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .	Il progetto copre sette Stati membri: Belgio, Francia, Germania, Grecia, Italia, Paesi Bassi e Regno Unito.
d004.s003	What is Cerenia ?	Cos&#39;è Cerenia?
d004.s004	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .	Cerenia contiene il principio attivo maropitant ed è disponibile sotto forma di compresse o soluzione iniettabile.
d004.s005	The tablets are pale-orange and have a score line on both sides so that they can be halved .	Le compresse sono di colore arancione chiaro e hanno una linea di frattura su entrambi i lati in modo che possano essere divise a metà.
d004.s006	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .	Ogni compressa è contrassegnata con il logo Pfizer su un lato e con le lettere MPT e la quantità di maropitant sull&#39;altro lato.
d004.s007	What is Cerenia used for ?	A cosa serve Cerenia?
d004.s008	Cerenia is an anti-emetic , this means that it stops vomiting .	Cerenia è un antiemetico, ciò significa che smette di vomitare.
d004.s009	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .	È utilizzato nei cani per prevenire il vomito, ad esempio quello causato dalla chemioterapia (medicinali utilizzati per il trattamento del cancro, alcuni dei quali sono noti per causare vomito).
d004.s010	In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .	In combinazione con misure di supporto come altri trattamenti veterinari o una dieta speciale, Cerenia può essere utilizzato anche nel trattamento del vomito (sia come iniezione che come iniezione seguita da compresse).
d004.s011	For these purposes , Cerenia can be given for up to five days	A questi scopi Cerenia può essere somministrata per un massimo di cinque giorni
d004.s012	How does Cerenia work ?	Come funziona Cerenia?
d004.s013	Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .	Cerenia blocca un recettore della neurochinina 1 (NK1), che agisce nel sistema nervoso centrale.
d004.s014	How has Cerenia been studied ?	Come è stata studiata Cerenia?
d004.s015	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .	Sono stati condotti numerosi studi con Cerenia sia su cani da laboratorio che su pazienti animali presso studi veterinari in diversi paesi europei e negli Stati Uniti.
d004.s016	What benefit has Cerenia shown during the studies ?	Quali benefici ha mostrato Cerenia nel corso degli studi?
d004.s017	The results of the studies showed that Cerenia was more effective than the placebo : less vomiting was seen in dogs that received the medicine than in dogs that received a placebo , both in the treatment or in the prevention of vomiting .	I risultati degli studi hanno dimostrato che Cerenia è stato più efficace del placebo: si è osservato meno vomito nei cani che hanno ricevuto il medicinale rispetto ai cani che hanno ricevuto un placebo, sia nel trattamento che nella prevenzione del vomito.
d004.s018	The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .	Il trattamento di un cane che vomita deve iniziare con l&#39;iniezione, poiché gli animali che vomitano potrebbero non essere in grado di trattenere una compressa (poiché potrebbero vomitare di nuovo la compressa intatta).
d004.s019	For follow-up treatment , the animal owner can administer the tablets to the dog .	Per il trattamento successivo, il proprietario dell&#39;animale può somministrare le compresse al cane.
d004.s020	Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .	Inoltre, il trattamento del vomito dovrebbe essere effettuato solo insieme ad altre misure di supporto o ad altre terapie veterinarie, affrontando le cause alla base del vomito.
d004.s021	What is the risk associated with Cerenia ?	Qual è il rischio associato a Cerenia?
d004.s022	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time ( up to 3 times the recommended maximum duration of treatment ) .	Cerenia è stato generalmente ben tollerato se somministrato giornalmente a dosaggi fino a 5 volte la dose raccomandata per un periodo di tempo prolungato (fino a 3 volte la durata massima raccomandata del trattamento).
d004.s023	What are the precautions for the person who gives the medicine or comes into contact with the animal ?	Quali sono le precauzioni per la persona che somministra il medicinale o entra in contatto con l&#39;animale?
d004.s024	Cerenia does not represent a particular risk for people .	Cerenia non rappresenta un rischio particolare per le persone.
