ID	English	Italian
d001.s001	This document is a summary of the European Public Assessment Report (EPAR).	Questo documento è la sintesi di una relazione pubblica di valutazione europea ( EPAR ) .
d001.s002	It explains how the Committee for Medicinal Products for Human Use (CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.	L EPAR descrive il modo in cui il comitato per i medicinali per uso umano ( CHMP ) ha valutato gli studi scientifici effettuati e ha formulato le raccomandazioni su come usare il medicinale .
d001.s003	If you need more information about your medical condition or your treatment, read the Package Leaflet (also part of the EPAR) or contact your doctor or pharmacist.	Per maggiori informazioni riguardanti le proprie condizioni di salute o la terapia , leggere il foglio illustrativo ( allegato all EPAR ) oppure consultare il medico o il farmacista .
d001.s004	If you want more information on the basis of the CHMP recommendations, read the Scientific Discussion (also part of the EPAR).	Per maggiori informazioni riguardo alle motivazioni delle raccomandazioni del CHMP , leggere la discussione scientifica ( anch essa allegato all EPAR ) .
d001.s005	What is Alimta?	Che cos è Alimta ?
d001.s006	Alimta is a powder that is made up into a solution for infusion (drip into a vein).	Alimta è una polvere da ricostituire in soluzione per infusione ( iniezione goccia a goccia in vena ) .
d001.s007	It contains the active substance pemetrexed.	Contiene il principio attivo pemetrexed .
d001.s008	What is Alimta used for?	Per che cosa si usa Alimta ?
d001.s009	Alimta is used to treat two types of cancer: pleural mesothelioma (cancer of the lining of the lungs that is usually caused by exposure to asbestos).	Alimta è indicato nel trattamento di due tipi di tumore : il mesotelioma pleurico ( tumore della membrana che riveste i polmoni , generalmente provocato dall esposizione all amianto ) .
d001.s010	Alimta is used together with cisplatin (another anticancer medicine) when the cancer is unresectable (cannot be removed by surgery alone) and malignant (has spread, or is likely to spread easily, to other parts of the body), in patients who have not received chemotherapy (medicines for cancer) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells.	Alimta è utilizzato in combinazione con cisplatino ( un altro farmaco antitumorale ) quando il tumore non è asportabile ( non può essere asportato con il solo intervento chirurgico ) ed è maligno ( si è diffuso , o è probabile si diffonda facilmente , ad altre parti del corpo ) , in pazienti che non sono stati sottoposti in precedenza a chemioterapia il carcinoma polmonare non a piccole cellule in stadio avanzato o metastatico che non interessa le cellule squamose .
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before, and on its own in patients who have received another type of chemotherapy in the past.	Alimta è usato in associazione con cisplatino in pazienti non trattati in passato e da solo in pazienti che in passato sono stati sottoposti ad un altro tipo di chemioterapia .
d001.s012	The medicine can only be obtained with a prescription.	Il medicinale può essere ottenuto soltanto con prescrizione medica .
d001.s013	How is Alimta used?	Come si usa Alimta ?
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy.	Alimta deve essere somministrato solamente sotto la supervisione di un medico qualificato per l uso della chemioterapia antitumorale .
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area (calculated using the patient's height and weight).	La dose raccomandata di Alimta è di 500 mg per metro quadrato di superficie corporea ( calcolata utilizzando l altezza e il peso del paziente ) da somministrare per infusione endovenosa in 10 minuti una volta ogni tre settimane .
d001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes.	Per ridurre gli effetti indesiderati , i pazienti devono assumere un corticosteroide e acido folico ( un tipo di vitamina ) e ricevere iniezioni di vitamina B12 durante il trattamento con Alimta .
d001.s017	To reduce side effects, patients should take a corticosteroid and folic acid (a type of vitamin), and receive injections of vitamin B12 during treatment with Alimta.	Quando Alimta è somministrato con cisplatino , i pazienti devono assumere un farmaco antiemetico ( per prevenire il vomito ) e ricevere un adeguata idratazione ( per prevenire la disidratazione ) prima o dopo l assunzione di cisplatino .
d001.s018	When Alimta is given with cisplatin, an anti-emetic medicine (to prevent vomiting) and fluids (to prevent dehydration) should also be given before or after the cisplatin dose.	Il trattamento deve essere posticipato o interrotto , o la dose deve essere ridotta , nei pazienti con alterazioni nelle conte ematiche o che riportano altri effetti indesiderati .
d001.s019	Treatment should be delayed or discontinued, or the dose reduced, in patients whose blood counts are abnormal or who have certain other side effects.	L impiego di Alimta è sconsigliato nei pazienti con insufficienza renale grave o moderata .
d001.s020	Alimta is not recommended for use in patients with moderate or severe kidney problems.	Per maggiori informazioni , si rimanda al Riassunto delle caratteristiche del prodotto , anch esso allegato all EPAR .
d001.s021	For more information, see the Summary of Product Characteristics (also part of the EPAR).	Come agisce Alimta ?
d001.s022	How does Alimta work?	Il principio attivo di Alimta , pemetrexed , è un medicinale citotossico ( medicinale che uccide le cellule in attiva divisione , come le cellule tumorali ) , che appartiene al gruppo degli antimetaboliti .
d001.s023	The active substance in Alimta, pemetrexed, is a cytotoxic medicine (a medicine that kills cells that are dividing, such as cancer cells), which belongs to the group antimetabolites.	Nell organismo , pemetrexed viene trasformato in una forma attiva che blocca l attività degli enzimi coinvolti nella produzione dei nucleotidi ( gli elementi costitutivi di DNA e RNA , il materiale genetico delle cellule ) .
d001.s024	In the body, pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides (the building blocks of DNA and RNA, the genetic material of cells).	Quali studi sono stati effettuati su Alimta ?
d001.s025	How has Alimta been studied?	Per il trattamento del mesotelioma pleurico maligno , Alimta è stato esaminato nell ambito di uno studio principale condotto su 456 pazienti che non erano stati sottoposti a chemioterapia in precedenza .
d001.s026	For the treatment of malignant pleural mesothelioma, Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before.	Gli effetti di Alimta somministrato in combinazione con cisplatino sono stati confrontati con quelli di cisplatino in monoterapia .
d001.s027	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone.	Per il trattamento del carcinoma polmonare non a piccole cellule , gli effetti di Alimta sono stati confrontati con quelli di docetaxel ( un altro farmaco antitumorale ) in uno studio condotto su 571 pazienti con tumore in fase avanzata o metastatica , già sottoposti in precedenza a chemioterapia .
d001.s028	For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel (another anticancer medicine) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past.	Alimta è stato anche confrontato con gemcitabina ( altro medicinale antitumorale ) , entrambi in associazione con cisplatino , in uno studio su 1.725 pazienti che in passato non erano mai stati sottoposti a chemioterapia per tumore polmonare .
d001.s029	Alimta was also compared with gemcitabine (another anticancer medicine), both in combination with cisplatin, in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past.	In tutti e tre gli studi , il principale indicatore dell efficacia era il tempo di sopravvivenza dei pazienti .
d001.s030	In all three studies, the main measure of effectiveness was how long the patients survived.	Quali benefici ha mostrato Alimta nel corso degli studi ?
d001.s031	What benefit has Alimta shown during the studies?	Alimta ha aumentato il tempo di sopravvivenza dei pazienti affetti da mesotelioma pleurico maligno .
d001.s032	Alimta increased the survival time of patients with malignant pleural mesothelioma.	I soggetti a cui è stato somministrato Alimta in combinazione con cisplatino sono sopravvissuti in media 12,1 mesi , rispetto ai 9,3 mesi dei pazienti che hanno assunto cisplatino in monoterapia .
d001.s033	Patients receiving Alimta and cisplatin survived for an average of 12.1 months, compared with 9.3 months in those receiving cisplatin alone.	Nel trattamento dei pazienti con carcinoma polmonare non a piccole cellule , Alimta si è rivelato tanto efficace quanto i comparatori .
d001.s034	In the treatment of patients with non-small cell lung cancer, Alimta was as effective as the comparators.	Nei pazienti che in passato erano stati sottoposti a chemioterapia , il tempo di sopravvivenza medio è stato di 8,3 mesi con Alimta , contro 7,9 con docetaxel .
d001.s035	In patients who had received chemotherapy in the past, the average survival time was 8.3 months with Alimta, compared with 7.9 months with docetaxel.	Nei pazienti che in passato non erano stati sottoposti a chemioterapia , il tempo di sopravvivenza medio è stato di 10,3 mesi in entrambi i gruppi .
d001.s036	In patients who had not received chemotherapy in the past, the average survival time was 10.3 months in both groups.	Tuttavia , in entrambi gli studi i pazienti il cui tumore non interessava cellule squamose hanno riportato tempi di sopravvivenza più lunghi se trattati con Alimta che se trattati con il comparatore .
d001.s037	However, in both studies, patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator.	Invece , i pazienti il cui tumore interessava cellule squamose hanno riportato tempi di sopravvivenza più brevi se trattati con Alimta .
d002.s001	kalgebra is a mathematical calculator based on content markup MathML language.	kalgebra è una calcolatrice matematica basata sul linguaggio MathML .
d002.s002	Nowadays it is capable to make simple MathML operations (arithmetic and logical) and to representate 2D and 3D graphs.	Può eseguire semplici operazioni ( aritmetiche e logiche ) in MathML e può rappresentare grafici 2D e 3D .
d002.s003	It is actually not necessary to know MathML to use kalgebra.	Non è necessario conoscere MathML per usare kalgebra .
d002.s004	kalgebra is a MathML based graph calculator.	kalgebra è una calcolatrice grafica basata sul linguaggio MathML .
d002.s005	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge.	Anche se inizialmente era orientata all' uso usando MathML , può essere usata da chiunque con un minimo di conoscenza matematica .
d002.s006	Here's a screenshot of kalgebra main window	Immagine della finestra principale di kalgebra
d002.s007	kalgebra main window	Finestra principale di kalgebra
d002.s008	kalgebra main window consists in a Console tab, a 2D Graph tab, a 3D Graph tab and a Dictionary tab.	La finestra principale di kalgebra è composta da una scheda Console , una scheda 2D , una scheda 3D e una scheda Dizionario .
d002.s009	Below these tabs you will find an input field to type your functions or do your calculations.	Sotto queste schede si trova un campo di inserimento per scrivere le funzioni o fare calcoli .
d002.s010	If we want to understand how it works, the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML.	Se vogliamo capire come funziona , la cosa migliore da fare è comprendere che ciò che viene inserito è convertito in MathML , anche se non è necessario conoscere MathML .
d002.s011	I have based the syntax basically on common sense, it should not be hard for anyone.	Ho basato la sintassi praticamente sul senso comune , e non dovrebbe essere difficile .
d002.s012	I've looked closely to maxima and maple's syntax so they look very similar.	Ho dato un' occhiata alla sintassi di Maxima e di Maple , in modo da esserne abbastanza simile .
d002.s013	#ERROR!	+ - * / : addizione , sottrazione , moltiplicazione e divisione .
d002.s014	^, **: Power, you can use them both.	^ , ** : elevamento a potenza , puoi usare entrambi .
d002.s015	Also it is possible to use the unicode² characters.	È anche possibile usare il carattere Unicode ² .
d002.s016	Powers are one way to make roots too.	Con gli elevamenti a potenza è anche possibile effettuare radici
d002.s017	-gt: It's the way to specify the bounded variable in a function.	-gt : È il modo di specificare la variabile vincolata in una funzione .
d002.s018	(): It is used to specify a higher priority.	( ) : usato per specificare una priorità più alta .
d002.s019	abc(params): When the parser finds a function, it checks if abc is an operator.	abc(parametri) : Quando l' analizzatore trova una funzione , controlla se « abc » è un operatore .
d002.s020	If it is, it will be treated as an operator, if it is not, it will be treated as a user function.	Se lo è , sarà trattato come un operatore se non lo è , sarà trattato come una funzione utente .
d002.s021	:=: It is used to define a variable value.	: = : Usata per definire il valore di una variabile .
d002.s022	?: Piecewise condition definition.	? : Definizione di condizione definita a tratti .
d002.s023	Piecewise is the way we can define conditional operations in kalgebra.	Una definizione " a tratti " è il modo in cui possiamo definire operazioni condizionali in kalgebra .
d002.s024	If we introduce the condition before the? it will use this condition only if it is true, if it finds a? without any condition, it will enter in the last instance.	Se introduciamo la condizione prima del « ? » , questa condizione sarà usata solo se è vera se viene trovato un « ? » senza condizione , verrà usato come ultima alternativa .
d002.s025	{}: MathML container.	{ } : contenitore MathML ; Può essere usato per definire un contenitore .
d002.s026	It can be used to define a container.	Utile principalmente per le funzioni definite a tratti .
d002.s027	Mainly useful for working with piecewise.	Adesso potresti chiedermi : perché l' utente dovrebbe conoscere MathML ? Semplice : con il MathML possiamo operare con funzioni come cos() , sin() ( e qualsiasi altra funzione trigonometrica ) , sum() o product() .
d002.s028	Now you could ask me, why should the user mind about MathML?	Non importa che tipo di funzione sia .
d002.s029	That's easy. With this, we can operate with functions like cos(), sin(), any other trigonometric functions, sum() or product().	Possiamo usare plus() , times() e qualunque cosa che ha un operatore .
d002.s030	It does not matter what kind it is.	La console di kalgebra è utile come calcolatrice .
d002.s031	We can use plus(), times() and everything which has its operator.	C è una lista delle variabili dichiarate .
d002.s032	kalgebra's console is useful as a calculator.	Facendo doppio clic su ognuna di esse puoi vedere una finestra di dialogo che ti permette di modificarne il valore ( un modo per ingannare il log ) .
d002.s033	There you have a list of the declared variables.	Ogni volta che inserisci un' espressione , il valore della variabile « ans » sarà modificato all' ultimo risultato .
d002.s034	By double clicking on them you will see a dialog that lets you change their values (just a way to trick the log).	Ctrl N Nuovo
d002.s035	Every time you enter an expression, the " ans " variable value will be changed to the last result.	Pulisce la console .
d002.s036	Ctrl N New Window	Ctrl C Carica script
d002.s037	Flushes the log.	Esegue le istruzioni presenti in un file .
d002.s038	Ctrl L Load Script	Un buon metodo per creare " librerie " o riprendere un lavoro interrotto in precedenza .
d002.s039	Executes the instructions in a file sequentially.	Ctrl S Salva script
d002.s040	Nice if you want to define some libraries or resume some previous work.	Salva le istruzioni eseguite dall' inizio della sessione in modo da poterle riusare .
d002.s041	Ctrl G Save Script	Genera file di testo semplice , quindi è possibile modificarli usando un qualsiasi editor di testo ( come Kate ) .
d002.s042	Saves the instructions you have typed since the session began to be able to reuse.	Ctrl L Salva log
d002.s043	Generates text files so it should be easy to fix using any text editor, like Kate.	Salva il log e tutti i risultati su file HTML che può essere stampato o pubblicato .
d002.s044	Ctrl S Save Log	Ctrl Q Esci
d002.s045	Saves the log with all results into an HTML file to be able to print or publish.	Chiude il programma .
d002.s046	Ctrl Q Quit	Per aggiungere un nuovo grafico 2D in kalgebra , devi andare nella scheda Grafico 2D e fare clic sulla scheda Aggiungi per aggiungere una nuova funzione .
d002.s047	Shuts the program down.	Sarà quindi attivata la casella di testo dove puoi scrivere la funzione .
d002.s048	To add a new 2D graph on kalgebra, what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function.	Se vuoi usare una tipica funzione f(x) non è necessario specificarla .
d002.s049	Then your focus will go to an input text box where you can type your function.	Quando hai inserito la funzione premi OK per visualizzare il grafico nella finestra principale .
d002.s050	If you want to use a typical f(x) function it is not necessary to specify it.	Puoi avere più grafici nella stessa vista .
d002.s051	If you have entered the function click on the OK button to display the graph in the main window.	Usa il pulsante Aggiungi in modalità « lista » .
d002.s052	You can set several graphs on the same view.	Puoi impostare un diverso colore per ogni grafico .
d003.s002	The Foundation has recently been involved in organising a conference which dealt with this critical challenge.	Hanno partecipato oltre 100 esponenti delle principali categorie interessate , i quali hanno discusso fra l' altro del ruolo degli attori chiave quali pubbliche autorità , parti sociali , organizzazioni di volontariato e locali nonché utenti dei servizi .
d003.s003	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities, social partners, voluntary and community organisations as well as service users.	Si è convenuto sulla necessità di un' impostazione più olistica , che tenga conto del fatto che gli utenti non beneficiano di questi servizi in isolamento , ma piuttosto quale elemento della loro vita quotidiana .
d003.s004	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common.	Si è anche preso atto della gamma di aioli diversi svolti
d003.s005	Note was also taken of the variety of different roles played by public welfare	Unitamente alla Commissione europea , al Ministero degli affari sociali spagnolo e al governo regionale della Galizia , la Fondazione ha organizzato una conferenza europea sul tema Esclusione sociale : una grande sfida per i servizi pubblici di assistenza .
d003.s006	The Foundation organised, together with the European Commission, the Spanish Ministry of Social Affairs and the Galician regional government, a European conference on social exclusion: a major challenge for public welfare services.	Recentemente la Fondazione ha pubblicato , nel quadro del progetto EPOC , uno studio comparativo che valuta la misura in cui la partecipazione diretta può umanizzare il lavoro migliorando allo stesso tempo la redditività .
d003.s007	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability.	Lo studio si basa su 195 interviste personali con alti dirigenti delle parti sociali , in rappresentanza delle principali organizzazioni nazionali di quindici paesi europei .
d003.s008	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries.	Quali settori industriali di rilievo , sono stati inclusi anche l' industria metallurgica e il settore bancario .
d003.s009	As important industrial sectors, the metal industry and the banking sector were also included.	I principali oratori in occasione della conferenza sull' esclusione sociale ( da sinistra a destra ) : Cristina louro , Direzione generale per l' Occupazione , le relazioni industriali e gli affari sociali , Commissione europea Fernando Gomes , Comitato delle regioni Barbara Weiler , deputato al Parlamento europeo José María Gil-Robles Gil-Delgado , vicepresidente del Parlamento europeo John Cairoti , Comitato economico e sociale .
d003.s010	Key speakers at the social exclusion conference were (left to right) Cristina Louro, Employment, Industrial Relations and Social Affairs Directorate, European Commission Fernando Gomes, a high degree of Committee of the Regions Barbara Weiler, Member of the European Parliament José Maria Gil-Robles, Vice-President, European Parliament and John Carroll, Economic and Social Committee.	Studi di casi Ogni rapporto nazionale contiene una serie di 25-30 iniziative , selezionate fra quelle più idonee ad illustrare politiche e prassi volte a migliorare l' assunzione , la formazione e lo sviluppo dei lavoratori anziani nell' azienda e nella comunità .
d003.s011	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.	Per ciascun paese due o tre iniziative sono state ulteriormente selezionate in vista di uno studio di caso più approfondito .
d003.s012	For each country, two or three initiatives have been selected for further in depth case study.	Questi studi hanno analizzato il contesto delle iniziative e il loro impatto sui modelli occupazionali e sulle organizzazioni del lavoro , valutando inoltre i vantaggi e i problemi dell' iniziativa .
d003.s013	These case studies analysed the background of the initiatives, their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative.	Hanno anche avuto luogo visite e interviste con esponenti chiave del personale .
d003.s014	Visits and interviews with key personnel were also undertaken.	Gli studi nazionali sfoceranno in un rapporto europeo che sintetizzerà le prassi più comuni .
d003.s015	These national studies will form the basis of a European report which synthesises overall practices.	Questo rapporto e una raccolta di iniziative saranno pubblicati nel 1996 e costituiranno la base di una conferenza prevista per l' autunno dello stesso anno .
d003.s016	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn, 1996.	La Fondazione intende documentare le caratteristiche delle barriere inerenti all' età a livello di assunzione e formazione e analizzarne le cause .
d003.s017	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes.	Vengono esaminati anche i punti di vista delle parti sociali , dedicando un' attenzione particolare alle proposte volte ad eliminare le barriere inerenti all' età .
d003.s018	The perspectives of the social partners is also being examined, with particular attention paid to proposals for removing age barriers.	In terzo luogo , il progetto documenta e valuta iniziative , pubbliche e private , volte a lottare contro le barriere legate all' età , specialmente a favore dei lavoratori anziani .
d003.s019	Thirdly, the project documents and assesses initiatives, in both the public and private sectors which combat age barriers, especially for older workers.	Ricercando alternative al prepensionamento e al licenziamento , il progetto si interessa principalmente al mantenimento , alla reintegrazione e alla riqualificazione dei lavoratori anziani .
d003.s020	Seeking alternatives to early retirement and redundancy, the project is primarily concerned with the retention, reintegration and retraining of older workers.	Sono presi in considerazione il sesso e l' appartenenza etnica dei lavoratori , e la loro correlazione con la discriminazione in base all' età .
d003.s021	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined.	Il progetto esamina anche iniziative volte a lottare contro la discriminazione basata sull' età nelle zone rurali e nelle piccole e medie imprese .
d003.s022	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises.	La ricerca ha per oggetto sette Stati membri : Belgio , Francia , Germania , Grecia , Italia , Paesi Bassi e Regno Unito .
d004.s001	This document is a summary of the European Public Assessment Report.	Sintesi destinata al pubblico
d004.s002	It explains how the Committee for Medicinal Products for Veterinary Use (CVMP) assessed the studies performed, to reach their recommendations on how to use the medicine.	Il presente documento è la sintesi di una relazione di valutazione pubblica europea ( EPAR ) .
d004.s003	What is Cerenia?	Che cos è Cerenia ?
d004.s004	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection.	Cerenia contiene il principio attivo maropitant ed è disponibile sotto forma di compressa o di soluzione iniettabile .
d004.s005	The tablets are pale-orange and have a score line on both sides so that they can be halved.	Le compresse sono di color arancione chiaro e hanno una tacca su entrambi i lati , per facilitarne la divisione in due metà .
d004.s006	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side.	Ciascuna compressa è marcata da un lato con il logo Pfizer e dall altro lato con le lettere MPT e con numeri che indicano la quantità di maropitant .
d004.s007	What is Cerenia used for?	Per che cosa si usa Cerenia ?
d004.s008	Cerenia is an anti-emetic, this means that it stops vomiting.	Cerenia è un antiemetico , ossia un medicinale che arresta il vomito .
d004.s009	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy (medicines used for the treatment of cancer, some of which are known to cause vomiting).	È usato nei cani per prevenire il vomito causato , per esempio , dalla chemioterapia ( medicinali usati per la cura del cancro , alcuni dei quali noti per provocare il vomito ) .
d004.s010	In combination with supportive measures such as other veterinary treatment or a special diet, Cerenia can also be used in the treatment of vomiting (either as injection or as injection followed by tablets).	In combinazione con altre misure di supporto , per esempio altre terapie veterinarie o una dieta speciale , Cerenia può anche essere usato nel trattamento del vomito ( sia come iniezione che come iniezione seguita da compresse ) .
d004.s011	For these purposes, Cerenia can be given for up to five days	Per tali scopi Cerenia può essere somministrato fino a un massimo di cinque giorni .
d004.s012	How does Cerenia work?	Come agisce Cerenia ?
d004.s013	Cerenia blocks a neurokinin 1 (NK1) receptor, which acts in the central nervous system.	Cerenia blocca un recettore della neurochinina ( NK1 ) che agisce a livello del sistema nervoso centrale .
d004.s014	How has Cerenia been studied?	Come è stata studiata l efficacia di Cerenia ?
d004.s015	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA.	Sono stati condotti numerosi studi con Cerenia , sia su cani da laboratorio sia su animali in cura presso studi veterinari di diversi paesi europei e negli Stati Uniti d America .
d004.s016	What benefit has Cerenia shown during the studies?	Quali benefici ha mostrato Cerenia nel corso degli studi ?
d004.s017	The results of the studies showed that Cerenia was more effective than the placebo: less vomiting was seen in dogs that received the medicine than in dogs that received a placebo, both in the treatment or in the prevention of vomiting.	Dai risultati degli studi è emerso che Cerenia è più efficace del placebo : nei cani trattati con il medicinale gli attacchi di vomito sono stati meno frequenti rispetto agli animali trattati con il placebo , sia nel trattamento che nella prevenzione del vomito .
d004.s018	The treatment of a vomiting dog should be started with the injection, since vomiting animals might not be able to keep a tablet down (as they might throw the intact tablet up again).	Il trattamento di un cane con vomito deve iniziare con l iniezione , perché gli animali con attacchi di vomito possono non essere in grado di trattenere la compressa nell organismo ( che può essere vomitata intatta ) .
d004.s019	For follow-up treatment, the animal owner can administer the tablets to the dog.	Per il trattamento di follow-up , le compresse possono essere somministrate dal padrone del cane .
d004.s020	Also, the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting.	Inoltre , la cura del vomito deve essere associata ad altre misure di supporto o ad altre terapie veterinarie che intervengano sulle cause del vomito .
d004.s021	What is the risk associated with Cerenia?	Quali sono i rischi associati a Cerenia ?
d004.s022	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time (up to 3 times the recommended maximum duration of treatment).	Cerenia è generalmente ben tollerato se somministrato giornalmente con dosi fino a 5 volte la dose raccomandata per un lungo periodo di tempo ( fino a 3 volte la durata di trattamento raccomandata ) .
d004.s023	What are the precautions for the person who gives the medicine or comes into contact with the animal?	Quali sono le precauzioni che deve prendere la persona che somministra il medicinale o entra in contatto con l animale ?
d004.s024	Cerenia does not represent a particular risk for people.	Cerenia non presenta particolari rischi per l uomo .