ID	English	Italian	English-Italian Alignment
d001.s001	This document is a summary of the European Public Assessment Report (EPAR).	Questo documento è la sintesi di una relazione pubblica di valutazione europea ( EPAR ) .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-11 8-8 9-10 10-7 11-12 12-13 13-14 14-15
d001.s002	It explains how the Committee for Medicinal Products for Human Use (CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.	L EPAR descrive il modo in cui il comitato per i medicinali per uso umano ( CHMP ) ha valutato gli studi scientifici effettuati e ha formulato le raccomandazioni su come usare il medicinale .	0-0 1-2 2-4 3-7 4-8 5-9 6-11 8-12 9-14 10-13 11-15 12-16 13-17 14-19 15-20 16-21 17-23 18-24 20-26 21-28 22-28 23-29 24-30 25-26 26-31 27-32 28-33 29-34
d001.s003	If you need more information about your medical condition or your treatment, read the Package Leaflet (also part of the EPAR) or contact your doctor or pharmacist.	Per maggiori informazioni riguardanti le proprie condizioni di salute o la terapia , leggere il foglio illustrativo ( allegato all EPAR ) oppure consultare il medico o il farmacista .	0-0 1-3 3-1 4-2 5-3 6-5 7-8 8-6 9-9 10-10 11-11 12-12 13-13 14-14 16-15 16-16 17-17 21-27 22-20 23-21 24-22 25-23 26-24 27-25 28-26 29-23 29-28 30-29
d001.s004	If you want more information on the basis of the CHMP recommendations, read the Scientific Discussion (also part of the EPAR).	Per maggiori informazioni riguardo alle motivazioni delle raccomandazioni del CHMP , leggere la discussione scientifica ( anch essa allegato all EPAR ) .	0-0 3-1 4-2 6-4 8-6 9-8 10-9 11-7 12-10 13-11 14-12 15-14 16-13 17-15 18-16 21-14 22-20 23-21 24-22
d001.s005	What is Alimta?	Che cos è Alimta ?	0-1 1-2 2-3 3-4
d001.s006	Alimta is a powder that is made up into a solution for infusion (drip into a vein).	Alimta è una polvere da ricostituire in soluzione per infusione ( iniezione goccia a goccia in vena ) .	0-0 1-1 2-2 3-3 5-5 7-6 8-9 9-7 10-8 11-9 12-10 13-5 13-11 14-15 16-16 17-17 18-18
d001.s007	It contains the active substance pemetrexed.	Contiene il principio attivo pemetrexed .	0-0 1-0 2-1 3-2 4-3 5-4 6-5
d001.s008	What is Alimta used for?	Per che cosa si usa Alimta ?	0-2 1-3 2-5 3-4 4-0 5-6
d001.s009	Alimta is used to treat two types of cancer: pleural mesothelioma (cancer of the lining of the lungs that is usually caused by exposure to asbestos).	Alimta è indicato nel trattamento di due tipi di tumore : il mesotelioma pleurico ( tumore della membrana che riveste i polmoni , generalmente provocato dall esposizione all amianto ) .	0-0 1-1 2-2 3-3 4-4 5-6 6-7 7-8 8-9 9-10 10-13 11-12 12-14 13-15 17-16 18-20 19-17 19-21 20-18 21-24 22-23 23-24 24-25 25-26 26-27 27-28 28-29 29-30
d001.s010	Alimta is used together with cisplatin (another anticancer medicine) when the cancer is unresectable (cannot be removed by surgery alone) and malignant (has spread, or is likely to spread easily, to other parts of the body), in patients who have not received chemotherapy (medicines for cancer) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells.	Alimta è utilizzato in combinazione con cisplatino ( un altro farmaco antitumorale ) quando il tumore non è asportabile ( non può essere asportato con il solo intervento chirurgico ) ed è maligno ( si è diffuso , o è probabile si diffonda facilmente , ad altre parti del corpo ) , in pazienti che non sono stati sottoposti in precedenza a chemioterapia il carcinoma polmonare non a piccole cellule in stadio avanzato o metastatico che non interessa le cellule squamose .	0-0 1-1 2-2 3-4 4-5 5-6 6-7 7-9 8-11 9-10 10-12 11-13 12-14 13-15 14-17 15-16 15-18 16-19 17-21 18-22 19-18 20-24 21-27 22-26 23-29 24-30 25-32 26-33 28-36 29-37 30-38 31-31 32-40 34-42 35-43 36-44 37-45 38-46 39-47 40-48 41-25 42-49 43-50 44-51 45-52 46-53 47-54 48-56 49-55 50-57 51-62 53-11 56-12 57-60 58-72 59-73 60-74 61-66 61-68 62-69 65-75 67-76 68-77 69-78 70-80 71-15 71-79 72-81
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before, and on its own in patients who have received another type of chemotherapy in the past.	Alimta è usato in associazione con cisplatino in pazienti non trattati in passato e da solo in pazienti che in passato sono stati sottoposti ad un altro tipo di chemioterapia .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 11-9 12-22 13-10 14-12 15-4 16-13 17-14 19-15 20-16 21-17 22-18 23-21 24-23 25-26 26-27 27-28 28-29 29-11 30-19 31-20 32-30
d001.s012	The medicine can only be obtained with a prescription.	Il medicinale può essere ottenuto soltanto con prescrizione medica .	0-0 1-1 2-2 3-5 4-3 5-1 5-4 6-6 8-7 9-9
d001.s013	How is Alimta used?	Come si usa Alimta ?	0-0 1-1 2-3 3-2 4-4
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy.	Alimta deve essere somministrato solamente sotto la supervisione di un medico qualificato per l uso della chemioterapia antitumorale .	0-0 1-1 2-4 3-2 4-3 5-5 6-6 7-7 8-8 9-9 10-10 12-11 13-11 14-12 15-15 16-14 17-17 18-17 19-16 20-18
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area (calculated using the patient's height and weight).	La dose raccomandata di Alimta è di 500 mg per metro quadrato di superficie corporea ( calcolata utilizzando l altezza e il peso del paziente ) da somministrare per infusione endovenosa in 10 minuti una volta ogni tre settimane .	0-0 1-2 2-1 3-3 4-4 5-5 6-7 7-8 8-9 9-11 10-10 11-12 12-14 13-13 14-14 15-15 16-16 17-17 18-23 19-24 20-18 21-19 22-20 23-22 24-25 25-39
d001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes.	Per ridurre gli effetti indesiderati , i pazienti devono assumere un corticosteroide e acido folico ( un tipo di vitamina ) e ricevere iniezioni di vitamina B12 durante il trattamento con Alimta .	0-0 1-9 2-22 6-7 8-10 9-4 10-23 11-5 12-26 14-32
d001.s017	To reduce side effects, patients should take a corticosteroid and folic acid (a type of vitamin), and receive injections of vitamin B12 during treatment with Alimta.	Quando Alimta è somministrato con cisplatino , i pazienti devono assumere un farmaco antiemetico ( per prevenire il vomito ) e ricevere un adeguata idratazione ( per prevenire la disidratazione ) prima o dopo l assunzione di cisplatino .	0-15 1-16 4-6 5-8 6-9 7-10 8-11 9-5 10-2 11-13 13-14 18-19 19-30 20-20 21-21 22-24 23-36 25-18 26-31 27-12 28-4 29-1 30-38
d001.s018	When Alimta is given with cisplatin, an anti-emetic medicine (to prevent vomiting) and fluids (to prevent dehydration) should also be given before or after the cisplatin dose.	Il trattamento deve essere posticipato o interrotto , o la dose deve essere ridotta , nei pazienti con alterazioni nelle conte ematiche o che riportano altri effetti indesiderati .	0-15 1-20 2-12 3-16 4-17 5-4 6-7 8-21 9-1 13-27 16-24 19-24 20-18 20-27 21-14 22-2 23-25 24-3 27-5 29-9 31-10 32-28
d001.s019	Treatment should be delayed or discontinued, or the dose reduced, in patients whose blood counts are abnormal or who have certain other side effects.	L impiego di Alimta è sconsigliato nei pazienti con insufficienza renale grave o moderata .	0-1 1-5 3-10 4-12 5-5 6-1 10-13 12-6 13-7 14-8 16-10 16-13 17-4 18-9 18-11 25-9 26-14
d001.s020	Alimta is not recommended for use in patients with moderate or severe kidney problems.	Per maggiori informazioni , si rimanda al Riassunto delle caratteristiche del prodotto , anch esso allegato all EPAR .	1-3 3-5 4-0 5-2 7-11 9-8 11-1 12-10 13-9 14-12 14-18
d001.s021	For more information, see the Summary of Product Characteristics (also part of the EPAR).	Come agisce Alimta ?	9-0 15-1 16-3
d001.s022	How does Alimta work?	Il principio attivo di Alimta , pemetrexed , è un medicinale citotossico ( medicinale che uccide le cellule in attiva divisione , come le cellule tumorali ) , che appartiene al gruppo degli antimetaboliti .	0-8 1-15 2-4 3-2 4-5
d001.s023	The active substance in Alimta, pemetrexed, is a cytotoxic medicine (a medicine that kills cells that are dividing, such as cancer cells), which belongs to the group antimetabolites.	Nell organismo , pemetrexed viene trasformato in una forma attiva che blocca l attività degli enzimi coinvolti nella produzione dei nucleotidi ( gli elementi costitutivi di DNA e RNA , il materiale genetico delle cellule ) .	0-0 1-9 2-23 3-6 5-2 6-3 7-2 8-4 9-7 10-13 10-20 11-8 12-21 13-30 14-18 15-10 16-5 16-11 17-20 17-34 18-16 23-26 24-28 25-35 26-29 26-36 33-29 33-36
d001.s024	In the body, pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides (the building blocks of DNA and RNA, the genetic material of cells).	Quali studi sono stati effettuati su Alimta ?	0-0 4-5 4-6 5-2 6-4 14-1 38-7
d001.s025	How has Alimta been studied?	Per il trattamento del mesotelioma pleurico maligno , Alimta è stato esaminato nell ambito di uno studio principale condotto su 456 pazienti che non erano stati sottoposti a chemioterapia in precedenza .	0-0 1-9 2-8 3-10 4-11 4-16 5-31
d001.s026	For the treatment of malignant pleural mesothelioma, Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before.	Gli effetti di Alimta somministrato in combinazione con cisplatino sono stati confrontati con quelli di cisplatino in monoterapia .	1-0 2-1 3-2 4-4 6-8 6-17 7-18 8-3 9-9 10-10 11-11 12-16 16-5 23-17 28-18
d001.s027	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone.	Per il trattamento del carcinoma polmonare non a piccole cellule , gli effetti di Alimta sono stati confrontati con quelli di docetaxel ( un altro farmaco antitumorale ) in uno studio condotto su 571 pazienti con tumore in fase avanzata o metastatica , già sottoposti in precedenza a chemioterapia .	0-11 1-12 2-13 3-14 4-37 5-2 6-35 7-21 8-15 9-17 10-18 11-19 12-20 13-36 15-10 15-49
d001.s028	For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel (another anticancer medicine) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past.	Alimta è stato anche confrontato con gemcitabina ( altro medicinale antitumorale ) , entrambi in associazione con cisplatino , in uno studio su 1.725 pazienti che in passato non erano mai stati sottoposti a chemioterapia per tumore polmonare .	0-35 1-10 4-10 7-36 8-12 8-18 9-4 11-5 12-0 13-1 14-4 15-16 18-6 19-7 20-8 21-10 22-9 23-11 24-19 25-20 26-21 27-14 27-22 28-23 29-24 32-32 34-37 35-36 36-25 37-29 38-32 39-34 40-26 41-33 42-27 43-38
d001.s029	Alimta was also compared with gemcitabine (another anticancer medicine), both in combination with cisplatin, in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past.	In tutti e tre gli studi , il principale indicatore dell efficacia era il tempo di sopravvivenza dei pazienti .	1-12 2-1 3-9 7-8 9-11 11-6 12-3 13-9 17-6 18-0 19-7 20-5 23-18 33-17 35-19
d001.s030	In all three studies, the main measure of effectiveness was how long the patients survived.	Quali benefici ha mostrato Alimta nel corso degli studi ?	3-8 4-4 5-5 7-3 8-7 9-1 10-2 11-0 14-6 15-3 16-9
d001.s031	What benefit has Alimta shown during the studies?	Alimta ha aumentato il tempo di sopravvivenza dei pazienti affetti da mesotelioma pleurico maligno .	0-6 1-2 2-1 3-0 4-2 5-4 6-3 7-8 8-14
d001.s032	Alimta increased the survival time of patients with malignant pleural mesothelioma.	I soggetti a cui è stato somministrato Alimta in combinazione con cisplatino sono sopravvissuti in media 12,1 mesi , rispetto ai 9,3 mesi dei pazienti che hanno assunto cisplatino in monoterapia .	0-7 2-0 4-30 5-23 6-24 7-10 8-8 9-9 10-6 10-11 11-18 11-31
d001.s033	Patients receiving Alimta and cisplatin survived for an average of 12.1 months, compared with 9.3 months in those receiving cisplatin alone.	Nel trattamento dei pazienti con carcinoma polmonare non a piccole cellule , Alimta si è rivelato tanto efficace quanto i comparatori .	0-0 0-3 1-4 2-12 3-7 4-5 4-6 5-15 5-17 7-13 12-11 14-18 17-19 19-1 20-5 22-21
d001.s034	In the treatment of patients with non-small cell lung cancer, Alimta was as effective as the comparators.	Nei pazienti che in passato erano stati sottoposti a chemioterapia , il tempo di sopravvivenza medio è stato di 8,3 mesi con Alimta , contro 7,9 con docetaxel .	0-0 1-2 2-9 4-1 5-21 6-9 10-10 11-22 12-5 14-12 17-27 18-28
d001.s035	In patients who had received chemotherapy in the past, the average survival time was 8.3 months with Alimta, compared with 7.9 months with docetaxel.	Nei pazienti che in passato non erano stati sottoposti a chemioterapia , il tempo di sopravvivenza medio è stato di 10,3 mesi in entrambi i gruppi .	0-0 1-1 2-2 3-6 4-7 5-10 6-3 7-24 8-4 9-11 10-12 11-16 12-15 13-13 14-18 15-20 16-21 17-22 22-20 23-25 26-26
d001.s036	In patients who had not received chemotherapy in the past, the average survival time was 10.3 months in both groups.	Tuttavia , in entrambi gli studi i pazienti il cui tumore non interessava cellule squamose hanno riportato tempi di sopravvivenza più lunghi se trattati con Alimta che se trattati con il comparatore .	0-2 1-7 2-9 3-15 4-11 5-16 6-14 6-23 6-25 7-8 8-4 10-1 11-6 13-19 14-17 15-12 18-29 19-3 20-5 21-32
d001.s037	However, in both studies, patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator.	Invece , i pazienti il cui tumore interessava cellule squamose hanno riportato tempi di sopravvivenza più brevi se trattati con Alimta .	0-0 1-1 2-2 5-1 6-3 7-5 8-6 9-7 11-7 12-9 13-8 13-11 14-10 15-16 16-14 17-12 18-17 20-11 21-20 28-21
d002.s001	kalgebra is a mathematical calculator based on content markup MathML language.	kalgebra è una calcolatrice matematica basata sul linguaggio MathML .	0-0 1-1 2-2 3-4 4-3 5-5 6-6 9-8 10-7 11-9
d002.s002	Nowadays it is capable to make simple MathML operations (arithmetic and logical) and to representate 2D and 3D graphs.	Può eseguire semplici operazioni ( aritmetiche e logiche ) in MathML e può rappresentare grafici 2D e 3D .	1-0 2-12 3-0 5-1 6-2 7-10 8-3 8-9 9-4 10-5 11-6 12-7 13-8 14-11 16-13 17-15 18-16 19-17 20-14 21-18
d002.s003	It is actually not necessary to know MathML to use kalgebra.	Non è necessario conoscere MathML per usare kalgebra .	1-1 3-0 4-2 6-3 7-4 8-5 9-6 10-7 11-8
d002.s004	kalgebra is a MathML based graph calculator.	kalgebra è una calcolatrice grafica basata sul linguaggio MathML .	0-0 1-1 2-2 3-8 4-5 5-3 5-4 6-3 7-9
d002.s005	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge.	Anche se inizialmente era orientata all' uso usando MathML , può essere usata da chiunque con un minimo di conoscenza matematica .	0-0 1-12 2-3 3-2 4-8 5-4 6-9 7-10 9-11 10-12 11-13 12-14 13-15 14-17 15-20 16-19 17-21
d002.s006	Here's a screenshot of kalgebra main window	Immagine della finestra principale di kalgebra	0-0 2-1 3-3 4-4 5-5 7-2
d002.s007	kalgebra main window	Finestra principale di kalgebra	0-3 1-1 2-0
d002.s008	kalgebra main window consists in a Console tab, a 2D Graph tab, a 3D Graph tab and a Dictionary tab.	La finestra principale di kalgebra è composta da una scheda Console , una scheda 2D , una scheda 3D e una scheda Dizionario .	0-4 1-2 2-1 3-5 3-6 4-7 5-8 6-10 7-9 8-11 9-12 10-14 12-13 13-15 14-16 15-18 16-22 17-17 18-19 19-20 20-22 21-21 22-23
d002.s009	Below these tabs you will find an input field to type your functions or do your calculations.	Sotto queste schede si trova un campo di inserimento per scrivere le funzioni o fare calcoli .	0-0 1-1 2-2 3-3 5-4 6-5 7-8 8-6 9-9 10-10 11-8 12-11 12-12 13-13 14-14 16-15 17-16
d002.s010	If we want to understand how it works, the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML.	Se vogliamo capire come funziona , la cosa migliore da fare è comprendere che ciò che viene inserito è convertito in MathML , anche se non è necessario conoscere MathML .	0-0 2-1 3-12 4-2 5-3 7-4 8-5 9-6 10-8 11-7 14-10 15-11 16-9 17-12 18-13 19-14 20-17 21-18 22-16 23-19 24-20 25-21 26-23 27-24 28-26 29-25 30-27 32-28 33-29 34-30
d002.s011	I have based the syntax basically on common sense, it should not be hard for anyone.	Ho basato la sintassi praticamente sul senso comune , e non dovrebbe essere difficile .	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-7 8-6 9-8 10-9 11-11 12-10 13-12 14-13 17-14
d002.s012	I've looked closely to maxima and maple's syntax so they look very similar.	Ho dato un' occhiata alla sintassi di Maxima e di Maple , in modo da esserne abbastanza simile .	0-0 2-1 3-12 4-4 5-7 6-8 7-7 7-10 9-5 10-13 11-15 13-16 14-17 15-18
d002.s013	#ERROR!	+ - * / : addizione , sottrazione , moltiplicazione e divisione .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12
d002.s014	^, **: Power, you can use them both.	^ , ** : elevamento a potenza , puoi usare entrambi .	0-0 1-1 2-2 3-3 4-6 5-7 6-8 8-9 9-4 10-10 11-11
d002.s015	Also it is possible to use the unicode² characters.	È anche possibile usare il carattere Unicode ² .	0-1 2-0 3-2 5-3 6-4 7-6 8-7 9-5 10-8
d002.s016	Powers are one way to make roots too.	Con gli elevamenti a potenza è anche possibile effettuare radici	0-2 0-4 1-5 4-6 5-8 6-2 6-9
d002.s017	-gt: It's the way to specify the bounded variable in a function.	-gt : È il modo di specificare la variabile vincolata in una funzione .	0-0 1-1 2-2 4-3 5-4 6-5 7-6 8-7 9-8 10-8 11-10 12-11 13-12 14-13
d002.s018	(): It is used to specify a higher priority.	( ) : usato per specificare una priorità più alta .	0-0 1-1 2-2 4-5 5-3 6-4 7-5 8-6 9-9 10-7 11-10
d002.s019	abc(params): When the parser finds a function, it checks if abc is an operator.	abc(parametri) : Quando l' analizzatore trova una funzione , controlla se « abc » è un operatore .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 10-9 10-16 11-10 12-12 13-14 14-15 15-16 16-17
d002.s020	If it is, it will be treated as an operator, if it is not, it will be treated as a user function.	Se lo è , sarà trattato come un operatore se non lo è , sarà trattato come una funzione utente .	0-0 1-1 2-2 3-3 5-4 6-5 7-5 8-6 9-7 10-8 11-19 12-9 13-11 14-12 15-10 16-13 18-14 19-15 20-15 21-16 22-17 23-19 24-18 25-20
d002.s021	:=: It is used to define a variable value.	: = : Usata per definire il valore di una variabile .	0-0 1-1 2-2 3-3 4-5 5-3 6-4 7-5 8-9 9-10 10-7 11-11
d002.s022	?: Piecewise condition definition.	? : Definizione di condizione definita a tratti .	0-0 1-1 2-2 3-4 4-5 5-8
d002.s023	Piecewise is the way we can define conditional operations in kalgebra.	"Una definizione "" a tratti "" è il modo in cui possiamo definire operazioni condizionali in kalgebra ."	0-4 1-6 2-7 3-8 5-11 6-12 7-12 7-14 8-13 8-14 9-15 10-16 11-17
d002.s024	If we introduce the condition before the? it will use this condition only if it is true, if it finds a? without any condition, it will enter in the last instance.	Se introduciamo la condizione prima del « ? » , questa condizione sarà usata solo se è vera se viene trovato un « ? » senza condizione , verrà usato come ultima alternativa .	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-7 9-12 10-13 11-10 12-11 13-14 14-15 16-16 17-17 18-9 19-18 21-19 21-20 22-21 23-23 24-25 26-26 27-27 29-28 30-29 31-30 32-13 33-31 34-32 35-33
d002.s025	{}: MathML container.	{ } : contenitore MathML ; Può essere usato per definire un contenitore .	0-0 1-1 2-2 3-4 4-3 5-13
d002.s026	It can be used to define a container.	Utile principalmente per le funzioni definite a tratti .	0-0 1-1 2-3 3-0 4-2 5-5 6-6 7-4 8-8
d002.s027	Mainly useful for working with piecewise.	Adesso potresti chiedermi : perché l' utente dovrebbe conoscere MathML ? Semplice : con il MathML possiamo operare con funzioni come cos() , sin() ( e qualsiasi altra funzione trigonometrica ) , sum() o product() .	0-11 1-7 2-14 3-17 4-18 5-8 6-34 6-35
d002.s028	Now you could ask me, why should the user mind about MathML?	Non importa che tipo di funzione sia .	1-0 3-1 5-7 7-6 8-2 11-3 12-5 13-7
