ID	English	Italian	English-Italian Alignment
d002.s029	That's easy. With this, we can operate with functions like cos(), sin(), any other trigonometric functions, sum() or product().	Possiamo usare plus() , times() e qualunque cosa che ha un operatore .	7-0 8-0 9-1 10-9 11-11 13-4 14-3 15-2 16-5 17-6 22-4 25-12
d002.s030	It does not matter what kind it is.	La console di kalgebra è utile come calcolatrice .	0-0 3-5 5-1 7-4 8-8
d002.s031	We can use plus(), times() and everything which has its operator.	C è una lista delle variabili dichiarate .	0-1 1-0 2-3 5-5 6-5 11-6 12-7
d002.s032	kalgebra's console is useful as a calculator.	Facendo doppio clic su ognuna di esse puoi vedere una finestra di dialogo che ti permette di modificarne il valore ( un modo per ingannare il log ) .	1-21 2-12 3-7 4-15 6-9 7-10 8-28
d002.s033	There you have a list of the declared variables.	Ogni volta che inserisci un' espressione , il valore della variabile « ans » sarà modificato all' ultimo risultato .	0-0 1-3 2-14 3-4 4-8 5-9 6-7 7-15 7-18 8-10 9-6 9-19
d002.s034	By double clicking on them you will see a dialog that lets you change their values (just a way to trick the log).	Ctrl N Nuovo	4-2 9-2 21-0 24-1
d002.s035	"Every time you enter an expression, the "" ans "" variable value will be changed to the last result."	Pulisce la console .	5-2 6-3 9-0 17-1 20-3
d002.s036	Ctrl N New Window	Ctrl C Carica script	0-0 1-1 3-3
d002.s037	Flushes the log.	Esegue le istruzioni presenti in un file .	0-0 1-1 2-6 3-7
d002.s038	Ctrl L Load Script	"Un buon metodo per creare "" librerie "" o riprendere un lavoro interrotto in precedenza ."	0-2 1-15 2-6 3-4
d002.s039	Executes the instructions in a file sequentially.	Ctrl S Salva script	0-1 7-3
d002.s040	Nice if you want to define some libraries or resume some previous work.	Salva le istruzioni eseguite dall' inizio della sessione in modo da poterle riusare .	0-0 3-11 4-1 6-3 7-2 7-7 8-5 12-7 13-13
d002.s041	Ctrl G Save Script	Genera file di testo semplice , quindi è possibile modificarli usando un qualsiasi editor di testo ( come Kate ) .	0-1 2-0 3-18
d002.s042	Saves the instructions you have typed since the session began to be able to reuse.	Ctrl L Salva log	0-2 8-3 14-0 15-1
d002.s043	Generates text files so it should be easy to fix using any text editor, like Kate.	Salva il log e tutti i risultati su file HTML che può essere stampato o pubblicato .	0-0 1-9 2-8 4-10 5-11 6-12 8-13 9-6 10-7 11-4 12-13 14-16 17-16
d002.s044	Ctrl S Save Log	Ctrl Q Esci	0-0 1-1 2-2
d002.s045	Saves the log with all results into an HTML file to be able to print or publish.	Chiude il programma .	0-0 1-1 2-2 17-3
d002.s046	Ctrl Q Quit	Per aggiungere un nuovo grafico 2D in kalgebra , devi andare nella scheda Grafico 2D e fare clic sulla scheda Aggiungi per aggiungere una nuova funzione .	0-7 1-5 2-4 2-7
d002.s047	Shuts the program down.	Sarà quindi attivata la casella di testo dove puoi scrivere la funzione .	0-2 1-3 2-11 4-12
d002.s048	To add a new 2D graph on kalgebra, what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function.	Se vuoi usare una tipica funzione f(x) non è necessario specificarla .	0-0 1-2 2-3 3-4 5-6 10-8 11-9 29-10 32-5 33-11
d002.s049	Then your focus will go to an input text box where you can type your function.	Quando hai inserito la funzione premi OK per visualizzare il grafico nella finestra principale .	0-0 1-1 2-13 6-3 8-10 9-12 10-7 11-8 13-2 14-10 15-4 16-14
d002.s050	If you want to use a typical f(x) function it is not necessary to specify it.	Puoi avere più grafici nella stessa vista .	1-0 2-2 3-4 4-1 5-3 6-6 8-3 16-7
d002.s051	If you have entered the function click on the OK button to display the graph in the main window.	Usa il pulsante Aggiungi in modalità « lista » .	0-0 5-5 8-1 10-2 14-3 14-7 15-4 19-9
d002.s052	You can set several graphs on the same view.	Puoi impostare un diverso colore per ogni grafico .	0-0 2-1 3-3 4-1 4-7 5-5 6-2 8-4 9-8
d003.s002	The Foundation has recently been involved in organising a conference which dealt with this critical challenge.	Hanno partecipato oltre 100 esponenti delle principali categorie interessate , i quali hanno discusso fra l' altro del ruolo degli attori chiave quali pubbliche autorità , parti sociali , organizzazioni di volontariato e locali nonché utenti dei servizi .	0-0 1-29 2-12 5-1 6-4 8-13 9-7 10-11 14-6 15-18 16-9 16-38
d003.s003	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities, social partners, voluntary and community organisations as well as service users.	Si è convenuto sulla necessità di un' impostazione più olistica , che tenga conto del fatto che gli utenti non beneficiano di questi servizi in isolamento , ma piuttosto quale elemento della loro vita quotidiana .	8-1 10-2 11-30 13-16 14-17 16-21 17-22 18-20 22-10 25-26 26-25 27-24 29-34 33-23 34-18 35-35
d003.s004	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common.	Si è anche preso atto della gamma di aioli diversi svolti	1-1 2-5 6-7 7-8 10-8 15-9 20-3 26-10
d003.s005	Note was also taken of the variety of different roles played by public welfare	Unitamente alla Commissione europea , al Ministero degli affari sociali spagnolo e al governo regionale della Galizia , la Fondazione ha organizzato una conferenza europea sul tema Esclusione sociale : una grande sfida per i servizi pubblici di assistenza .	1-20 2-0 4-25 5-34 6-13 7-7 8-31 9-10 10-21 11-33 12-36 13-8 13-16
d003.s006	The Foundation organised, together with the European Commission, the Spanish Ministry of Social Affairs and the Galician regional government, a European conference on social exclusion: a major challenge for public welfare services.	Recentemente la Fondazione ha pubblicato , nel quadro del progetto EPOC , uno studio comparativo che valuta la misura in cui la partecipazione diretta può umanizzare il lavoro migliorando allo stesso tempo la redditività .	0-1 1-2 2-3 2-4 3-5 9-11 11-10 16-15 17-17 20-9 21-11 22-12 24-13 28-25 29-26 30-28 33-23 34-33 35-27 36-34
d003.s007	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability.	Lo studio si basa su 195 interviste personali con alti dirigenti delle parti sociali , in rappresentanza delle principali organizzazioni nazionali di quindici paesi europei .	0-0 1-19 3-3 5-6 6-1 7-15 10-11 12-24 13-14 14-10 23-23 26-13 27-25
d003.s008	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries.	Quali settori industriali di rilievo , sono stati inclusi anche l' industria metallurgica e il settore bancario .	0-0 2-6 10-2 12-10 16-13 17-3 18-15 20-4 21-2 25-1 26-17
d003.s009	As important industrial sectors, the metal industry and the banking sector were also included.	I principali oratori in occasione della conferenza sull' esclusione sociale ( da sinistra a destra ) : Cristina louro , Direzione generale per l' Occupazione , le relazioni industriali e gli affari sociali , Commissione europea Fernando Gomes , Comitato delle regioni Barbara Weiler , deputato al Parlamento europeo José María Gil-Robles Gil-Delgado , vicepresidente del Parlamento europeo John Cairoti , Comitato economico e sociale .	1-1 2-28 3-2 4-44 5-5 6-12 7-9 8-29 9-26 10-8 12-3 15-65
d003.s010	Key speakers at the social exclusion conference were (left to right) Cristina Louro, Employment, Industrial Relations and Social Affairs Directorate, European Commission Fernando Gomes, a high degree of Committee of the Regions Barbara Weiler, Member of the European Parliament José Maria Gil-Robles, Vice-President, European Parliament and John Carroll, Economic and Social Committee.	Studi di casi Ogni rapporto nazionale contiene una serie di 25-30 iniziative , selezionate fra quelle più idonee ad illustrare politiche e prassi volte a migliorare l' assunzione , la formazione e lo sviluppo dei lavoratori anziani nell' azienda e nella comunità .	1-19 3-7 4-5 5-36 6-4 7-6 15-12 17-28 18-35 19-22 20-21 21-33 22-30 24-28 33-9 36-40 37-41 42-1 43-26 59-39 62-42
d003.s011	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.	Per ciascun paese due o tre iniziative sono state ulteriormente selezionate in vista di uno studio di caso più approfondito .	0-17 2-1 3-2 5-7 5-9 6-14 7-15 8-13 10-3 11-4 12-5 13-6 13-10 21-19 24-20 39-20
d003.s012	For each country, two or three initiatives have been selected for further in depth case study.	Questi studi hanno analizzato il contesto delle iniziative e il loro impatto sui modelli occupazionali e sulle organizzazioni del lavoro , valutando inoltre i vantaggi e i problemi dell' iniziativa .	2-17 3-20 5-25 6-0 7-3 7-7 8-2 10-3 13-15 14-29 15-13 16-1 17-30
d003.s013	These case studies analysed the background of the initiatives, their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative.	Hanno anche avuto luogo visite e interviste con esponenti chiave del personale .	0-0 3-2 3-4 4-6 5-8 6-7 8-8 9-12 13-11 18-1 19-6 22-5 27-12
d003.s014	Visits and interviews with key personnel were also undertaken.	Gli studi nazionali sfoceranno in un rapporto europeo che sintetizzerà le prassi più comuni .	0-11 1-0 2-1 5-6 6-3 9-14
d003.s015	These national studies will form the basis of a European report which synthesises overall practices.	Questo rapporto e una raccolta di iniziative saranno pubblicati nel 1996 e costituiranno la base di una conferenza prevista per l' autunno dello stesso anno .	0-0 1-8 2-6 3-7 4-12 5-13 6-14 7-15 8-16 10-1 11-11 12-12 14-2 14-17 15-25
d003.s016	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn, 1996.	La Fondazione intende documentare le caratteristiche delle barriere inerenti all' età a livello di assunzione e formazione e analizzarne le cause .	0-0 1-3 2-15 6-6 7-5 7-7 8-2 9-3 11-8 13-17 14-18 15-4 18-11 19-16 25-14 27-21
d003.s017	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes.	Vengono esaminati anche i punti di vista delle parti sociali , dedicando un' attenzione particolare alle proposte volte ad eliminare le barriere inerenti all' età .	0-0 2-13 3-18 4-1 5-3 6-1 6-4 6-6 7-7 8-24 9-21 10-22 14-9 15-10 16-15 17-19 19-16 20-25
d003.s018	The perspectives of the social partners is also being examined, with particular attention paid to proposals for removing age barriers.	In terzo luogo , il progetto documenta e valuta iniziative , pubbliche e private , volte a lottare contro le barriere legate all' età , specialmente a favore dei lavoratori anziani .	0-4 2-28 4-29 5-5 9-6 9-8 10-24 12-25 15-16 16-9 16-14 18-17 18-18 19-23 20-20 21-31
d003.s019	Thirdly, the project documents and assesses initiatives, in both the public and private sectors which combat age barriers, especially for older workers.	Ricercando alternative al prepensionamento e al licenziamento , il progetto si interessa principalmente al mantenimento , alla reintegrazione e alla riqualificazione dei lavoratori anziani .	0-0 1-7 2-8 3-9 5-4 6-10 8-7 11-21 13-18 14-6 15-14 17-11 19-17 19-23 20-15 21-12 22-20 23-23 24-22 25-24
d003.s020	Seeking alternatives to early retirement and redundancy, the project is primarily concerned with the retention, reintegration and retraining of older workers.	Sono presi in considerazione il sesso e l' appartenenza etnica dei lavoratori , e la loro correlazione con la discriminazione in base all' età .	2-22 5-6 6-8 7-12 8-4 10-0 12-3 13-17 14-18 17-19 18-13 20-10 21-23 22-11 23-24
d003.s021	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined.	Il progetto esamina anche iniziative volte a lottare contro la discriminazione basata sull' età nelle zone rurali e nelle piccole e medie imprese .	0-0 2-17 4-4 10-11 11-6 12-13 13-10 15-2 16-23
d003.s022	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises.	La ricerca ha per oggetto sette Stati membri : Belgio , Francia , Germania , Grecia , Italia , Paesi Bassi e Regno Unito .	0-0 1-1 3-2 3-4 4-5 4-7 9-8 10-17 11-6 12-21 18-9 19-24
d004.s001	This document is a summary of the European Public Assessment Report.	Sintesi destinata al pubblico	0-0 1-1 2-0 3-1 8-3
d004.s002	It explains how the Committee for Medicinal Products for Veterinary Use (CVMP) assessed the studies performed, to reach their recommendations on how to use the medicine.	Il presente documento è la sintesi di una relazione di valutazione pubblica europea ( EPAR ) .	1-3 1-5 9-12 11-13 12-14 13-15 14-10 15-0 16-8 18-16 28-2 29-16
d004.s003	What is Cerenia?	Che cos è Cerenia ?	0-0 1-2 2-3 3-4
d004.s004	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection.	Cerenia contiene il principio attivo maropitant ed è disponibile sotto forma di compressa o di soluzione iniettabile .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-12 11-13 12-10 13-15 15-16 16-17
d004.s005	The tablets are pale-orange and have a score line on both sides so that they can be halved.	Le compresse sono di color arancione chiaro e hanno una tacca su entrambi i lati , per facilitarne la divisione in due metà .	0-0 1-1 2-2 3-5 3-6 4-7 5-8 6-9 8-10 9-11 10-12 11-14 12-16 14-15 17-19 18-15 18-23
d004.s006	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side.	Ciascuna compressa è marcata da un lato con il logo Pfizer e dall altro lato con le lettere MPT e con numeri che indicano la quantità di maropitant .	0-0 1-1 2-2 3-3 4-15 5-16 6-10 7-9 8-4 9-5 10-6 11-11 12-7 13-8 14-17 15-18 16-19 17-24 18-21 18-25 19-26 20-27 23-13 24-14 25-28
d004.s007	What is Cerenia used for?	Per che cosa si usa Cerenia ?	0-2 2-5 3-4 4-0 5-6
d004.s008	Cerenia is an anti-emetic, this means that it stops vomiting.	Cerenia è un antiemetico , ossia un medicinale che arresta il vomito .	0-0 1-1 2-2 3-3 4-4 5-5 6-5 7-8 9-9 10-10 10-11 11-12
d004.s009	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy (medicines used for the treatment of cancer, some of which are known to cause vomiting).	È usato nei cani per prevenire il vomito causato , per esempio , dalla chemioterapia ( medicinali usati per la cura del cancro , alcuni dei quali noti per provocare il vomito ) .	1-0 2-1 3-2 4-3 5-4 6-5 7-7 8-9 9-11 10-7 10-8 11-8 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-29 27-27 28-28 29-29 30-31 31-32 32-33
d004.s010	In combination with supportive measures such as other veterinary treatment or a special diet, Cerenia can also be used in the treatment of vomiting (either as injection or as injection followed by tablets).	In combinazione con altre misure di supporto , per esempio altre terapie veterinarie o una dieta speciale , Cerenia può anche essere usato nel trattamento del vomito ( sia come iniezione che come iniezione seguita da compresse ) .	0-0 1-1 2-2 3-3 3-6 4-4 4-11 5-7 6-9 7-10 8-12 9-11 10-13 11-14 12-16 13-15 14-7 14-17 15-18 16-19 17-20 18-21 19-22 20-23 22-24 23-25 24-26 24-30 25-27 26-28 27-29 28-30 29-31 30-32 31-33 32-34 33-35 34-36 35-37 36-38
d004.s011	For these purposes, Cerenia can be given for up to five days	Per tali scopi Cerenia può essere somministrato fino a un massimo di cinque giorni .	0-0 1-1 2-2 3-14 4-3 5-4 6-5 7-6 8-10 9-7 9-8 10-12 11-13
d004.s012	How does Cerenia work?	Come agisce Cerenia ?	0-0 2-2 4-3
d004.s013	Cerenia blocks a neurokinin 1 (NK1) receptor, which acts in the central nervous system.	Cerenia blocca un recettore della neurochinina ( NK1 ) che agisce a livello del sistema nervoso centrale .	0-0 1-1 1-3 2-2 3-5 5-6 6-7 7-8 9-17 10-9 11-10 12-11 13-13 14-16 15-15 16-14 17-17
d004.s014	How has Cerenia been studied?	Come è stata studiata l efficacia di Cerenia ?	0-0 1-1 2-7 3-2 4-3 5-8
d004.s015	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA.	Sono stati condotti numerosi studi con Cerenia , sia su cani da laboratorio sia su animali in cura presso studi veterinari di diversi paesi europei e negli Stati Uniti d America .	0-7 1-3 4-4 5-5 6-6 7-0 8-2 9-2 10-8 11-9 12-12 13-10 14-13 15-14 16-15 17-17 18-18 19-20 20-19 21-16 22-22 23-24 24-23 25-25 26-26 28-30 29-31
d004.s016	What benefit has Cerenia shown during the studies?	Quali benefici ha mostrato Cerenia nel corso degli studi ?	0-0 1-1 2-2 3-4 4-3 5-6 6-5 7-8 8-9
d004.s017	The results of the studies showed that Cerenia was more effective than the placebo: less vomiting was seen in dogs that received the medicine than in dogs that received a placebo, both in the treatment or in the prevention of vomiting.	Dai risultati degli studi è emerso che Cerenia è più efficace del placebo : nei cani trattati con il medicinale gli attacchi di vomito sono stati meno frequenti rispetto agli animali trattati con il placebo , sia nel trattamento che nella prevenzione del vomito .	0-0 1-1 2-2 4-3 5-5 6-6 7-7 8-8 9-9 10-10 11-11 13-12 14-13 15-26 16-23 17-24 19-14 20-15 22-16 23-18 24-19 25-28 27-27 27-30 29-31 31-34 32-35 33-36 34-37 36-38 37-39 38-40 39-33 40-41 41-42 42-43 43-44
d004.s018	The treatment of a vomiting dog should be started with the injection, since vomiting animals might not be able to keep a tablet down (as they might throw the intact tablet up again).	Il trattamento di un cane con vomito deve iniziare con l iniezione , perché gli animali con attacchi di vomito possono non essere in grado di trattenere la compressa nell organismo ( che può essere vomitata intatta ) .	0-0 1-1 2-2 3-3 4-4 4-6 5-4 6-7 7-34 8-8 9-9 11-11 11-28 12-12 13-13 14-16 14-19 15-15 16-20 17-21 18-22 19-24 20-25 21-26 25-31 27-14 28-33 29-26 30-27 31-30 32-28 35-37 36-38
d004.s019	For follow-up treatment, the animal owner can administer the tablets to the dog.	Per il trattamento di follow-up , le compresse possono essere somministrate dal padrone del cane .	0-0 1-4 2-2 3-5 4-6 5-14 6-12 7-8 8-10 10-7 12-11 13-14 14-15
d004.s020	Also, the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting.	Inoltre , la cura del vomito deve essere associata ad altre misure di supporto o ad altre terapie veterinarie che intervengano sulle cause del vomito .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 8-7 9-8 10-9 11-10 12-13 12-15 13-11 14-14 15-16 16-18 17-17 19-20 19-21 22-22 23-23 25-24 26-25
d004.s021	What is the risk associated with Cerenia?	Quali sono i rischi associati a Cerenia ?	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
d004.s022	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time (up to 3 times the recommended maximum duration of treatment).	Cerenia è generalmente ben tollerato se somministrato giornalmente con dosi fino a 5 volte la dose raccomandata per un lungo periodo di tempo ( fino a 3 volte la durata di trattamento raccomandata ) .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-16 16-15 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-32 31-29 32-30 33-31 34-33 35-34
d004.s023	What are the precautions for the person who gives the medicine or comes into contact with the animal?	Quali sono le precauzioni che deve prendere la persona che somministra il medicinale o entra in contatto con l animale ?	0-0 1-1 2-2 3-3 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-12 17-19 18-20
d004.s024	Cerenia does not represent a particular risk for people.	Cerenia non presenta particolari rischi per l uomo .	0-0 1-2 2-1 3-2 4-6 5-3 6-4 7-5 8-7 9-8
