ID	English	Spanish Translation
d000.s000	This document is a summary of the European Public Assessment Report ( EPAR ) .	Este documento es un resumen del Informe Público Europeo de Evaluación (EPAR).
d000.s001	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	Explica cómo el Comité de Medicamentos de Uso Humano (CHMP) evaluó los estudios realizados para llegar a sus recomendaciones sobre cómo utilizar el medicamento.
d000.s002	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	Si necesita más información sobre su enfermedad o su tratamiento, lea el prospecto (también incluido en el EPAR) o póngase en contacto con su médico o farmacéutico.
d000.s003	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	Si desea más información sobre las bases de las recomendaciones del CHMP, lea la Discusión científica (también parte del EPAR).
d000.s004	What is Alimta ?	¿Qué es Alimta?
d000.s005	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	Alimta es un polvo que se prepara en una solución para infusión (goteo en una vena).
d000.s006	It contains the active substance pemetrexed .	Contiene el principio activo pemetrexed.
d000.s007	What is Alimta used for ?	¿Para qué se utiliza Alimta?
d000.s008	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta se utiliza para tratar dos tipos de cáncer: mesotelioma pleural (cáncer del revestimiento de los pulmones que generalmente es causado por la exposición al asbesto).
d000.s009	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	Alimta se utiliza junto con cisplatino (otro medicamento contra el cáncer) cuando el cáncer es irresecable (no se puede extirpar únicamente con cirugía) y maligno (se ha diseminado, o es probable que se disemine fácilmente, a otras partes del cuerpo), en pacientes que no han recibido quimioterapia (medicamentos para el cáncer) antes del cáncer de pulmón de células no pequeñas avanzado o metastásico que no afecta las células escamosas.
d000.s010	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	Alimta se utiliza en combinación con cisplatino en pacientes que no han sido tratados previamente y solo en pacientes que han recibido otro tipo de quimioterapia en el pasado.
d000.s011	The medicine can only be obtained with a prescription .	El medicamento sólo puede obtenerse con receta médica.
d000.s012	How is Alimta used ?	¿Cómo se utiliza Alimta?
d000.s013	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	Alimta sólo debe administrarse bajo la supervisión de un médico calificado en el uso de quimioterapia contra el cáncer.
d000.s014	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) . It is given once every three weeks as an intravenous infusion lasting 10 minutes .	La dosis recomendada de Alimta es de 500 mg por metro cuadrado de superficie corporal (calculada a partir de la altura y el peso del paciente). Se administra una vez cada tres semanas en forma de infusión intravenosa de 10 minutos de duración.
d000.s015	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	Para reducir los efectos secundarios, los pacientes deben tomar un corticosteroide y ácido fólico (un tipo de vitamina) y recibir inyecciones de vitamina B12 durante el tratamiento con Alimta.
d000.s016	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	Cuando se administra Alimta con cisplatino, también se debe administrar un medicamento antiemético (para prevenir los vómitos) y líquidos (para prevenir la deshidratación) antes o después de la dosis de cisplatino.
d000.s017	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	Se debe retrasar o suspender el tratamiento, o reducir la dosis, en pacientes cuyos recuentos sanguíneos sean anormales o que presenten ciertos otros efectos secundarios.
d000.s018	Alimta is not recommended for use in patients with moderate or severe kidney problems .	No se recomienda el uso de Alimta en pacientes con problemas renales moderados o graves.
d000.s019	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	Para obtener más información, consulte el Resumen de las características del producto (también parte del EPAR).
d000.s020	How does Alimta work ?	¿Cómo funciona Alimta?
d000.s021	The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .	El principio activo de Alimta, pemetrexed, es un medicamento citotóxico (un medicamento que mata las células que se están dividiendo, como las células cancerosas), que pertenece al grupo de los antimetabolitos.
d000.s022	In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .	En el cuerpo, el pemetrexed se convierte en una forma activa que bloquea la actividad de las enzimas que participan en la producción de nucleótidos (los componentes básicos del ADN y el ARN, el material genético de las células).
d000.s023	How has Alimta been studied ?	¿Cómo se ha estudiado Alimta?
d000.s024	For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .	Para el tratamiento del mesotelioma pleural maligno, Alimta se ha estudiado en un estudio principal en 456 pacientes que no habían recibido quimioterapia para su enfermedad antes.
d000.s025	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .	Se compararon los efectos de Alimta en combinación con cisplatino con los del cisplatino solo.
d000.s026	For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .	Para el tratamiento del cáncer de pulmón de células no pequeñas, se compararon los efectos de Alimta con los del docetaxel (otro medicamento contra el cáncer) en un estudio en el que participaron 571 pacientes con enfermedad localmente avanzada o metastásica que habían recibido quimioterapia en el pasado.
d000.s027	Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .	Alimta también se comparó con gemcitabina (otro medicamento contra el cáncer), ambos en combinación con cisplatino, en un estudio en el que participaron 1.725 pacientes que no habían recibido quimioterapia para el cáncer de pulmón en el pasado.
d000.s028	In all three studies , the main measure of effectiveness was how long the patients survived .	En los tres estudios, la principal medida de eficacia fue el tiempo de supervivencia de los pacientes.
d000.s029	What benefit has Alimta shown during the studies ?	¿Qué beneficios ha demostrado Alimta durante los estudios?
d000.s030	Alimta increased the survival time of patients with malignant pleural mesothelioma .	Alimta aumentó el tiempo de supervivencia de los pacientes con mesotelioma pleural maligno.
d000.s031	Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .	Los pacientes que recibieron Alimta y cisplatino sobrevivieron un promedio de 12,1 meses, en comparación con 9,3 meses en aquellos que recibieron cisplatino solo.
d000.s032	In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .	En el tratamiento de pacientes con cáncer de pulmón de células no pequeñas, Alimta fue tan eficaz como los comparadores.
d000.s033	In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .	En pacientes que habían recibido quimioterapia en el pasado, el tiempo promedio de supervivencia fue de 8,3 meses con Alimta, en comparación con 7,9 meses con docetaxel.
d000.s034	In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .	En los pacientes que no habían recibido quimioterapia en el pasado, el tiempo promedio de supervivencia fue de 10,3 meses en ambos grupos.
d000.s035	However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .	Sin embargo, en ambos estudios, los pacientes cuyo cáncer no afectaba a las células escamosas tuvieron tiempos de supervivencia más prolongados si recibieron Alimta que si recibieron el comparador.
d000.s036	In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta . kalgebra is a mathematical calculator based on content markup MathML language .	Por el contrario, los pacientes cuyo cáncer afectaba a las células escamosas tuvieron tiempos de supervivencia más cortos si recibieron Alimta. kalgebra es una calculadora matemática basada en el lenguaje de marcado de contenido MathML.
d000.s037	Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .	Hoy en día es capaz de realizar operaciones MathML simples (aritméticas y lógicas) y representar gráficos 2D y 3D.
d000.s038	It is actually not necessary to know MathML to use kalgebra . kalgebra is a MathML based graph calculator .	En realidad, no es necesario saber MathML para usar Kalgebra. Kalgebra es una calculadora gráfica basada en MathML.
d000.s039	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .	Aunque inicialmente estaba orientado a MathML, ahora puede ser utilizado por cualquier persona con pocos conocimientos matemáticos.
d000.s040	Here 's a screenshot of kalgebra main window kalgebra main window kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .	Aquí hay una captura de pantalla de la ventana principal de Kalgebra. La ventana principal de Kalgebra consta de una pestaña Consola, una pestaña Gráfico 2D, una pestaña Gráfico 3D y una pestaña Diccionario.
d000.s041	Below these tabs you will find an input field to type your functions or do your calculations .	Debajo de estas pestañas encontrarás un campo de entrada para escribir tus funciones o hacer tus cálculos.
d000.s042	If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .	Si queremos entender cómo funciona, lo mejor que podemos hacer es darnos cuenta de que nuestra entrada se está convirtiendo en MathML aunque no es necesario saber MathML.
d000.s043	I have based the syntax basically on common sense , it should not be hard for anyone .	He basado la sintaxis básicamente en el sentido común, no debería ser difícil para nadie.
d000.s044	I ve looked closely to maxima and maple s syntax so they look very similar . + - * / : Addition , subtraction , multiplication and division . ^ , ** : Power , you can use them both .	He analizado de cerca la sintaxis de maxima y maple, por lo que parecen muy similares. + - * /: suma, resta, multiplicación y división. ^, **: potencia, puedes usar ambas.
d000.s045	Also it is possible to use the unicode ² characters .	También es posible utilizar caracteres unicode².
d000.s046	Powers are one way to make roots too . -gt : It s the way to specify the bounded variable in a function . ( ) : It is used to specify a higher priority . abc(params) : When the parser finds a function , it checks if abc is an operator .	Las potencias también son una forma de crear raíces. -gt: es la forma de especificar la variable acotada en una función. (): se utiliza para especificar una prioridad más alta. abc(params): cuando el analizador encuentra una función, verifica si abc es un operador.
d000.s047	If it is , it will be treated as an operator , if it is not , it will be treated as a user function . : = : It is used to define a variable value . ? : Piecewise condition definition .	Si es así, se tratará como un operador; si no, se tratará como una función de usuario. : = : Se utiliza para definir un valor de variable. ? : Definición de condición por partes.
d000.s048	Piecewise is the way we can define conditional operations in kalgebra .	Por partes es la forma en que podemos definir operaciones condicionales en Kalgebra.
d000.s049	If we introduce the condition before the ? it will use this condition only if it is true , if it finds a ? without any condition , it will enter in the last instance . { } : MathML container . It can be used to define a container .	Si introducimos la condición antes del ? utilizará esta condición solo si es verdadera, si encuentra un ? sin ninguna condición, entrará en última instancia. { } : contenedor MathML. Se puede utilizar para definir un contenedor.
d000.s050	Mainly useful for working with piecewise .	Principalmente útil para trabajar con piezas.
d000.s051	Now you could ask me , why should the user mind about MathML ? That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum() or product() .	Ahora bien, podrías preguntarme por qué debería importarle al usuario MathML. Es fácil. Con esto, podemos operar con funciones como cos(), sin(), cualquier otra función trigonométrica, suma() o producto().
d000.s052	It does not matter what kind it is .	No importa de qué tipo sea.
d000.s053	We can use plus() , times() and everything which has its operator . kalgebra 's console is useful as a calculator .	Podemos usar plus(), times() y todo lo que tenga su operador. La consola de kalgebra es útil como calculadora.
d000.s054	There you have a list of the declared variables .	Allí tienes una lista de las variables declaradas.
d000.s055	By double clicking on them you will see a dialog that lets you change their values ( just a way to trick the log ) .	Al hacer doble clic en ellos, verá un cuadro de diálogo que le permitirá cambiar sus valores (solo una forma de engañar al registro).
d000.s056	"""Every time you enter an expression , the """" ans """" variable value will be changed to the last result ."""	&quot;Cada vez que ingrese una expresión, el valor de la variable &quot;ans&quot; cambiará al último resultado&quot;.
d000.s057	Ctrl N New Window	Ctrl N Nueva ventana
d000.s058	Flushes the log .	Limpia el registro.
d000.s059	Ctrl L Load Script	Ctrl L Cargar script
d000.s060	Executes the instructions in a file sequentially .	Ejecuta las instrucciones de un archivo secuencialmente.
d000.s061	Nice if you want to define some libraries or resume some previous work .	Es útil si quieres definir algunas bibliotecas o reanudar algún trabajo anterior.
d000.s062	Ctrl G Save Script	Ctrl G Guardar script
d000.s063	Saves the instructions you have typed since the session began to be able to reuse .	Guarda las instrucciones que has escrito desde que comenzó la sesión para poder reutilizarlas.
d000.s064	Generates text files so it should be easy to fix using any text editor , like Kate .	Genera archivos de texto, por lo que debería ser fácil solucionarlo con cualquier editor de texto, como Kate.
d000.s065	Ctrl S Save Log	Ctrl S Guardar registro
d000.s066	Saves the log with all results into an HTML file to be able to print or publish .	Guarda el registro con todos los resultados en un archivo HTML para poder imprimirlo o publicarlo.
d000.s067	Ctrl Q Quit	Ctrl Q Salir
d000.s068	Shuts the program down .	Cierra el programa.
d000.s069	To add a new 2D graph on kalgebra , what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function .	Para agregar un nuevo gráfico 2D en Kalgebra, lo que tienes que hacer es ir a la pestaña Gráfico 2D y hacer clic en la pestaña Agregar para agregar la nueva función.
d000.s070	Then your focus will go to an input text box where you can type your function .	Luego, su atención se dirigirá a un cuadro de texto de entrada donde podrá escribir su función.
d000.s071	If you want to use a typical f(x) function it is not necessary to specify it .	Si desea utilizar una función f(x) típica, no es necesario especificarla.
d000.s072	If you have entered the function click on the OK button to display the graph in the main window .	Si ha ingresado la función haga clic en el botón Aceptar para mostrar el gráfico en la ventana principal.
d000.s073	You can set several graphs on the same view .	Puede configurar varios gráficos en la misma vista.
d000.s074	Just use the Add button when you are in List mode .	Simplemente utilice el botón Agregar cuando esté en el modo Lista.
d000.s075	You can set each graph its own color .	Puedes configurar cada gráfico con su propio color.
d000.s076	The Foundation has recently been involved in organising a conference which dealt with this critical challenge .	La Fundación ha participado recientemente en la organización de una conferencia que abordó este desafío crítico.
d000.s077	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .	Más de 100 participantes de los principales grupos de interés asistieron y debatieron cuestiones como el papel de los actores clave, incluidas las autoridades públicas, los interlocutores sociales, las organizaciones voluntarias y comunitarias, así como los usuarios de los servicios.
d000.s078	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .	Se informaron relativamente pocos casos de intentos de involucrar a los usuarios en la planificación de servicios, pero se encontró que su participación en la prestación de servicios era más común.
d000.s079	Note was also taken of the variety of different roles played by public welfare	También se tomó nota de la variedad de diferentes funciones que desempeña el bienestar público.
d000.s080	The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .	La Fundación organizó, junto con la Comisión Europea, el Ministerio de Asuntos Sociales y la Xunta de Galicia, una conferencia europea sobre exclusión social: un gran reto para los servicios públicos de bienestar.
d000.s081	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .	La Fundación ha publicado recientemente un estudio comparativo en el marco del proyecto EPOC que evalúa hasta qué punto la participación directa puede humanizar el trabajo y aumentar la rentabilidad.
d000.s082	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .	El estudio se basa en 195 entrevistas personales con altos funcionarios de los interlocutores sociales, representantes de importantes organizaciones a nivel nacional en quince países europeos.
d000.s083	As important industrial sectors , the metal industry and the banking sector were also included .	Como sectores industriales importantes se incluyeron también la industria metalúrgica y el sector bancario.
d000.s084	Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .	Los principales oradores de la conferencia sobre exclusión social fueron (de izquierda a derecha) Cristina Louro, Dirección de Empleo, Relaciones Industriales y Asuntos Sociales, Comisión Europea Fernando Gomes, alto cargo del Comité de las Regiones Barbara Weiler, miembro del Parlamento Europeo José Maria Gil-Robles, Vicepresidente del Parlamento Europeo y John Carroll, del Comité Económico y Social.
d000.s085	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .	Estudios de caso Cada informe nacional contiene una cartera de entre 25 y 30 iniciativas que presentan mejor las políticas y prácticas para mejorar el reclutamiento, la capacitación y el desarrollo de los trabajadores mayores, tanto en el lugar de trabajo como en la comunidad.
d000.s086	For each country , two or three initiatives have been selected for further in depth case study .	Para cada país se han seleccionado dos o tres iniciativas para un estudio de caso más profundo.
d000.s087	These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .	Estos estudios de caso analizaron los antecedentes de las iniciativas, su impacto en los patrones de empleo y las organizaciones de trabajo y evaluaron los beneficios y problemas de la iniciativa.
d000.s088	Visits and interviews with key personnel were also undertaken .	También se realizaron visitas y entrevistas con personal clave.
d000.s089	These national studies will form the basis of a European report which synthesises overall practices .	Estos estudios nacionales formarán la base de un informe europeo que sintetice las prácticas generales.
d000.s090	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .	El informe y un libro de casos de iniciativas se publicarán en 1996 y proporcionarán el marco para una conferencia que se celebrará en otoño de 1996.
d000.s091	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .	La Fundación tiene como objetivo documentar las características de las barreras de edad en la contratación y formación laboral y analizar sus causas.
d000.s092	The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .	También se están examinando las perspectivas de los interlocutores sociales, con especial atención a las propuestas para eliminar las barreras de edad.
d000.s093	Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .	En tercer lugar, el proyecto documenta y evalúa iniciativas, tanto en el sector público como en el privado, que combaten las barreras relacionadas con la edad, especialmente para los trabajadores de mayor edad.
d000.s094	Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .	En la búsqueda de alternativas a la jubilación anticipada y al despido, el proyecto se centra principalmente en la retención, la reintegración y la capacitación de los trabajadores de mayor edad.
d000.s095	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .	Se examinan los antecedentes de género y étnicos de los trabajadores y cómo estos se relacionan con la discriminación por edad.
d000.s096	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises .	El proyecto también considera iniciativas para combatir la discriminación por edad en las zonas rurales y en las pequeñas y medianas empresas.
d000.s097	Seven member states are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .	El proyecto abarca siete Estados miembros: Bélgica, Francia, Alemania, Grecia, Italia, Países Bajos y Reino Unido.
d000.s098	This document is a summary of the European Public Assessment Report . It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	Este documento es un resumen del Informe Público Europeo de Evaluación. En él se explica cómo el Comité de Medicamentos de Uso Veterinario (CVMP) ha evaluado los estudios realizados para emitir sus recomendaciones sobre el uso del medicamento.
d000.s099	What is Cerenia ?	¿Qué es Cerenia?
d000.s100	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .	Cerenia contiene el principio activo maropitant y está disponible en forma de comprimidos o de solución inyectable.
d000.s101	The tablets are pale-orange and have a score line on both sides so that they can be halved .	Los comprimidos son de color naranja pálido y tienen una ranura en ambos lados para poder partirlos por la mitad.
d000.s102	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .	Cada comprimido está marcado con el logotipo de Pfizer en un lado y con las letras MPT y la cantidad de maropitant en el otro lado.
d000.s103	What is Cerenia used for ?	¿Para qué se utiliza Cerenia?
d000.s104	Cerenia is an anti-emetic , this means that it stops vomiting .	Cerenia es un antiemético, esto significa que detiene el vómito.
d000.s105	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .	Se utiliza en perros para prevenir vómitos como los provocados por la quimioterapia (medicamentos utilizados para el tratamiento del cáncer, algunos de los cuales se sabe que provocan vómitos).
d000.s106	In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .	En combinación con medidas de apoyo como otros tratamientos veterinarios o una dieta especial, Cerenia también puede utilizarse en el tratamiento de los vómitos (ya sea como inyección o como inyección seguida de comprimidos).
d000.s107	For these purposes , Cerenia can be given for up to five days	Para estos fines, Cerenia puede administrarse hasta por cinco días.
d000.s108	How does Cerenia work ?	¿Cómo actúa Cerenia?
d000.s109	Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .	Cerenia bloquea un receptor de neuroquinina 1 (NK1), que actúa en el sistema nervioso central.
d000.s110	How has Cerenia been studied ?	¿Cómo se ha estudiado Cerenia?
d000.s111	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .	Se han realizado numerosos estudios con Cerenia tanto en perros de laboratorio como en pacientes animales en consultas veterinarias de varios países europeos y de los EE.UU.
d000.s112	What benefit has Cerenia shown during the studies ?	¿Qué beneficios ha demostrado Cerenia durante los estudios?
d000.s113	The results of the studies showed that Cerenia was more effective than the placebo : less vomiting was seen in dogs that received the medicine than in dogs that received a placebo , both in the treatment or in the prevention of vomiting .	Los resultados de los estudios mostraron que Cerenia fue más eficaz que el placebo: se observaron menos vómitos en los perros que recibieron el medicamento que en los perros que recibieron un placebo, tanto en el tratamiento como en la prevención de los vómitos.
d000.s114	The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .	El tratamiento de un perro que vomita debe iniciarse con la inyección, ya que los animales que vomitan pueden no ser capaces de retener la pastilla en el estómago (ya que podrían vomitar la pastilla intacta de nuevo).
d000.s115	For follow-up treatment , the animal owner can administer the tablets to the dog .	Como tratamiento de seguimiento, el dueño del animal puede administrar los comprimidos al perro.
d000.s116	Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .	Además, el tratamiento de los vómitos solo debe realizarse junto con otras medidas de apoyo u otra terapia veterinaria mientras se abordan las causas subyacentes de los vómitos.
d000.s117	What is the risk associated with Cerenia ?	¿Cuál es el riesgo asociado con Cerenia?
d000.s118	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time ( up to 3 times the recommended maximum duration of treatment ) .	Cerenia fue generalmente bien tolerado cuando se administró diariamente en dosis hasta 5 veces las dosis recomendadas durante un período prolongado de tiempo (hasta 3 veces la duración máxima recomendada del tratamiento).
d000.s119	What are the precautions for the person who gives the medicine or comes into contact with the animal ?	¿Cuáles son las precauciones que debe tomar la persona que administra el medicamento o entra en contacto con el animal?
d000.s120	Cerenia does not represent a particular risk for people .	Cerenia no representa un riesgo particular para las personas.
